Symbol: AAPL Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,DTSreversal(BUY),Buy to Open,17364.0,$0.14,7/18/86,,($38.76),17364.0,
2,DTSreversal(BUY),Buy to Open,17637.0,$0.14,7/21/86,,$234.69,35001.0,
3,DTSreversal(BUY),Buy to Open,17920.0,$0.14,7/30/86,,($294.08),52921.0,
4,DTSreversal(SELL),Sell to Close,-52921.0,$0.15,8/13/86,$591.88,$591.88,0.0,
5,DTSreversal(BUY),Buy to Open,17164.0,$0.15,9/12/86,,$524.83,17164.0,
6,DTSreversal(BUY),Buy to Open,17637.0,$0.14,9/15/86,,$738.46,34801.0,
7,DTSreversal(SELL),Sell to Close,-34801.0,$0.16,9/24/86,$612.66,$1204.54,0.0,
8,DTSreversal(BUY),Buy to Open,7516.0,$0.33,7/9/87,,$1238.09,7516.0,
9,DTSreversal(BUY),Buy to Open,7417.0,$0.34,7/10/87,,$1271.43,14933.0,
10,DTSreversal(SELL),Sell to Close,-14933.0,$0.38,7/15/87,$733.54,$1938.08,0.0,
11,DTSreversal(BUY),Buy to Open,5803.0,$0.43,10/19/87,,$1329.28,5803.0,
12,DTSreversal(SELL),Sell to Close,-5803.0,$0.25,10/27/87,($1049.20),$888.88,0.0,
13,DTSreversal(BUY),Buy to Open,6511.0,$0.38,7/22/88,,$859.81,6511.0,
14,DTSreversal(BUY),Buy to Open,6588.0,$0.38,7/25/88,,$889.05,13099.0,
15,DTSreversal(BUY),Buy to Open,6549.0,$0.38,7/26/88,,$889.05,19648.0,
16,DTSreversal(SELL),Sell to Close,-19648.0,$0.40,8/2/88,$394.89,$1283.76,0.0,
17,DTSreversal(BUY),Buy to Open,6686.0,$0.37,8/11/88,,$1365.84,6686.0,
18,DTSreversal(SELL),Sell to Close,-6686.0,$0.37,8/16/88,($37.31),$1246.45,0.0,
19,DTSreversal(BUY),Buy to Open,6511.0,$0.38,6/21/89,,$1217.38,6511.0,
20,DTSreversal(BUY),Buy to Open,6588.0,$0.38,6/22/89,,$1305.10,13099.0,
21,DTSreversal(BUY),Buy to Open,6568.0,$0.38,6/28/89,,$1078.36,19667.0,
22,DTSreversal(SELL),Sell to Close,-19667.0,$0.36,6/30/89,($365.64),$880.81,0.0,
23,DTSreversal(SELL),Sell to Close,-6871.0,$0.36,7/5/89,$0.00,$896.14,-6871.0,
24,DTSreversal(BUY),Buy to Open,6871.0,$0.36,7/5/89,,$880.81,0.0,
25,DTSreversal(SELL),Sell to Close,-6787.0,$0.37,7/7/89,$0.00,$880.81,-6787.0,
26,DTSreversal(BUY),Buy to Open,6787.0,$0.37,7/7/89,,$880.81,0.0,
27,DTSreversal(SELL),Sell to Close,-6787.0,$0.37,7/10/89,$0.00,$926.26,-6787.0,
28,DTSreversal(BUY),Buy to Open,6787.0,$0.37,7/10/89,,$880.81,0.0,
29,DTSreversal(BUY),Buy to Open,6473.0,$0.39,11/6/89,,$880.81,6473.0,
30,DTSreversal(BUY),Buy to Open,6473.0,$0.39,11/7/89,,$967.50,12946.0,
31,DTSreversal(SELL),Sell to Close,-12946.0,$0.38,12/7/89,($57.79),$823.01,0.0,
32,DTSreversal(BUY),Buy to Open,6829.0,$0.37,7/23/90,,$853.50,6829.0,
33,DTSreversal(SELL),Sell to Close,-6829.0,$0.37,7/24/90,$30.49,$853.50,0.0,
34,DTSreversal(BUY),Buy to Open,4696.0,$0.53,4/22/91,,$932.12,4696.0,
35,DTSreversal(BUY),Buy to Open,4786.0,$0.52,4/26/91,,$816.91,9482.0,
36,DTSreversal(BUY),Buy to Open,4776.0,$0.52,4/29/91,,$769.17,14258.0,
37,DTSreversal(SELL),Sell to Close,-14258.0,$0.38,6/13/91,($2105.27),($1251.77),0.0,
38,DTSreversal(BUY),Buy to Open,4590.0,$0.54,3/30/92,,($1369.59),4590.0,
39,DTSreversal(BUY),Buy to Open,4817.0,$0.52,3/31/92,,($1359.10),9407.0,
40,DTSreversal(BUY),Buy to Open,4806.0,$0.52,4/1/92,,($1263.92),14213.0,
41,DTSreversal(SELL),Sell to Close,-14213.0,$0.55,5/7/92,$336.83,($914.94),0.0,
42,DTSreversal(BUY),Buy to Open,4955.0,$0.50,2/9/93,,($898.35),4955.0,
43,DTSreversal(BUY),Buy to Open,4923.0,$0.51,2/10/93,,($997.57),9878.0,
44,DTSreversal(BUY),Buy to Open,5022.0,$0.50,2/11/93,,($1080.72),14900.0,
45,DTSreversal(SELL),Sell to Close,-14900.0,$0.48,2/16/93,($332.07),($1247.01),0.0,
46,DTSreversal(SELL),Sell to Close,-5090.0,$0.49,2/19/93,$0.00,($1247.01),-5090.0,
47,DTSreversal(BUY),Buy to Open,5090.0,$0.49,2/19/93,,($1247.01),0.0,
48,DTSreversal(BUY),Buy to Open,5090.0,$0.49,2/22/93,,($1241.33),5090.0,
49,DTSreversal(SELL),Sell to Close,-10251.0,$0.48,2/24/93,($34.09),($1252.30),-5161.0,
50,DTSreversal(BUY),Buy to Open,5161.0,$0.48,2/24/93,,($1281.10),0.0,
51,DTSreversal(SELL),Sell to Close,-5283.0,$0.47,3/1/93,$0.00,($1292.89),-5283.0,
52,DTSreversal(BUY),Buy to Open,5283.0,$0.47,3/1/93,,($1281.10),0.0,
53,DTSreversal(SELL),Sell to Close,-5258.0,$0.48,3/2/93,$0.00,($1328.04),-5258.0,
54,DTSreversal(BUY),Buy to Open,5258.0,$0.48,3/2/93,,($1281.10),0.0,
55,DTSreversal(SELL),Sell to Close,-5209.0,$0.48,3/22/93,$0.00,($1257.84),-5209.0,
56,DTSreversal(BUY),Buy to Open,5209.0,$0.48,3/22/93,,($1281.10),0.0,
57,DTSreversal(SELL),Sell to Close,-5258.0,$0.48,3/23/93,$0.00,($1257.62),-5258.0,
58,DTSreversal(BUY),Buy to Open,5258.0,$0.48,3/23/93,,($1281.10),0.0,
59,DTSreversal(SELL),Sell to Close,-5308.0,$0.47,3/24/93,$0.00,($1328.49),-5308.0,
60,DTSreversal(BUY),Buy to Open,5308.0,$0.47,3/24/93,,($1281.10),0.0,
61,DTSreversal(SELL),Sell to Close,-8549.0,$0.29,3/28/94,$0.00,($1319.26),-8549.0,
62,DTSreversal(BUY),Buy to Open,8549.0,$0.29,3/28/94,,($1281.10),0.0,
63,DTSreversal(SELL),Sell to Close,-8421.0,$0.30,3/29/94,$0.00,($1243.50),-8421.0,
64,DTSreversal(BUY),Buy to Open,8421.0,$0.30,3/29/94,,($1281.10),0.0,
65,DTSreversal(SELL),Sell to Close,-8549.0,$0.29,3/30/94,$0.00,($1262.01),-8549.0,
66,DTSreversal(BUY),Buy to Open,8549.0,$0.29,3/30/94,,($1281.10),0.0,
67,DTSreversal(SELL),Sell to Close,-8615.0,$0.29,3/31/94,$0.00,($1338.79),-8615.0,
68,DTSreversal(BUY),Buy to Open,8615.0,$0.29,3/31/94,,($1281.10),0.0,
69,DTSreversal(SELL),Sell to Close,-8421.0,$0.30,4/4/94,$0.00,($1281.10),-8421.0,
70,DTSreversal(BUY),Buy to Open,8421.0,$0.30,4/4/94,,($1281.10),0.0,
71,DTSreversal(SELL),Sell to Close,-8421.0,$0.30,4/5/94,$0.00,($1299.89),-8421.0,
72,DTSreversal(BUY),Buy to Open,8421.0,$0.30,4/5/94,,($1281.10),0.0,
73,DTSreversal(SELL),Sell to Close,-8389.0,$0.30,4/8/94,$0.00,($1290.46),-8389.0,
74,DTSreversal(BUY),Buy to Open,8389.0,$0.30,4/8/94,,($1281.10),0.0,
75,DTSreversal(SELL),Sell to Close,-8750.0,$0.29,4/13/94,$0.00,($1261.57),-8750.0,
76,DTSreversal(BUY),Buy to Open,8750.0,$0.29,4/13/94,,($1281.10),0.0,
77,DTSreversal(SELL),Sell to Close,-8818.0,$0.28,4/14/94,$0.00,($1261.41),-8818.0,
78,DTSreversal(BUY),Buy to Open,8818.0,$0.28,4/14/94,,($1281.10),0.0,
79,DTSreversal(SELL),Sell to Close,-8452.0,$0.30,10/4/94,$0.00,($1328.26),-8452.0,
80,DTSreversal(BUY),Buy to Open,8452.0,$0.30,10/4/94,,($1281.10),0.0,
81,DTSreversal(BUY),Buy to Open,7344.0,$0.34,11/22/94,,($1330.28),7344.0,
82,DTSreversal(BUY),Buy to Open,7491.0,$0.33,11/23/94,,($1396.50),14835.0,
83,DTSreversal(BUY),Buy to Open,7593.0,$0.33,11/25/94,,($1221.28),22428.0,
84,DTSreversal(SELL),Sell to Close,-22428.0,$0.35,12/20/94,$335.16,($945.94),0.0,
85,DTSreversal(BUY),Buy to Open,7179.0,$0.35,2/27/95,,($994.01),7179.0,
86,DTSreversal(BUY),Buy to Open,7320.0,$0.34,2/28/95,,($832.19),14499.0,
87,DTSreversal(BUY),Buy to Open,7308.0,$0.34,3/8/95,,($742.54),21807.0,
88,DTSreversal(SELL),Sell to Close,-21807.0,$0.30,4/5/95,($903.99),($1849.93),0.0,
89,DTSreversal(BUY),Buy to Open,6588.0,$0.38,8/9/95,,($1813.17),6588.0,
90,DTSreversal(SELL),Sell to Close,-6588.0,$0.41,8/25/95,$191.17,($1658.76),0.0,
91,DTSreversal(BUY),Buy to Open,6607.0,$0.38,9/14/95,,($1798.86),6607.0,
92,DTSreversal(SELL),Sell to Close,-6607.0,$0.32,9/18/95,($383.44),($2042.20),0.0,
93,DTSreversal(SELL),Sell to Close,-13913.0,$0.18,10/20/97,$0.00,($1863.63),-13913.0,
94,DTSreversal(BUY),Buy to Open,13913.0,$0.18,10/20/97,,($2042.20),0.0,
95,DTSreversal(SELL),Sell to Close,-14983.0,$0.17,10/21/97,$0.00,($2092.37),-14983.0,
96,DTSreversal(BUY),Buy to Open,14983.0,$0.17,10/21/97,,($2042.20),0.0,
97,DTSreversal(SELL),Sell to Close,-14688.0,$0.17,10/22/97,$0.00,($1976.63),-14688.0,
98,DTSreversal(BUY),Buy to Open,14688.0,$0.17,10/22/97,,($2042.20),0.0,
99,DTSreversal(SELL),Sell to Close,-15084.0,$0.17,10/23/97,$0.00,($1932.77),-15084.0,
100,DTSreversal(BUY),Buy to Open,15084.0,$0.17,10/23/97,,($2042.20),0.0,
101,DTSreversal(BUY),Buy to Open,10491.0,$0.24,5/27/98,,($2036.35),10491.0,
102,DTSreversal(BUY),Buy to Open,10467.0,$0.24,5/28/98,,($1907.70),20958.0,
103,DTSreversal(BUY),Buy to Open,10666.0,$0.23,6/2/98,,($1953.44),31624.0,
104,DTSreversal(SELL),Sell to Close,-31624.0,$0.26,6/26/98,$565.25,($1476.96),0.0,
105,DTSreversal(BUY),Buy to Open,8190.0,$0.31,8/31/98,,($1696.33),8190.0,
106,DTSreversal(BUY),Buy to Open,8977.0,$0.28,9/1/98,,($1246.08),17167.0,
107,DTSreversal(SELL),Sell to Close,-17167.0,$0.35,9/28/98,$939.78,($537.18),0.0,
108,DTSreversal(BUY),Buy to Open,8699.0,$0.29,10/6/98,,($508.05),8699.0,
109,DTSreversal(BUY),Buy to Open,8598.0,$0.29,10/7/98,,($604.57),17297.0,
110,DTSreversal(BUY),Buy to Open,8767.0,$0.29,10/8/98,,($866.38),26064.0,
111,DTSreversal(SELL),Sell to Close,-26064.0,$0.35,10/14/98,$1517.96,$980.79,0.0,
112,DTSreversal(BUY),Buy to Open,8342.0,$0.30,11/12/98,,$1013.37,8342.0,
113,DTSreversal(SELL),Sell to Close,-8342.0,$0.34,12/23/98,$330.51,$1311.30,0.0,
114,DTSreversal(BUY),Buy to Open,7710.0,$0.32,2/8/99,,$1410.26,7710.0,
115,DTSreversal(SELL),Sell to Close,-7710.0,$0.33,4/6/99,$51.63,$1362.93,0.0,
116,DTSreversal(BUY),Buy to Open,6637.0,$0.38,6/28/99,,$1385.15,6637.0,
117,DTSreversal(SELL),Sell to Close,-6637.0,$0.42,7/7/99,$307.40,$1670.33,0.0,
118,DTSreversal(BUY),Buy to Open,4566.0,$0.55,9/28/99,,$1601.54,4566.0,
119,DTSreversal(BUY),Buy to Open,4696.0,$0.53,9/29/99,,$1555.02,9262.0,
120,DTSreversal(BUY),Buy to Open,4740.0,$0.53,9/30/99,,$2086.35,14002.0,
121,DTSreversal(SELL),Sell to Close,-14002.0,$0.65,10/15/99,$1650.57,$3320.90,0.0,
122,DTSreversal(BUY),Buy to Open,3211.0,$0.78,1/13/00,,$3595.05,3211.0,
123,DTSreversal(SELL),Sell to Close,-3211.0,$0.95,1/20/00,$555.47,$3876.37,0.0,
124,DTSreversal(BUY),Buy to Open,2562.0,$0.98,4/13/00,,$3980.74,2562.0,
125,DTSreversal(BUY),Buy to Open,2655.0,$0.94,5/10/00,,$3503.86,5217.0,
126,DTSreversal(BUY),Buy to Open,2819.0,$0.89,5/11/00,,$3754.98,8036.0,
127,DTSreversal(SELL),Sell to Close,-8036.0,$0.90,6/21/00,($233.50),$3642.87,0.0,
128,DTSreversal(SELL),Sell to Close,-6511.0,$0.38,2/22/02,$0.00,$3498.70,-6511.0,
129,DTSreversal(BUY),Buy to Open,6511.0,$0.38,2/22/02,,$3642.87,0.0,
130,DTSreversal(BUY),Buy to Open,6084.0,$0.41,4/29/02,,$3746.08,6084.0,
131,DTSreversal(BUY),Buy to Open,6181.0,$0.40,5/7/02,,$3564.34,12265.0,
132,DTSreversal(BUY),Buy to Open,6230.0,$0.40,5/8/02,,$4191.84,18495.0,
133,DTSreversal(SELL),Sell to Close,-18495.0,$0.46,5/15/02,$958.51,$4601.38,0.0,
134,DTSreversal(BUY),Buy to Open,6317.0,$0.40,6/7/02,,$4515.65,6317.0,
135,DTSreversal(SELL),Sell to Close,-6317.0,$0.37,6/12/02,($191.77),$4409.61,0.0,
136,DTSreversal(BUY),Buy to Open,6852.0,$0.36,9/26/03,,$4441.43,6852.0,
137,DTSreversal(SELL),Sell to Close,-6852.0,$0.40,10/7/03,$227.58,$4637.20,0.0,
138,DTSreversal(BUY),Buy to Open,6499.0,$0.38,11/12/03,,$4728.88,6499.0,
139,DTSreversal(BUY),Buy to Open,6625.0,$0.38,11/18/03,,$4420.88,13124.0,
140,DTSreversal(BUY),Buy to Open,6859.0,$0.36,11/19/03,,$4424.45,19983.0,
141,DTSreversal(SELL),Sell to Close,-19983.0,$0.38,12/31/03,$94.13,$4731.33,0.0,
142,DTSreversal(BUY),Buy to Open,4804.0,$0.52,7/13/04,,$4738.19,4804.0,
143,DTSreversal(BUY),Buy to Open,4791.0,$0.52,7/14/04,,$4799.87,9595.0,
144,DTSreversal(SELL),Sell to Close,-9595.0,$0.59,7/16/04,$642.53,$5373.86,0.0,
145,DTSreversal(BUY),Buy to Open,1878.0,$1.33,4/15/05,,$5245.75,1878.0,
146,DTSreversal(BUY),Buy to Open,1980.0,$1.26,4/18/05,,$5282.95,3858.0,
147,DTSreversal(BUY),Buy to Open,1965.0,$1.27,4/19/05,,$5588.66,5823.0,
148,DTSreversal(SELL),Sell to Close,-5823.0,$1.42,5/24/05,$770.07,$6143.93,0.0,
149,DTSreversal(BUY),Buy to Open,1040.0,$2.40,2/7/06,,$6155.07,1040.0,
150,DTSreversal(BUY),Buy to Open,1035.0,$2.41,2/8/06,,$6244.74,2075.0,
151,DTSreversal(BUY),Buy to Open,1017.0,$2.46,2/9/06,,$5818.49,3092.0,
152,DTSreversal(SELL),Sell to Close,-3092.0,$2.40,4/6/06,($75.87),$6068.05,0.0,
153,DTSreversal(BUY),Buy to Open,1077.0,$2.32,5/17/06,,$6078.82,1077.0,
154,DTSreversal(BUY),Buy to Open,1107.0,$2.26,5/19/06,,$6102.56,2184.0,
155,DTSreversal(SELL),Sell to Close,-2184.0,$1.87,7/14/06,($921.78),$5146.28,0.0,
156,DTSreversal(BUY),Buy to Open,844.0,$2.96,12/22/06,,$5125.18,844.0,
157,DTSreversal(BUY),Buy to Open,851.0,$2.94,12/26/06,,$5083.41,1695.0,
158,DTSreversal(BUY),Buy to Open,858.0,$2.91,12/27/06,,$5084.32,2553.0,
159,DTSreversal(SELL),Sell to Close,-2553.0,$3.31,1/10/07,$945.57,$6091.84,0.0,
160,DTSreversal(BUY),Buy to Open,583.0,$4.28,8/16/07,,$6032.50,583.0,
161,DTSreversal(BUY),Buy to Open,598.0,$4.18,8/17/07,,$6243.82,1181.0,
