Symbol: ABBV Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,FReversalSwing(BUY),Buy to Open,7.0,$52.05,8/7/14,,$2.66,7.0,
2,FReversalSwing(SELL),Sell to Close,-7.0,$55.29,8/20/14,$22.68,$22.68,0.0,
3,FReversalSwing(BUY),Buy to Open,7.0,$53.62,10/14/14,,$26.25,7.0,
4,FReversalSwing(BUY),Buy to Open,7.0,$54.13,10/15/14,,$33.25,14.0,
5,FReversalSwing(BUY),Buy to Open,7.0,$53.37,10/20/14,,$37.45,21.0,
6,FReversalSwing(SELL),Sell to Close,-21.0,$59.52,10/24/14,$122.08,$144.76,0.0,
7,FReversalSwing(BUY),Buy to Open,6.0,$62.89,1/16/15,,$154.66,6.0,
8,FReversalSwing(BUY),Buy to Open,6.0,$61.85,1/29/15,,$153.76,12.0,
9,FReversalSwing(BUY),Buy to Open,6.0,$60.35,2/2/15,,$126.82,18.0,
10,FReversalSwing(SELL),Sell to Close,-18.0,$61.19,3/20/15,($9.12),$135.64,0.0,
11,FReversalSwing(BUY),Buy to Open,5.0,$67.48,8/21/15,,$127.74,5.0,
12,FReversalSwing(BUY),Buy to Open,6.0,$65.90,8/24/15,,$100.79,11.0,
13,FReversalSwing(SELL),Sell to Close,-11.0,$59.23,8/25/15,($81.31),$54.33,0.0,
14,FReversalSwing(BUY),Buy to Open,6.0,$64.16,8/31/16,,$53.97,6.0,
15,FReversalSwing(BUY),Buy to Open,6.0,$64.10,9/1/16,,$53.13,12.0,
16,FReversalSwing(BUY),Buy to Open,6.0,$64.03,9/2/16,,$54.75,18.0,
17,FReversalSwing(SELL),Sell to Close,-18.0,$65.08,9/23/16,$17.70,$72.03,0.0,
18,FReversalSwing(BUY),Buy to Open,6.0,$62.82,9/30/16,,$73.53,6.0,
19,FReversalSwing(BUY),Buy to Open,6.0,$62.39,10/12/16,,$55.29,12.0,
20,FReversalSwing(SELL),Sell to Close,-12.0,$61.55,10/13/16,($12.64),$59.39,0.0,
21,FReversalSwing(BUY),Buy to Open,6.0,$63.65,4/19/17,,$58.19,6.0,
22,FReversalSwing(BUY),Buy to Open,6.0,$63.45,4/20/17,,$62.15,12.0,
