Symbol: ABCB Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,81.0,$12.33,12/5/97,,$49.22,81.0,
2,keepbusy_cross(SELL),Sell to Close,-81.0,$12.50,2/10/98,$14.06,$14.06,0.0,
3,keepbusy_cross(Buy),Buy to Open,82.0,$12.17,4/1/02,,$55.06,82.0,
4,keepbusy_cross(SELL),Sell to Close,-82.0,$12.01,5/9/02,($12.49),$1.57,0.0,
5,keepbusy_cross(Buy),Buy to Open,47.0,$20.95,1/27/06,,$2.98,47.0,
6,keepbusy_cross(SELL),Sell to Close,-47.0,$20.26,2/3/06,($32.41),($30.85),0.0,
7,keepbusy_cross(Buy),Buy to Open,47.0,$21.16,2/17/06,,($19.57),47.0,
8,keepbusy_cross(SELL),Sell to Close,-47.0,$20.33,3/13/06,($39.24),($70.08),0.0,
9,keepbusy_cross(Buy),Buy to Open,41.0,$23.98,7/28/06,,($47.94),41.0,
10,keepbusy_cross(SELL),Sell to Close,-41.0,$27.10,11/2/06,$127.80,$57.71,0.0,
11,keepbusy_cross(Buy),Buy to Open,35.0,$28.26,11/17/06,,$64.36,35.0,
12,keepbusy_cross(SELL),Sell to Close,-35.0,$26.40,11/28/06,($65.22),($7.51),0.0,
13,keepbusy_cross(Buy),Buy to Open,105.0,$9.48,10/14/11,,$10.34,105.0,
14,keepbusy_cross(SELL),Sell to Close,-105.0,$9.11,10/18/11,($39.05),($46.56),0.0,
15,keepbusy_cross(Buy),Buy to Open,41.0,$23.84,10/17/14,,($50.25),41.0,
16,keepbusy_cross(SELL),Sell to Close,-41.0,$24.95,1/5/15,$45.43,($1.12),0.0,
17,keepbusy_cross(Buy),Buy to Open,18.0,$54.38,7/12/24,,$1.58,18.0,
18,keepbusy_cross(SELL),Sell to Close,-18.0,$59.12,10/4/24,$85.32,$84.20,0.0,
19,keepbusy_cross(Buy),Buy to Open,14.0,$69.32,11/8/24,,$89.52,14.0,
