Symbol: AKAM Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,65.0,$15.16,9/30/05,,$51.35,65.0,
2,keepbusy_cross(SELL),Sell to Close,-65.0,$20.59,2/6/06,$352.95,$352.95,0.0,
3,keepbusy_cross(Buy),Buy to Open,18.0,$53.38,12/8/06,,$360.15,18.0,
4,keepbusy_cross(SELL),Sell to Close,-18.0,$52.15,2/28/07,($22.05),$330.90,0.0,
5,keepbusy_cross(Buy),Buy to Open,49.0,$20.24,10/9/09,,$334.33,49.0,
6,keepbusy_cross(SELL),Sell to Close,-49.0,$25.09,2/1/10,$237.83,$568.72,0.0,
7,keepbusy_cross(Buy),Buy to Open,35.0,$28.27,3/5/10,,$601.27,35.0,
8,keepbusy_cross(SELL),Sell to Close,-35.0,$39.23,7/2/10,$383.66,$952.39,0.0,
9,keepbusy_cross(Buy),Buy to Open,14.0,$67.59,2/13/15,,$968.91,14.0,
10,keepbusy_cross(SELL),Sell to Close,-14.0,$73.22,6/10/15,$78.82,$1,031.21,0.0,
11,keepbusy_cross(Buy),Buy to Open,18.0,$54.86,10/7/16,,$1,032.83,18.0,
12,keepbusy_cross(SELL),Sell to Close,-18.0,$53.69,10/12/16,($20.99),$1,010.21,0.0,
13,keepbusy_cross(Buy),Buy to Open,9.0,$109.06,1/25/21,,$1,030.64,9.0,
14,keepbusy_cross(SELL),Sell to Close,-9.0,$106.42,2/11/21,($23.77),$986.44,0.0,
15,keepbusy_cross(Buy),Buy to Open,8.0,$115.23,3/18/22,,$1,005.56,8.0,
16,keepbusy_cross(SELL),Sell to Close,-8.0,$113.94,4/28/22,($10.30),$976.14,0.0,
