Symbol: AKR Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,88.0,$11.25,1/17/97,,$22.00,88.0,
2,keepbusy_cross(SELL),Sell to Close,-88.0,$10.77,2/7/97,($42.35),($42.35),0.0,
3,keepbusy_cross(Buy),Buy to Open,78.0,$12.71,1/30/04,,$11.47,78.0,
4,keepbusy_cross(SELL),Sell to Close,-78.0,$13.63,3/29/04,$71.94,$29.59,0.0,
5,keepbusy_cross(Buy),Buy to Open,64.0,$15.57,12/10/04,,$24.47,64.0,
6,keepbusy_cross(SELL),Sell to Close,-64.0,$15.95,3/1/05,$24.19,$53.78,0.0,
7,keepbusy_cross(Buy),Buy to Open,40.0,$24.64,9/1/06,,$49.78,40.0,
8,keepbusy_cross(SELL),Sell to Close,-40.0,$25.16,11/2/06,$20.79,$74.58,0.0,
9,keepbusy_cross(Buy),Buy to Open,53.0,$18.81,9/3/10,,$90.48,53.0,
10,keepbusy_cross(SELL),Sell to Close,-53.0,$18.52,11/17/10,($15.29),$59.29,0.0,
11,keepbusy_cross(Buy),Buy to Open,49.0,$20.18,12/23/11,,$61.74,49.0,
12,keepbusy_cross(SELL),Sell to Close,-49.0,$19.73,1/5/12,($21.94),$37.35,0.0,
13,keepbusy_cross(Buy),Buy to Open,42.0,$23.75,7/9/12,,$40.29,42.0,
14,keepbusy_cross(SELL),Sell to Close,-42.0,$24.36,10/2/12,$25.71,$63.07,0.0,
15,keepbusy_cross(Buy),Buy to Open,31.0,$31.75,10/9/15,,$67.10,31.0,
16,keepbusy_cross(SELL),Sell to Close,-31.0,$31.81,12/14/15,$1.86,$64.93,0.0,
17,keepbusy_cross(Buy),Buy to Open,28.0,$35.26,5/6/16,,$71.93,28.0,
18,keepbusy_cross(SELL),Sell to Close,-28.0,$33.63,5/18/16,($45.77),$19.16,0.0,
19,keepbusy_cross(Buy),Buy to Open,28.0,$35.52,7/1/16,,$30.08,28.0,
20,keepbusy_cross(SELL),Sell to Close,-28.0,$35.51,8/18/16,($0.29),$18.86,0.0,
21,keepbusy_cross(Buy),Buy to Open,44.0,$22.40,11/5/21,,$49.66,44.0,
22,keepbusy_cross(SELL),Sell to Close,-44.0,$21.48,11/29/21,($40.47),($21.60),0.0,
