Symbol: AMZN Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,FReversalSwing(BUY),Buy to Open,521.0,$0.77,6/26/02,,$13.29,521.0,
2,FReversalSwing(BUY),Buy to Open,504.0,$0.79,6/27/02,,$13.80,1025.0,
3,FReversalSwing(BUY),Buy to Open,504.0,$0.79,6/28/02,,$43.61,1529.0,
4,FReversalSwing(SELL),Sell to Close,-1529.0,$0.69,7/2/02,($144.69),($144.69),0.0,
5,FReversalSwing(BUY),Buy to Open,175.0,$2.28,1/11/06,,($150.99),175.0,
6,FReversalSwing(BUY),Buy to Open,178.0,$2.25,1/12/06,,($161.05),353.0,
7,FReversalSwing(BUY),Buy to Open,180.0,$2.22,1/13/06,,($159.99),533.0,
8,FReversalSwing(SELL),Sell to Close,-533.0,$2.01,2/3/06,($126.17),($270.86),0.0,
9,FReversalSwing(BUY),Buy to Open,102.0,$3.88,6/24/09,,($262.75),102.0,
10,FReversalSwing(SELL),Sell to Close,-102.0,$4.19,6/29/09,$31.62,($239.24),0.0,
11,FReversalSwing(BUY),Buy to Open,105.0,$3.78,7/8/09,,($230.16),105.0,
12,FReversalSwing(SELL),Sell to Close,-105.0,$4.23,7/16/09,$46.83,($192.41),0.0,
13,FReversalSwing(BUY),Buy to Open,101.0,$3.96,9/2/09,,($197.56),101.0,
14,FReversalSwing(BUY),Buy to Open,102.0,$3.91,9/3/09,,($194.31),203.0,
15,FReversalSwing(BUY),Buy to Open,101.0,$3.92,9/4/09,,($188.08),304.0,
16,FReversalSwing(SELL),Sell to Close,-304.0,$4.23,9/14/09,$90.51,($101.90),0.0,
17,FReversalSwing(BUY),Buy to Open,47.0,$8.45,3/8/11,,($107.04),47.0,
18,FReversalSwing(BUY),Buy to Open,47.0,$8.34,3/9/11,,($96.89),94.0,
19,FReversalSwing(BUY),Buy to Open,47.0,$8.45,3/10/11,,($117.41),141.0,
20,FReversalSwing(SELL),Sell to Close,-141.0,$8.73,3/30/11,$44.27,($57.62),0.0,
21,FReversalSwing(BUY),Buy to Open,43.0,$9.28,6/7/11,,($53.62),43.0,
22,FReversalSwing(BUY),Buy to Open,43.0,$9.18,6/17/11,,($50.31),86.0,
23,FReversalSwing(SELL),Sell to Close,-86.0,$9.71,6/22/11,$41.11,($16.51),0.0,
24,FReversalSwing(BUY),Buy to Open,41.0,$9.69,8/9/11,,$6.84,41.0,
25,FReversalSwing(BUY),Buy to Open,41.0,$9.71,8/11/11,,$1.71,82.0,
26,FReversalSwing(SELL),Sell to Close,-82.0,$10.33,8/30/11,$51.72,$35.21,0.0,
27,FReversalSwing(BUY),Buy to Open,40.0,$9.92,10/27/11,,$51.97,40.0,
28,FReversalSwing(BUY),Buy to Open,38.0,$10.34,10/28/11,,$93.07,78.0,
29,FReversalSwing(BUY),Buy to Open,39.0,$10.23,11/18/11,,($0.02),117.0,
30,FReversalSwing(SELL),Sell to Close,-117.0,$8.82,12/15/11,($155.98),($120.77),0.0,
31,FReversalSwing(BUY),Buy to Open,33.0,$12.12,10/15/12,,($117.77),33.0,
32,FReversalSwing(BUY),Buy to Open,33.0,$12.00,10/22/12,,($145.19),66.0,
33,FReversalSwing(BUY),Buy to Open,34.0,$11.69,10/23/12,,($142.54),100.0,
34,FReversalSwing(SELL),Sell to Close,-100.0,$11.99,11/26/12,$6.08,($114.69),0.0,
35,FReversalSwing(BUY),Buy to Open,31.0,$12.89,3/19/13,,($116.98),31.0,
36,FReversalSwing(BUY),Buy to Open,31.0,$12.82,3/20/13,,($114.29),62.0,
37,FReversalSwing(BUY),Buy to Open,31.0,$12.86,3/21/13,,($132.37),93.0,
38,FReversalSwing(SELL),Sell to Close,-93.0,$13.49,4/12/13,$58.86,($55.83),0.0,
39,FReversalSwing(BUY),Buy to Open,27.0,$14.32,8/16/13,,($58.06),27.0,
40,FReversalSwing(BUY),Buy to Open,28.0,$14.24,8/19/13,,($56.00),55.0,
41,FReversalSwing(BUY),Buy to Open,28.0,$14.28,8/20/13,,($49.69),83.0,
42,FReversalSwing(SELL),Sell to Close,-83.0,$14.71,9/6/13,$35.23,($20.60),0.0,
43,FReversalSwing(BUY),Buy to Open,23.0,$17.31,2/4/14,,($18.53),23.0,
44,FReversalSwing(BUY),Buy to Open,22.0,$17.40,2/5/14,,($21.90),45.0,
45,FReversalSwing(BUY),Buy to Open,23.0,$17.32,2/6/14,,$5.77,68.0,
46,FReversalSwing(SELL),Sell to Close,-68.0,$18.62,3/6/14,$86.82,$66.22,0.0,
47,FReversalSwing(BUY),Buy to Open,22.0,$17.59,3/25/14,,$69.37,22.0,
48,FReversalSwing(BUY),Buy to Open,22.0,$17.74,3/26/14,,$44.51,44.0,
49,FReversalSwing(BUY),Buy to Open,23.0,$17.17,3/27/14,,$27.96,67.0,
50,FReversalSwing(SELL),Sell to Close,-67.0,$15.07,4/29/14,($162.71),($96.49),0.0,
51,FReversalSwing(BUY),Buy to Open,10.0,$37.75,11/7/16,,($81.55),10.0,
52,FReversalSwing(BUY),Buy to Open,10.0,$37.12,11/11/16,,($106.19),20.0,
53,FReversalSwing(BUY),Buy to Open,10.0,$36.95,11/14/16,,($136.10),30.0,
54,FReversalSwing(SELL),Sell to Close,-30.0,$39.02,1/6/17,$52.46,($44.03),0.0,
55,FReversalSwing(BUY),Buy to Open,8.0,$47.85,8/11/17,,($39.60),8.0,
56,FReversalSwing(BUY),Buy to Open,8.0,$48.40,8/14/17,,($27.36),16.0,
57,FReversalSwing(BUY),Buy to Open,8.0,$48.03,8/18/17,,($48.06),24.0,
58,FReversalSwing(SELL),Sell to Close,-24.0,$49.98,9/14/17,$45.33,$1.30,0.0,
59,FReversalSwing(BUY),Buy to Open,8.0,$46.99,9/26/17,,$0.82,8.0,
60,FReversalSwing(BUY),Buy to Open,8.0,$46.93,9/27/17,,$10.64,16.0,
61,FReversalSwing(SELL),Sell to Close,-16.0,$49.04,10/6/17,$33.32,$34.62,0.0,
62,FReversalSwing(BUY),Buy to Open,4.0,$88.75,6/3/19,,$18.14,4.0,
63,FReversalSwing(BUY),Buy to Open,4.0,$87.72,6/7/19,,$50.35,8.0,
64,FReversalSwing(SELL),Sell to Close,-8.0,$93.03,6/11/19,$38.37,$72.99,0.0,
65,FReversalSwing(BUY),Buy to Open,4.0,$94.93,7/31/19,,$66.64,4.0,
66,FReversalSwing(BUY),Buy to Open,4.0,$93.34,8/1/19,,$62.05,8.0,
67,FReversalSwing(BUY),Buy to Open,4.0,$92.77,8/2/19,,$42.80,12.0,
68,FReversalSwing(SELL),Sell to Close,-12.0,$86.92,9/25/19,($81.14),($8.15),0.0,
69,FReversalSwing(BUY),Buy to Open,4.0,$94.22,2/28/20,,($8.26),4.0,
70,FReversalSwing(BUY),Buy to Open,4.0,$94.19,3/2/20,,$19.82,8.0,
71,FReversalSwing(SELL),Sell to Close,-8.0,$88.69,3/10/20,($44.07),($52.21),0.0,
72,FReversalSwing(BUY),Buy to Open,2.0,$154.65,3/1/21,,($46.89),2.0,
73,FReversalSwing(BUY),Buy to Open,2.0,$154.73,3/3/21,,($69.96),4.0,
74,FReversalSwing(SELL),Sell to Close,-4.0,$158.05,4/5/21,$13.45,($38.76),0.0,
