Symbol: TAP Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,78.0,$12.75,1/9/87,,$0.00,78.0,
2,keepbusy_cross(SELL),Sell to Close,-78.0,$12.77,2/24/87,$1.37,$1.37,0.0,
3,keepbusy_cross(Buy),Buy to Open,87.0,$11.44,5/24/91,,$6.80,87.0,
4,keepbusy_cross(SELL),Sell to Close,-87.0,$10.97,6/13/91,($40.29),($38.93),0.0,
5,keepbusy_cross(Buy),Buy to Open,85.0,$11.69,7/12/91,,($60.18),85.0,
6,keepbusy_cross(SELL),Sell to Close,-85.0,$11.09,7/17/91,($50.68),($89.61),0.0,
7,keepbusy_cross(Buy),Buy to Open,100.0,$10.00,7/22/94,,($77.11),100.0,
8,keepbusy_cross(SELL),Sell to Close,-100.0,$9.55,8/8/94,($45.17),($134.78),0.0,
9,keepbusy_cross(Buy),Buy to Open,93.0,$10.75,2/28/97,,($140.59),93.0,
10,keepbusy_cross(SELL),Sell to Close,-93.0,$9.97,4/2/97,($72.73),($207.51),0.0,
11,keepbusy_cross(Buy),Buy to Open,50.0,$19.81,8/14/98,,($213.76),50.0,
12,keepbusy_cross(SELL),Sell to Close,-50.0,$24.92,12/4/98,$255.17,$47.66,0.0,
13,keepbusy_cross(Buy),Buy to Open,29.0,$34.47,11/17/00,,$86.63,29.0,
14,keepbusy_cross(SELL),Sell to Close,-29.0,$33.60,1/5/01,($25.11),$22.55,0.0,
15,keepbusy_cross(Buy),Buy to Open,35.0,$27.96,2/15/02,,$34.80,35.0,
16,keepbusy_cross(SELL),Sell to Close,-35.0,$32.94,5/31/02,$174.56,$197.11,0.0,
17,keepbusy_cross(Buy),Buy to Open,29.0,$34.14,3/10/06,,$196.96,29.0,
18,keepbusy_cross(SELL),Sell to Close,-29.0,$33.69,5/4/06,($12.91),$184.20,0.0,
19,keepbusy_cross(Buy),Buy to Open,28.0,$35.08,8/18/06,,$173.00,28.0,
20,keepbusy_cross(SELL),Sell to Close,-28.0,$34.15,9/12/06,($25.95),$158.25,0.0,
21,keepbusy_cross(Buy),Buy to Open,18.0,$53.25,3/14/08,,$140.43,18.0,
22,keepbusy_cross(SELL),Sell to Close,-18.0,$51.41,3/18/08,($33.19),$125.06,0.0,
23,keepbusy_cross(Buy),Buy to Open,22.0,$43.93,6/11/10,,$119.56,22.0,
24,keepbusy_cross(SELL),Sell to Close,-22.0,$43.15,6/28/10,($17.10),$107.96,0.0,
25,keepbusy_cross(Buy),Buy to Open,21.0,$46.45,7/22/11,,$109.85,21.0,
26,keepbusy_cross(SELL),Sell to Close,-21.0,$45.57,7/28/11,($18.54),$89.42,0.0,
27,keepbusy_cross(Buy),Buy to Open,22.0,$44.21,1/18/13,,$103.28,22.0,
28,keepbusy_cross(SELL),Sell to Close,-22.0,$50.44,6/3/13,$137.10,$226.52,0.0,
29,keepbusy_cross(Buy),Buy to Open,18.0,$52.67,10/18/13,,$225.62,18.0,
30,keepbusy_cross(SELL),Sell to Close,-18.0,$52.19,12/3/13,($8.73),$217.79,0.0,
31,keepbusy_cross(Buy),Buy to Open,13.0,$74.90,8/15/14,,$217.27,13.0,
32,keepbusy_cross(SELL),Sell to Close,-13.0,$72.57,9/5/14,($30.26),$187.53,0.0,
33,keepbusy_cross(Buy),Buy to Open,12.0,$82.60,9/18/15,,$208.89,12.0,
34,keepbusy_cross(SELL),Sell to Close,-12.0,$91.11,1/7/16,$102.10,$289.63,0.0,
