Symbol: ASML Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,FReversalSwing(BUY),Buy to Open,31.0,$12.81,3/2/99,,($0.65),31.0,
2,FReversalSwing(BUY),Buy to Open,31.0,$12.79,3/3/99,,$5.81,62.0,
3,FReversalSwing(SELL),Sell to Close,-62.0,$15.19,3/17/99,$147.88,$147.88,0.0,
4,FReversalSwing(BUY),Buy to Open,29.0,$13.67,4/30/99,,$128.55,29.0,
5,FReversalSwing(BUY),Buy to Open,30.0,$13.00,5/3/99,,$155.59,59.0,
6,FReversalSwing(BUY),Buy to Open,29.0,$13.46,5/4/99,,$111.59,88.0,
7,FReversalSwing(SELL),Sell to Close,-88.0,$15.19,5/19/99,$159.86,$307.74,0.0,
8,FReversalSwing(BUY),Buy to Open,30.0,$13.15,9/29/03,,$311.34,30.0,
9,FReversalSwing(BUY),Buy to Open,30.0,$13.27,9/30/03,,$302.34,60.0,
10,FReversalSwing(BUY),Buy to Open,30.0,$13.12,10/1/03,,$338.34,90.0,
11,FReversalSwing(SELL),Sell to Close,-90.0,$15.06,10/6/03,$169.20,$476.94,0.0,
12,FReversalSwing(BUY),Buy to Open,24.0,$16.62,3/22/05,,$481.74,24.0,
13,FReversalSwing(SELL),Sell to Close,-24.0,$16.42,3/30/05,($4.87),$472.07,0.0,
14,FReversalSwing(BUY),Buy to Open,19.0,$20.71,2/27/06,,$472.64,19.0,
15,FReversalSwing(BUY),Buy to Open,19.0,$20.74,2/28/06,,$470.36,38.0,
16,FReversalSwing(BUY),Buy to Open,19.0,$20.68,3/1/06,,$511.40,57.0,
17,FReversalSwing(SELL),Sell to Close,-57.0,$21.10,4/7/06,$22.23,$494.30,0.0,
18,FReversalSwing(BUY),Buy to Open,19.0,$20.13,5/15/06,,$486.13,19.0,
19,FReversalSwing(BUY),Buy to Open,20.0,$19.70,5/16/06,,$482.62,39.0,
20,FReversalSwing(BUY),Buy to Open,20.0,$19.61,5/17/06,,$452.53,59.0,
21,FReversalSwing(SELL),Sell to Close,-59.0,$20.83,6/2/06,$60.30,$554.60,0.0,
22,FReversalSwing(BUY),Buy to Open,16.0,$23.98,12/22/06,,$554.60,16.0,
23,FReversalSwing(BUY),Buy to Open,16.0,$23.98,12/26/06,,$566.12,32.0,
24,FReversalSwing(SELL),Sell to Close,-32.0,$25.03,1/9/07,$33.60,$588.20,0.0,
25,FReversalSwing(BUY),Buy to Open,16.0,$23.86,3/2/07,,$579.56,16.0,
26,FReversalSwing(BUY),Buy to Open,17.0,$23.32,3/5/07,,$566.03,33.0,
27,FReversalSwing(BUY),Buy to Open,17.0,$22.91,3/6/07,,$578.53,50.0,
28,FReversalSwing(SELL),Sell to Close,-50.0,$24.65,3/22/07,$64.83,$653.03,0.0,
29,FReversalSwing(BUY),Buy to Open,15.0,$25.62,5/11/07,,$659.63,15.0,
30,FReversalSwing(BUY),Buy to Open,15.0,$25.41,5/17/07,,$652.58,30.0,
31,FReversalSwing(BUY),Buy to Open,15.0,$25.50,5/18/07,,$653.03,45.0,
32,FReversalSwing(SELL),Sell to Close,-45.0,$26.26,6/4/07,$33.75,$686.78,0.0,
33,FReversalSwing(BUY),Buy to Open,14.0,$26.69,8/16/07,,$686.08,14.0,
34,FReversalSwing(BUY),Buy to Open,15.0,$26.64,8/17/07,,$687.24,29.0,
35,FReversalSwing(BUY),Buy to Open,14.0,$26.68,8/20/07,,$720.78,43.0,
36,FReversalSwing(SELL),Sell to Close,-43.0,$29.25,8/30/07,$110.97,$797.75,0.0,
37,FReversalSwing(BUY),Buy to Open,12.0,$31.43,12/28/07,,$799.67,12.0,
38,FReversalSwing(BUY),Buy to Open,12.0,$31.59,12/31/07,,$792.47,24.0,
39,FReversalSwing(BUY),Buy to Open,12.0,$31.29,1/2/08,,$762.95,36.0,
40,FReversalSwing(SELL),Sell to Close,-36.0,$24.89,1/17/08,($235.68),$562.07,0.0,
41,FReversalSwing(BUY),Buy to Open,14.0,$26.67,10/29/09,,$579.57,14.0,
42,FReversalSwing(BUY),Buy to Open,14.0,$26.94,11/2/09,,$572.01,28.0,
43,FReversalSwing(SELL),Sell to Close,-28.0,$30.49,11/16/09,$103.18,$665.25,0.0,
44,FReversalSwing(BUY),Buy to Open,10.0,$39.23,3/17/11,,$683.15,10.0,
45,FReversalSwing(SELL),Sell to Close,-10.0,$43.39,3/29/11,$41.60,$706.85,0.0,
