Symbol: ASX Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,294.0,$3.40,8/27/04,,$5.34,294.0,
2,keepbusy_cross(SELL),Sell to Close,-294.0,$3.24,9/3/04,($48.04),($48.04),0.0,
3,keepbusy_cross(Buy),Buy to Open,162.0,$6.17,4/20/07,,($26.98),162.0,
4,keepbusy_cross(SELL),Sell to Close,-162.0,$5.96,4/27/07,($34.10),($82.14),0.0,
5,keepbusy_cross(Buy),Buy to Open,155.0,$6.44,1/16/15,,($75.94),155.0,
6,keepbusy_cross(SELL),Sell to Close,-155.0,$7.07,4/9/15,$98.32,$16.19,0.0,
7,keepbusy_cross(Buy),Buy to Open,181.0,$5.50,2/22/16,,$23.43,181.0,
8,keepbusy_cross(SELL),Sell to Close,-181.0,$5.44,2/23/16,($10.86),$5.33,0.0,
9,keepbusy_cross(Buy),Buy to Open,175.0,$5.71,6/6/16,,$1.83,175.0,
10,keepbusy_cross(SELL),Sell to Close,-175.0,$5.38,6/17/16,($58.41),($53.09),0.0,
11,keepbusy_cross(Buy),Buy to Open,104.0,$9.59,8/6/21,,($69.73),104.0,
12,keepbusy_cross(SELL),Sell to Close,-104.0,$8.39,8/18/21,($124.80),($177.89),0.0,
