Symbol: AWR Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,171.0,$5.83,11/1/91,,($21.38),171.0,
2,keepbusy_cross(SELL),Sell to Close,-171.0,$5.51,11/8/91,($55.52),($55.52),0.0,
3,keepbusy_cross(Buy),Buy to Open,134.0,$7.42,6/3/96,,($66.69),134.0,
4,keepbusy_cross(SELL),Sell to Close,-134.0,$6.92,7/17/96,($66.33),($121.85),0.0,
5,keepbusy_cross(Buy),Buy to Open,129.0,$7.73,11/21/97,,($132.60),129.0,
6,keepbusy_cross(SELL),Sell to Close,-129.0,$7.47,11/26/97,($33.51),($155.36),0.0,
7,keepbusy_cross(Buy),Buy to Open,115.0,$8.65,10/2/98,,($143.38),115.0,
8,keepbusy_cross(SELL),Sell to Close,-115.0,$9.00,12/22/98,$40.33,($115.03),0.0,
9,keepbusy_cross(Buy),Buy to Open,83.0,$11.92,11/5/99,,($56.23),83.0,
10,keepbusy_cross(SELL),Sell to Close,-83.0,$11.41,11/22/99,($41.99),($157.02),0.0,
11,keepbusy_cross(Buy),Buy to Open,99.0,$10.00,9/15/00,,($161.14),99.0,
12,keepbusy_cross(SELL),Sell to Close,-99.0,$9.64,9/20/00,($35.85),($192.87),0.0,
13,keepbusy_cross(Buy),Buy to Open,70.0,$14.15,6/21/02,,($173.62),70.0,
14,keepbusy_cross(SELL),Sell to Close,-70.0,$12.83,7/2/02,($92.09),($284.96),0.0,
15,keepbusy_cross(Buy),Buy to Open,77.0,$12.92,9/13/02,,($271.49),77.0,
16,keepbusy_cross(SELL),Sell to Close,-77.0,$12.39,10/10/02,($40.13),($325.09),0.0,
17,keepbusy_cross(Buy),Buy to Open,79.0,$12.65,12/17/04,,($301.39),79.0,
18,keepbusy_cross(SELL),Sell to Close,-79.0,$12.52,1/10/05,($10.15),($335.24),0.0,
19,keepbusy_cross(Buy),Buy to Open,76.0,$13.01,2/4/05,,($326.12),76.0,
20,keepbusy_cross(SELL),Sell to Close,-76.0,$13.04,3/11/05,$1.91,($333.33),0.0,
21,keepbusy_cross(Buy),Buy to Open,61.0,$16.20,9/2/05,,($345.53),61.0,
22,keepbusy_cross(SELL),Sell to Close,-61.0,$15.31,9/23/05,($54.05),($387.38),0.0,
23,keepbusy_cross(Buy),Buy to Open,58.0,$17.05,2/27/06,,($370.56),58.0,
24,keepbusy_cross(SELL),Sell to Close,-58.0,$18.92,5/22/06,$108.53,($278.86),0.0,
25,keepbusy_cross(Buy),Buy to Open,49.0,$20.22,10/13/06,,($278.37),49.0,
26,keepbusy_cross(SELL),Sell to Close,-49.0,$19.32,11/7/06,($43.96),($322.82),0.0,
27,keepbusy_cross(Buy),Buy to Open,53.0,$18.57,7/27/07,,($322.02),53.0,
28,keepbusy_cross(SELL),Sell to Close,-53.0,$19.32,10/1/07,$40.01,($282.81),0.0,
29,keepbusy_cross(Buy),Buy to Open,57.0,$17.50,1/30/09,,($295.07),57.0,
30,keepbusy_cross(SELL),Sell to Close,-57.0,$16.56,2/23/09,($53.50),($336.31),0.0,
31,keepbusy_cross(Buy),Buy to Open,56.0,$17.83,9/14/09,,($322.59),56.0,
32,keepbusy_cross(SELL),Sell to Close,-56.0,$17.54,9/28/09,($16.38),($352.69),0.0,
33,keepbusy_cross(Buy),Buy to Open,58.0,$17.04,3/26/10,,($352.69),58.0,
34,keepbusy_cross(SELL),Sell to Close,-58.0,$16.92,3/29/10,($6.93),($359.62),0.0,
35,keepbusy_cross(Buy),Buy to Open,56.0,$17.84,1/23/12,,($361.58),56.0,
36,keepbusy_cross(SELL),Sell to Close,-56.0,$18.06,3/23/12,$12.04,($347.58),0.0,
37,keepbusy_cross(Buy),Buy to Open,34.0,$28.74,12/20/13,,($314.60),34.0,
38,keepbusy_cross(SELL),Sell to Close,-34.0,$28.22,1/3/14,($17.62),($365.20),0.0,
39,keepbusy_cross(Buy),Buy to Open,24.0,$40.95,3/20/15,,($354.40),24.0,
40,keepbusy_cross(SELL),Sell to Close,-24.0,$39.64,3/26/15,($31.46),($396.66),0.0,
41,keepbusy_cross(Buy),Buy to Open,19.0,$50.44,9/11/17,,($375.95),19.0,
42,keepbusy_cross(SELL),Sell to Close,-19.0,$48.34,9/28/17,($39.96),($436.62),0.0,
43,keepbusy_cross(Buy),Buy to Open,19.0,$51.94,10/6/17,,($439.28),19.0,
44,keepbusy_cross(SELL),Sell to Close,-19.0,$55.24,1/8/18,$62.61,($374.01),0.0,
45,keepbusy_cross(Buy),Buy to Open,12.0,$81.34,7/24/20,,($387.69),12.0,
46,keepbusy_cross(SELL),Sell to Close,-12.0,$79.89,7/27/20,($17.43),($391.44),0.0,
47,keepbusy_cross(Buy),Buy to Open,11.0,$87.25,10/28/22,,($365.15),11.0,
48,keepbusy_cross(SELL),Sell to Close,-11.0,$92.78,1/11/23,$60.80,($330.63),0.0,
