Symbol: AXP Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,FReversalSwing(BUY),Buy to Open,54.0,$7.38,6/12/86,,$1.70,54.0,
2,FReversalSwing(SELL),Sell to Close,-54.0,$7.77,6/26/86,$21.28,$21.28,0.0,
3,FReversalSwing(BUY),Buy to Open,54.0,$7.30,7/16/86,,$21.28,54.0,
4,FReversalSwing(BUY),Buy to Open,54.0,$7.30,7/17/86,,$31.49,108.0,
5,FReversalSwing(SELL),Sell to Close,-108.0,$7.79,7/25/86,$52.77,$74.04,0.0,
6,FReversalSwing(BUY),Buy to Open,45.0,$8.75,4/15/87,,$74.75,45.0,
7,FReversalSwing(BUY),Buy to Open,45.0,$8.76,4/16/87,,$77.59,90.0,
8,FReversalSwing(BUY),Buy to Open,45.0,$8.79,4/20/87,,$77.59,135.0,
9,FReversalSwing(SELL),Sell to Close,-135.0,$7.70,5/19/87,($143.97),($69.93),0.0,
10,FReversalSwing(BUY),Buy to Open,47.0,$8.42,7/10/87,,($71.41),47.0,
11,FReversalSwing(BUY),Buy to Open,47.0,$8.38,7/13/87,,($74.37),94.0,
12,FReversalSwing(BUY),Buy to Open,47.0,$8.35,7/14/87,,($74.37),141.0,
13,FReversalSwing(SELL),Sell to Close,-141.0,$8.89,7/28/87,$71.11,$1.18,0.0,
14,FReversalSwing(BUY),Buy to Open,44.0,$9.05,9/14/89,,$1.18,44.0,
15,FReversalSwing(BUY),Buy to Open,44.0,$9.05,9/15/89,,$23.37,88.0,
16,FReversalSwing(SELL),Sell to Close,-88.0,$9.65,10/4/89,$52.70,$53.89,0.0,
17,FReversalSwing(BUY),Buy to Open,45.0,$8.83,10/16/89,,$80.84,45.0,
18,FReversalSwing(BUY),Buy to Open,45.0,$8.89,11/3/89,,$51.05,90.0,
19,FReversalSwing(BUY),Buy to Open,45.0,$8.83,11/6/89,,$42.54,135.0,
20,FReversalSwing(SELL),Sell to Close,-135.0,$9.05,12/4/89,$26.95,$80.84,0.0,
21,FReversalSwing(BUY),Buy to Open,66.0,$6.02,1/27/93,,$66.27,66.0,
22,FReversalSwing(BUY),Buy to Open,68.0,$5.80,1/28/93,,$45.16,134.0,
23,FReversalSwing(SELL),Sell to Close,-134.0,$5.68,1/29/93,($30.24),$50.59,0.0,
24,FReversalSwing(BUY),Buy to Open,48.0,$8.23,10/27/93,,$50.59,48.0,
25,FReversalSwing(BUY),Buy to Open,48.0,$8.23,10/28/93,,$23.36,96.0,
26,FReversalSwing(BUY),Buy to Open,50.0,$7.94,10/29/93,,$50.97,146.0,
27,FReversalSwing(SELL),Sell to Close,-146.0,$8.10,1/17/94,($4.22),$46.37,0.0,
28,FReversalSwing(BUY),Buy to Open,47.0,$8.39,11/22/94,,$31.26,47.0,
29,FReversalSwing(BUY),Buy to Open,49.0,$8.07,11/23/94,,$58.69,96.0,
30,FReversalSwing(BUY),Buy to Open,48.0,$8.25,12/9/94,,$43.26,144.0,
31,FReversalSwing(SELL),Sell to Close,-144.0,$8.57,1/12/95,$48.32,$94.69,0.0,
32,FReversalSwing(BUY),Buy to Open,35.0,$11.22,10/27/95,,$113.45,35.0,
33,FReversalSwing(SELL),Sell to Close,-35.0,$12.39,11/10/95,$41.25,$135.95,0.0,
34,FReversalSwing(BUY),Buy to Open,34.0,$11.72,12/19/95,,$139.59,34.0,
35,FReversalSwing(BUY),Buy to Open,34.0,$11.54,1/10/96,,$103.16,68.0,
36,FReversalSwing(BUY),Buy to Open,35.0,$11.29,1/12/96,,$98.16,103.0,
37,FReversalSwing(SELL),Sell to Close,-103.0,$11.93,1/19/96,$43.15,$179.09,0.0,
38,FReversalSwing(BUY),Buy to Open,30.0,$13.11,4/11/96,,$181.24,30.0,
39,FReversalSwing(SELL),Sell to Close,-30.0,$13.86,5/1/96,$22.50,$201.60,0.0,
40,FReversalSwing(BUY),Buy to Open,30.0,$13.11,5/7/96,,$203.74,30.0,
41,FReversalSwing(BUY),Buy to Open,30.0,$13.07,6/3/96,,$187.67,60.0,
42,FReversalSwing(BUY),Buy to Open,31.0,$12.86,6/4/96,,$194.17,91.0,
43,FReversalSwing(SELL),Sell to Close,-91.0,$11.42,7/17/96,($144.59),$57.01,0.0,
44,FReversalSwing(BUY),Buy to Open,23.0,$17.11,4/1/97,,$62.76,23.0,
45,FReversalSwing(BUY),Buy to Open,23.0,$16.72,4/3/97,,$59.47,46.0,
46,FReversalSwing(BUY),Buy to Open,23.0,$16.97,4/4/97,,$61.94,69.0,
47,FReversalSwing(SELL),Sell to Close,-69.0,$18.04,4/25/97,$76.40,$133.41,0.0,
48,FReversalSwing(BUY),Buy to Open,18.0,$21.36,10/28/97,,$148.84,18.0,
49,FReversalSwing(SELL),Sell to Close,-18.0,$23.63,12/2/97,$40.82,$174.23,0.0,
50,FReversalSwing(BUY),Buy to Open,17.0,$22.88,1/23/98,,$169.38,17.0,
51,FReversalSwing(BUY),Buy to Open,17.0,$22.59,1/26/98,,$172.41,34.0,
52,FReversalSwing(BUY),Buy to Open,17.0,$22.68,1/27/98,,$232.52,51.0,
53,FReversalSwing(SELL),Sell to Close,-51.0,$24.75,2/3/98,$103.83,$278.06,0.0,
54,FReversalSwing(BUY),Buy to Open,13.0,$28.88,8/7/98,,$277.83,13.0,
55,FReversalSwing(BUY),Buy to Open,13.0,$28.86,8/10/98,,$276.44,26.0,
56,FReversalSwing(BUY),Buy to Open,13.0,$28.81,8/11/98,,$250.67,39.0,
57,FReversalSwing(SELL),Sell to Close,-39.0,$24.22,9/1/98,($180.29),$97.78,0.0,
58,FReversalSwing(BUY),Buy to Open,11.0,$33.38,5/25/99,,$90.51,11.0,
59,FReversalSwing(BUY),Buy to Open,12.0,$32.72,5/26/99,,$123.78,23.0,
60,FReversalSwing(BUY),Buy to Open,11.0,$33.40,5/28/99,,$146.80,34.0,
61,FReversalSwing(SELL),Sell to Close,-34.0,$36.57,6/8/99,$116.42,$214.20,0.0,
62,FReversalSwing(BUY),Buy to Open,11.0,$35.29,8/5/99,,$225.59,11.0,
63,FReversalSwing(BUY),Buy to Open,11.0,$35.16,8/9/99,,$225.00,22.0,
64,FReversalSwing(SELL),Sell to Close,-22.0,$38.49,8/16/99,$71.70,$285.90,0.0,
65,FReversalSwing(BUY),Buy to Open,10.0,$37.54,10/4/99,,$303.58,10.0,
66,FReversalSwing(SELL),Sell to Close,-10.0,$40.20,10/6/99,$26.61,$312.51,0.0,
67,FReversalSwing(BUY),Buy to Open,9.0,$42.07,1/6/00,,$320.22,9.0,
68,FReversalSwing(SELL),Sell to Close,-9.0,$45.65,1/27/00,$32.15,$344.65,0.0,
69,FReversalSwing(BUY),Buy to Open,9.0,$42.27,2/18/00,,$319.74,9.0,
70,FReversalSwing(SELL),Sell to Close,-9.0,$35.13,3/9/00,($64.23),$280.42,0.0,
71,FReversalSwing(BUY),Buy to Open,8.0,$47.58,10/11/00,,$272.71,8.0,
72,FReversalSwing(BUY),Buy to Open,8.0,$46.62,10/12/00,,$238.42,16.0,
73,FReversalSwing(BUY),Buy to Open,8.0,$46.24,10/16/00,,$304.00,24.0,
74,FReversalSwing(SELL),Sell to Close,-24.0,$51.44,11/1/00,$111.02,$391.44,0.0,
75,FReversalSwing(BUY),Buy to Open,10.0,$38.99,11/12/03,,$396.07,10.0,
76,FReversalSwing(BUY),Buy to Open,10.0,$38.86,11/17/03,,$366.15,20.0,
77,FReversalSwing(BUY),Buy to Open,10.0,$37.66,11/18/03,,$380.30,30.0,
78,FReversalSwing(SELL),Sell to Close,-30.0,$40.10,12/19/03,$47.75,$439.20,0.0,
79,FReversalSwing(BUY),Buy to Open,9.0,$43.68,3/16/04,,$436.88,9.0,
80,FReversalSwing(BUY),Buy to Open,9.0,$43.42,3/17/04,,$442.28,18.0,
81,FReversalSwing(BUY),Buy to Open,9.0,$43.72,3/18/04,,$455.24,27.0,
82,FReversalSwing(SELL),Sell to Close,-27.0,$44.75,4/2/04,$30.86,$470.06,0.0,
83,FReversalSwing(BUY),Buy to Open,9.0,$42.69,4/15/04,,$469.67,9.0,
