Symbol: AZNCF Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,FReversalSwing(BUY),Buy to Open,6.0,$63.45,4/9/14,,$1.50,6.0,
2,FReversalSwing(BUY),Buy to Open,6.0,$62.33,4/14/14,,($7.68),12.0,
3,FReversalSwing(BUY),Buy to Open,6.0,$62.25,4/15/14,,($12.18),18.0,
4,FReversalSwing(SELL),Sell to Close,-18.0,$68.00,4/22/14,$95.82,$95.82,0.0,
5,FReversalSwing(BUY),Buy to Open,5.0,$69.10,8/22/14,,$114.57,5.0,
6,FReversalSwing(SELL),Sell to Close,-5.0,$75.20,9/22/14,$30.50,$126.32,0.0,
7,FReversalSwing(BUY),Buy to Open,5.0,$69.15,10/9/14,,$119.32,5.0,
8,FReversalSwing(BUY),Buy to Open,5.0,$67.75,10/10/14,,$125.82,10.0,
9,FReversalSwing(BUY),Buy to Open,5.0,$68.40,10/13/14,,$147.04,15.0,
10,FReversalSwing(SELL),Sell to Close,-15.0,$72.00,11/6/14,$53.50,$179.82,0.0,
11,FReversalSwing(BUY),Buy to Open,5.0,$69.70,12/18/14,,$191.07,5.0,
12,FReversalSwing(SELL),Sell to Close,-5.0,$70.25,3/20/15,$2.75,$182.57,0.0,
13,FReversalSwing(BUY),Buy to Open,5.0,$73.35,12/28/18,,$182.82,5.0,
14,FReversalSwing(SELL),Sell to Close,-5.0,$78.20,1/7/19,$24.25,$206.82,0.0,
15,FReversalSwing(BUY),Buy to Open,5.0,$70.85,1/22/19,,$208.57,5.0,
16,FReversalSwing(BUY),Buy to Open,5.0,$71.20,1/24/19,,$221.32,10.0,
17,FReversalSwing(BUY),Buy to Open,5.0,$69.40,1/29/19,,$214.19,15.0,
18,FReversalSwing(SELL),Sell to Close,-15.0,$79.70,2/19/19,$138.25,$345.07,0.0,
19,FReversalSwing(BUY),Buy to Open,5.0,$75.76,4/25/19,,$347.59,5.0,
20,FReversalSwing(BUY),Buy to Open,5.0,$74.78,5/7/19,,$342.97,10.0,
21,FReversalSwing(BUY),Buy to Open,5.0,$75.06,5/17/19,,$327.10,15.0,
22,FReversalSwing(SELL),Sell to Close,-15.0,$80.10,6/21/19,$73.54,$418.60,0.0,
23,FReversalSwing(BUY),Buy to Open,4.0,$87.25,3/2/20,,$432.80,4.0,
24,FReversalSwing(BUY),Buy to Open,4.0,$90.80,3/3/20,,$432.80,8.0,
25,FReversalSwing(BUY),Buy to Open,4.0,$90.80,3/4/20,,$497.00,12.0,
26,FReversalSwing(SELL),Sell to Close,-12.0,$94.97,4/14/20,$64.24,$482.84,0.0,
27,FReversalSwing(BUY),Buy to Open,3.0,$106.00,9/8/20,,$494.69,3.0,
28,FReversalSwing(SELL),Sell to Close,-3.0,$112.90,9/21/20,$20.70,$503.54,0.0,
29,FReversalSwing(BUY),Buy to Open,3.0,$104.90,10/16/20,,$510.02,3.0,
30,FReversalSwing(BUY),Buy to Open,3.0,$104.00,10/22/20,,$493.38,6.0,
31,FReversalSwing(SELL),Sell to Close,-6.0,$109.45,11/5/20,$30.00,$533.54,0.0,
32,FReversalSwing(BUY),Buy to Open,3.0,$112.08,7/20/21,,$545.90,3.0,
33,FReversalSwing(SELL),Sell to Close,-3.0,$117.92,8/17/21,$17.52,$551.06,0.0,
34,FReversalSwing(BUY),Buy to Open,3.0,$112.10,9/10/21,,$553.76,3.0,
35,FReversalSwing(BUY),Buy to Open,3.0,$111.56,9/17/21,,$551.60,6.0,
36,FReversalSwing(SELL),Sell to Close,-6.0,$119.27,9/22/21,$44.64,$595.70,0.0,
37,FReversalSwing(BUY),Buy to Open,3.0,$115.94,11/18/21,,$585.14,3.0,
38,FReversalSwing(BUY),Buy to Open,3.0,$112.42,11/19/21,,$586.22,6.0,
39,FReversalSwing(BUY),Buy to Open,3.0,$112.60,11/22/21,,$600.71,9.0,
40,FReversalSwing(SELL),Sell to Close,-9.0,$109.94,12/1/21,($33.40),$562.30,0.0,
41,FReversalSwing(BUY),Buy to Open,3.0,$121.53,5/10/22,,$568.96,3.0,
42,FReversalSwing(BUY),Buy to Open,3.0,$123.75,5/11/22,,$562.66,6.0,
43,FReversalSwing(BUY),Buy to Open,3.0,$122.70,5/12/22,,$544.84,9.0,
44,FReversalSwing(SELL),Sell to Close,-9.0,$132.46,5/25/22,$88.20,$650.50,0.0,
45,FReversalSwing(BUY),Buy to Open,3.0,$122.99,6/13/22,,$628.36,3.0,
46,FReversalSwing(SELL),Sell to Close,-3.0,$113.33,6/15/22,($28.98),$621.52,0.0,
47,FReversalSwing(BUY),Buy to Open,3.0,$129.50,1/25/23,,$628.18,3.0,
48,FReversalSwing(BUY),Buy to Open,3.0,$130.65,1/27/23,,$619.99,6.0,
49,FReversalSwing(BUY),Buy to Open,3.0,$129.82,1/30/23,,$615.85,9.0,
50,FReversalSwing(SELL),Sell to Close,-9.0,$136.25,2/10/23,$56.34,$677.86,0.0,
51,FReversalSwing(BUY),Buy to Open,2.0,$140.40,6/29/23,,$682.88,2.0,
52,FReversalSwing(BUY),Buy to Open,2.0,$134.00,7/6/23,,$658.82,4.0,
53,FReversalSwing(SELL),Sell to Close,-4.0,$128.57,7/10/23,($34.51),$643.35,0.0,
54,FReversalSwing(BUY),Buy to Open,2.0,$134.32,7/13/23,,$641.91,2.0,
55,FReversalSwing(SELL),Sell to Close,-2.0,$147.00,8/1/23,$25.36,$668.71,0.0,
56,FReversalSwing(BUY),Buy to Open,2.0,$147.15,7/5/24,,$671.81,2.0,
57,FReversalSwing(SELL),Sell to Close,-2.0,$159.85,7/24/24,$25.40,$694.11,0.0,
58,FReversalSwing(BUY),Buy to Open,2.0,$149.34,9/25/24,,$702.03,2.0,
59,FReversalSwing(BUY),Buy to Open,2.0,$148.65,10/10/24,,$687.61,4.0,
60,FReversalSwing(BUY),Buy to Open,2.0,$147.37,10/15/24,,$725.59,6.0,
61,FReversalSwing(SELL),Sell to Close,-6.0,$141.70,11/5/24,($40.52),$653.59,0.0,
