Symbol: AZN Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,FReversalSwing(BUY),Buy to Open,112.0,$3.54,5/16/95,,($2.33),112.0,
2,FReversalSwing(BUY),Buy to Open,113.0,$3.52,5/17/95,,$0.01,225.0,
3,FReversalSwing(BUY),Buy to Open,113.0,$3.53,5/18/95,,$10.57,338.0,
4,FReversalSwing(SELL),Sell to Close,-338.0,$3.69,5/23/95,$52.82,$52.82,0.0,
5,FReversalSwing(BUY),Buy to Open,86.0,$4.63,12/21/95,,$57.30,86.0,
6,FReversalSwing(SELL),Sell to Close,-86.0,$4.94,1/3/96,$25.98,$78.79,0.0,
7,FReversalSwing(BUY),Buy to Open,74.0,$5.37,7/25/96,,$81.88,74.0,
8,FReversalSwing(SELL),Sell to Close,-74.0,$5.56,8/2/96,$13.87,$92.67,0.0,
9,FReversalSwing(BUY),Buy to Open,56.0,$7.06,3/20/97,,$88.58,56.0,
10,FReversalSwing(BUY),Buy to Open,57.0,$6.99,3/21/97,,$90.94,113.0,
11,FReversalSwing(BUY),Buy to Open,57.0,$7.01,3/24/97,,$89.17,170.0,
12,FReversalSwing(SELL),Sell to Close,-170.0,$7.33,4/10/97,$53.16,$145.83,0.0,
13,FReversalSwing(BUY),Buy to Open,53.0,$7.46,6/4/97,,$149.14,53.0,
14,FReversalSwing(SELL),Sell to Close,-53.0,$7.81,6/10/97,$18.77,$164.60,0.0,
15,FReversalSwing(BUY),Buy to Open,50.0,$7.95,8/11/97,,$161.47,50.0,
16,FReversalSwing(BUY),Buy to Open,50.0,$7.88,8/12/97,,$146.89,100.0,
17,FReversalSwing(BUY),Buy to Open,51.0,$7.74,8/13/97,,$110.72,151.0,
18,FReversalSwing(SELL),Sell to Close,-151.0,$8.04,9/19/97,$27.90,$192.50,0.0,
19,FReversalSwing(BUY),Buy to Open,49.0,$8.03,10/27/97,,$182.80,49.0,
20,FReversalSwing(BUY),Buy to Open,51.0,$7.83,10/28/97,,$167.70,100.0,
21,FReversalSwing(BUY),Buy to Open,50.0,$7.90,10/30/97,,$166.40,150.0,
22,FReversalSwing(SELL),Sell to Close,-150.0,$8.01,12/1/97,$14.52,$207.02,0.0,
23,FReversalSwing(BUY),Buy to Open,39.0,$10.22,7/10/98,,$202.15,39.0,
24,FReversalSwing(BUY),Buy to Open,39.0,$10.09,7/13/98,,$221.65,78.0,
25,FReversalSwing(BUY),Buy to Open,40.0,$10.00,7/27/98,,$180.08,118.0,
26,FReversalSwing(SELL),Sell to Close,-118.0,$8.81,8/14/98,($152.31),$54.71,0.0,
27,FReversalSwing(BUY),Buy to Open,36.0,$11.00,2/5/99,,$50.21,36.0,
28,FReversalSwing(BUY),Buy to Open,36.0,$10.88,2/8/99,,$45.71,72.0,
29,FReversalSwing(BUY),Buy to Open,36.0,$10.81,2/9/99,,$23.77,108.0,
30,FReversalSwing(SELL),Sell to Close,-108.0,$10.67,3/19/99,($24.19),$30.52,0.0,
31,FReversalSwing(BUY),Buy to Open,38.0,$10.38,4/19/99,,$27.55,38.0,
32,FReversalSwing(BUY),Buy to Open,38.0,$10.30,4/20/99,,$29.93,76.0,
33,FReversalSwing(BUY),Buy to Open,38.0,$10.33,4/21/99,,$63.77,114.0,
34,FReversalSwing(SELL),Sell to Close,-114.0,$9.92,4/30/99,($46.91),($16.39),0.0,
35,FReversalSwing(BUY),Buy to Open,38.0,$10.52,12/14/99,,($22.92),38.0,
36,FReversalSwing(SELL),Sell to Close,-38.0,$10.30,12/15/99,($8.37),($24.76),0.0,
37,FReversalSwing(BUY),Buy to Open,33.0,$11.78,10/23/00,,($19.09),33.0,
38,FReversalSwing(BUY),Buy to Open,34.0,$11.64,10/26/00,,($14.75),67.0,
39,FReversalSwing(BUY),Buy to Open,34.0,$11.72,10/31/00,,($3.65),101.0,
40,FReversalSwing(SELL),Sell to Close,-101.0,$12.38,11/13/00,$66.88,$42.11,0.0,
41,FReversalSwing(BUY),Buy to Open,33.0,$11.78,1/10/01,,$40.57,33.0,
42,FReversalSwing(BUY),Buy to Open,34.0,$11.73,1/11/01,,$61.50,67.0,
43,FReversalSwing(BUY),Buy to Open,34.0,$11.70,1/16/01,,$66.88,101.0,
44,FReversalSwing(SELL),Sell to Close,-101.0,$10.70,2/9/01,($104.96),($62.84),0.0,
45,FReversalSwing(BUY),Buy to Open,19.0,$20.43,6/30/03,,($63.70),19.0,
46,FReversalSwing(BUY),Buy to Open,19.0,$20.39,7/1/03,,($72.06),38.0,
47,FReversalSwing(SELL),Sell to Close,-38.0,$19.93,7/2/03,($18.10),($80.94),0.0,
48,FReversalSwing(BUY),Buy to Open,16.0,$23.59,3/24/04,,($85.74),16.0,
49,FReversalSwing(BUY),Buy to Open,17.0,$23.29,3/25/04,,($92.67),33.0,
50,FReversalSwing(BUY),Buy to Open,17.0,$23.08,3/26/04,,($86.17),50.0,
51,FReversalSwing(SELL),Sell to Close,-50.0,$24.28,4/8/04,$48.27,($32.67),0.0,
52,FReversalSwing(BUY),Buy to Open,17.0,$23.03,10/19/05,,($24.85),17.0,
