Symbol: BABA Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,FReversalSwing(BUY),Buy to Open,4.0,$98.51,11/3/16,,($3.04),4.0,
2,FReversalSwing(BUY),Buy to Open,4.0,$97.75,11/4/16,,($4.48),8.0,
3,FReversalSwing(BUY),Buy to Open,4.0,$97.57,11/7/16,,$16.88,12.0,
4,FReversalSwing(SELL),Sell to Close,-12.0,$94.37,1/6/17,($42.88),($42.88),0.0,
5,FReversalSwing(BUY),Buy to Open,2.0,$188.38,6/29/18,,($48.58),2.0,
6,FReversalSwing(BUY),Buy to Open,2.0,$185.53,7/2/18,,($45.26),4.0,
7,FReversalSwing(BUY),Buy to Open,2.0,$186.36,7/3/18,,($54.92),6.0,
8,FReversalSwing(SELL),Sell to Close,-6.0,$197.98,7/26/18,$67.34,$24.46,0.0,
9,FReversalSwing(BUY),Buy to Open,1.0,$205.47,1/28/20,,$29.22,1.0,
10,FReversalSwing(SELL),Sell to Close,-1.0,$222.88,2/5/20,$17.41,$41.87,0.0,
11,FReversalSwing(BUY),Buy to Open,1.0,$206.16,2/25/20,,$41.32,1.0,
12,FReversalSwing(BUY),Buy to Open,1.0,$205.61,2/26/20,,$47.58,2.0,
13,FReversalSwing(BUY),Buy to Open,1.0,$205.03,2/28/20,,$49.07,3.0,
14,FReversalSwing(SELL),Sell to Close,-3.0,$175.18,3/17/20,($91.26),($49.39),0.0,
15,FReversalSwing(BUY),Buy to Open,1.0,$260.84,11/16/20,,($51.92),1.0,
16,FReversalSwing(BUY),Buy to Open,1.0,$258.31,11/17/20,,($54.94),2.0,
17,FReversalSwing(BUY),Buy to Open,1.0,$256.80,11/18/20,,($57.85),3.0,
18,FReversalSwing(SELL),Sell to Close,-3.0,$216.13,12/28/20,($127.55),($176.94),0.0,
19,FReversalSwing(BUY),Buy to Open,4.0,$91.78,11/13/24,,($176.06),4.0,
20,FReversalSwing(BUY),Buy to Open,4.0,$92.00,11/14/24,,($187.42),8.0,
21,FReversalSwing(BUY),Buy to Open,4.0,$90.58,11/15/24,,($211.30),12.0,
22,FReversalSwing(SELL),Sell to Close,-12.0,$83.00,11/25/24,($101.41),($278.35),0.0,
23,FReversalSwing(BUY),Buy to Open,4.0,$85.58,11/26/24,,($279.95),4.0,
24,FReversalSwing(BUY),Buy to Open,4.0,$85.18,11/27/24,,($268.67),8.0,
25,FReversalSwing(BUY),Buy to Open,4.0,$86.59,11/29/24,,($259.31),12.0,
26,FReversalSwing(SELL),Sell to Close,-12.0,$92.32,12/10/24,$78.44,($199.91),0.0,
27,FReversalSwing(BUY),Buy to Open,4.0,$84.31,12/20/24,,($208.03),4.0,
28,FReversalSwing(SELL),Sell to Close,-4.0,$82.21,12/23/24,($8.40),($208.31),0.0,
