Symbol: BAC Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,FReversalSwing(BUY),Buy to Open,58.0,$6.88,11/8/88,,$0.00,58.0,
2,FReversalSwing(BUY),Buy to Open,58.0,$6.88,11/9/88,,($10.88),116.0,
3,FReversalSwing(BUY),Buy to Open,58.0,$6.78,11/10/88,,($10.88),174.0,
4,FReversalSwing(SELL),Sell to Close,-174.0,$6.97,12/7/88,$21.75,$21.75,0.0,
5,FReversalSwing(BUY),Buy to Open,41.0,$9.53,6/26/91,,$23.03,41.0,
6,FReversalSwing(BUY),Buy to Open,43.0,$9.25,6/28/91,,($16.03),84.0,
7,FReversalSwing(BUY),Buy to Open,44.0,$8.94,7/1/91,,$23.97,128.0,
8,FReversalSwing(SELL),Sell to Close,-128.0,$8.52,7/30/91,($91.30),($69.55),0.0,
9,FReversalSwing(BUY),Buy to Open,46.0,$8.63,7/31/91,,($66.68),46.0,
10,FReversalSwing(BUY),Buy to Open,46.0,$8.69,8/1/91,,($63.80),92.0,
11,FReversalSwing(BUY),Buy to Open,45.0,$8.72,8/2/91,,($68.08),137.0,
12,FReversalSwing(SELL),Sell to Close,-137.0,$9.19,8/13/91,$69.97,$0.42,0.0,
13,FReversalSwing(BUY),Buy to Open,44.0,$9.06,9/16/91,,$5.92,44.0,
14,FReversalSwing(BUY),Buy to Open,44.0,$9.00,9/27/91,,($10.58),88.0,
15,FReversalSwing(BUY),Buy to Open,44.0,$8.91,9/30/91,,($10.58),132.0,
16,FReversalSwing(SELL),Sell to Close,-132.0,$8.29,10/11/91,($92.16),($91.74),0.0,
17,FReversalSwing(BUY),Buy to Open,34.0,$11.50,6/5/92,,($100.24),34.0,
18,FReversalSwing(BUY),Buy to Open,35.0,$11.25,6/8/92,,($89.46),69.0,
19,FReversalSwing(BUY),Buy to Open,35.0,$11.41,6/9/92,,($92.71),104.0,
20,FReversalSwing(SELL),Sell to Close,-104.0,$11.81,6/30/92,$44.53,($47.21),0.0,
21,FReversalSwing(BUY),Buy to Open,36.0,$11.00,7/28/92,,($29.21),36.0,
22,FReversalSwing(SELL),Sell to Close,-36.0,$11.00,10/19/92,$0.00,($47.21),0.0,
23,FReversalSwing(BUY),Buy to Open,31.0,$12.75,2/18/93,,($46.24),31.0,
24,FReversalSwing(BUY),Buy to Open,31.0,$12.78,2/19/93,,$2.20,62.0,
25,FReversalSwing(SELL),Sell to Close,-62.0,$13.56,2/22/93,$49.41,$2.20,0.0,
26,FReversalSwing(BUY),Buy to Open,30.0,$13.09,4/21/93,,($9.99),30.0,
27,FReversalSwing(BUY),Buy to Open,31.0,$12.69,4/22/93,,($13.80),61.0,
28,FReversalSwing(BUY),Buy to Open,31.0,$12.63,4/23/93,,($45.43),92.0,
29,FReversalSwing(SELL),Sell to Close,-92.0,$11.63,5/17/93,($108.00),($105.80),0.0,
30,FReversalSwing(BUY),Buy to Open,30.0,$13.16,6/21/94,,($105.80),30.0,
31,FReversalSwing(BUY),Buy to Open,30.0,$13.16,6/22/94,,($90.80),60.0,
32,FReversalSwing(BUY),Buy to Open,31.0,$12.81,6/27/94,,($97.99),91.0,
33,FReversalSwing(SELL),Sell to Close,-91.0,$13.63,7/15/94,$53.31,($52.49),0.0,
34,FReversalSwing(BUY),Buy to Open,29.0,$13.44,9/12/94,,($56.12),29.0,
35,FReversalSwing(BUY),Buy to Open,30.0,$13.31,9/13/94,,($61.65),59.0,
36,FReversalSwing(BUY),Buy to Open,30.0,$13.22,9/14/94,,($56.09),89.0,
37,FReversalSwing(SELL),Sell to Close,-89.0,$12.76,9/20/94,($50.34),($102.83),0.0,
