Symbol: CHD Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,568.0,$1.76,7/8/96,,$5.92,568.0,
2,keepbusy_cross(SELL),Sell to Close,-568.0,$1.72,7/15/96,($23.67),($23.67),0.0,
3,keepbusy_cross(Buy),Buy to Open,494.0,$2.02,1/24/97,,$7.21,494.0,
4,keepbusy_cross(SELL),Sell to Close,-494.0,$2.17,4/4/97,$75.73,$52.06,0.0,
5,keepbusy_cross(Buy),Buy to Open,404.0,$2.47,8/1/97,,$1.56,404.0,
6,keepbusy_cross(SELL),Sell to Close,-404.0,$2.43,10/20/97,($18.73),$33.34,0.0,
7,keepbusy_cross(Buy),Buy to Open,399.0,$2.50,3/27/98,,$20.87,399.0,
8,keepbusy_cross(SELL),Sell to Close,-399.0,$2.48,5/28/98,($9.70),$23.64,0.0,
9,keepbusy_cross(Buy),Buy to Open,242.0,$4.13,8/6/99,,$26.16,242.0,
10,keepbusy_cross(SELL),Sell to Close,-242.0,$3.86,10/6/99,($63.59),($39.95),0.0,
11,keepbusy_cross(Buy),Buy to Open,215.0,$4.65,1/18/02,,($51.42),215.0,
12,keepbusy_cross(SELL),Sell to Close,-215.0,$4.77,3/14/02,$26.05,($13.91),0.0,
13,keepbusy_cross(Buy),Buy to Open,196.0,$5.08,4/12/02,,$14.84,196.0,
14,keepbusy_cross(SELL),Sell to Close,-196.0,$5.00,4/19/02,($17.00),($30.91),0.0,
15,keepbusy_cross(Buy),Buy to Open,173.0,$5.76,5/10/02,,($76.75),173.0,
16,keepbusy_cross(SELL),Sell to Close,-173.0,$5.38,6/26/02,($66.08),($96.99),0.0,
17,keepbusy_cross(Buy),Buy to Open,173.0,$5.75,9/19/03,,($94.10),173.0,
18,keepbusy_cross(SELL),Sell to Close,-173.0,$6.54,1/21/04,$136.11,$39.13,0.0,
19,keepbusy_cross(Buy),Buy to Open,136.0,$7.31,4/2/04,,$40.49,136.0,
20,keepbusy_cross(SELL),Sell to Close,-136.0,$7.42,7/2/04,$15.23,$54.36,0.0,
21,keepbusy_cross(Buy),Buy to Open,66.0,$15.13,8/8/08,,$79.61,66.0,
22,keepbusy_cross(SELL),Sell to Close,-66.0,$14.71,9/22/08,($27.47),$26.89,0.0,
23,keepbusy_cross(Buy),Buy to Open,59.0,$16.76,12/10/10,,$27.92,59.0,
24,keepbusy_cross(SELL),Sell to Close,-59.0,$16.92,2/9/11,$9.16,$36.05,0.0,
25,keepbusy_cross(Buy),Buy to Open,43.0,$22.89,12/23/11,,$41.00,43.0,
26,keepbusy_cross(SELL),Sell to Close,-43.0,$22.16,1/5/12,($31.39),$4.67,0.0,
27,keepbusy_cross(Buy),Buy to Open,42.0,$23.80,2/10/12,,$1.10,42.0,
28,keepbusy_cross(SELL),Sell to Close,-42.0,$26.58,8/8/12,$116.58,$121.24,0.0,
29,keepbusy_cross(Buy),Buy to Open,36.0,$27.67,1/7/13,,$120.70,36.0,
30,keepbusy_cross(SELL),Sell to Close,-36.0,$31.07,5/3/13,$122.40,$243.64,0.0,
31,keepbusy_cross(Buy),Buy to Open,20.0,$49.80,6/15/18,,$252.84,20.0,
32,keepbusy_cross(SELL),Sell to Close,-20.0,$57.14,10/11/18,$146.80,$390.44,0.0,
33,keepbusy_cross(Buy),Buy to Open,15.0,$64.87,11/2/18,,$408.29,15.0,
34,keepbusy_cross(SELL),Sell to Close,-15.0,$63.11,12/26/18,($26.47),$363.97,0.0,
35,keepbusy_cross(Buy),Buy to Open,10.0,$94.56,1/2/24,,$364.07,10.0,
36,keepbusy_cross(SELL),Sell to Close,-10.0,$100.98,4/10/24,$64.25,$428.22,0.0,
