Symbol: CIB Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,53.0,$18.75,10/8/96,,($6.63),53.0,
2,keepbusy_cross(SELL),Sell to Close,-53.0,$18.00,11/6/96,($39.68),($39.68),0.0,
3,keepbusy_cross(Buy),Buy to Open,540.0,$1.85,4/5/02,,$41.32,540.0,
4,keepbusy_cross(SELL),Sell to Close,-540.0,$1.83,4/9/02,($8.82),($48.50),0.0,
5,keepbusy_cross(Buy),Buy to Open,28.0,$34.80,10/5/07,,($35.62),28.0,
6,keepbusy_cross(SELL),Sell to Close,-28.0,$33.41,10/22/07,($38.95),($87.46),0.0,
7,keepbusy_cross(Buy),Buy to Open,16.0,$61.18,12/23/11,,($82.82),16.0,
8,keepbusy_cross(SELL),Sell to Close,-16.0,$60.21,12/28/11,($15.55),($103.01),0.0,
9,keepbusy_cross(Buy),Buy to Open,16.0,$60.57,2/3/12,,($72.61),16.0,
10,keepbusy_cross(SELL),Sell to Close,-16.0,$65.52,5/14/12,$79.26,($23.75),0.0,
11,keepbusy_cross(Buy),Buy to Open,26.0,$37.63,8/12/16,,($35.45),26.0,
12,keepbusy_cross(SELL),Sell to Close,-26.0,$37.10,9/28/16,($13.78),($37.53),0.0,
13,keepbusy_cross(Buy),Buy to Open,25.0,$38.96,3/24/17,,($27.28),25.0,
14,keepbusy_cross(SELL),Sell to Close,-25.0,$38.65,4/28/17,($7.82),($45.34),0.0,
15,keepbusy_cross(Buy),Buy to Open,21.0,$46.76,4/6/18,,($49.33),21.0,
16,keepbusy_cross(SELL),Sell to Close,-21.0,$45.79,5/18/18,($20.38),($65.72),0.0,
17,keepbusy_cross(Buy),Buy to Open,19.0,$50.41,7/9/18,,($84.91),19.0,
18,keepbusy_cross(SELL),Sell to Close,-19.0,$47.47,7/26/18,($55.93),($121.66),0.0,
19,keepbusy_cross(Buy),Buy to Open,23.0,$43.32,1/11/19,,($117.98),23.0,
20,keepbusy_cross(SELL),Sell to Close,-23.0,$50.25,5/2/19,$159.29,$37.63,0.0,
21,keepbusy_cross(Buy),Buy to Open,30.0,$32.80,8/20/21,,$31.93,30.0,
22,keepbusy_cross(SELL),Sell to Close,-30.0,$34.07,11/10/21,$37.95,$75.59,0.0,
23,keepbusy_cross(Buy),Buy to Open,22.0,$44.53,6/6/22,,$61.29,22.0,
24,keepbusy_cross(SELL),Sell to Close,-22.0,$40.61,6/13/22,($86.26),($10.68),0.0,
