Symbol: CNX Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,337.0,$2.97,5/5/00,,$63.19,337.0,
2,keepbusy_cross(SELL),Sell to Close,-337.0,$2.87,5/10/00,($31.59),($31.59),0.0,
3,keepbusy_cross(Buy),Buy to Open,88.0,$11.28,1/2/01,,($50.84),88.0,
4,keepbusy_cross(SELL),Sell to Close,-88.0,$11.27,3/19/01,($0.91),($32.51),0.0,
5,keepbusy_cross(Buy),Buy to Open,92.0,$10.82,4/2/04,,$7.05,92.0,
6,keepbusy_cross(SELL),Sell to Close,-92.0,$10.29,5/11/04,($48.34),($80.85),0.0,
7,keepbusy_cross(Buy),Buy to Open,53.0,$18.63,2/4/05,,($53.29),53.0,
8,keepbusy_cross(SELL),Sell to Close,-53.0,$17.57,2/17/05,($56.18),($137.03),0.0,
9,keepbusy_cross(Buy),Buy to Open,23.0,$43.36,6/30/06,,($121.62),23.0,
10,keepbusy_cross(SELL),Sell to Close,-23.0,$40.26,7/17/06,($71.33),($208.36),0.0,
11,keepbusy_cross(Buy),Buy to Open,19.0,$50.36,3/5/10,,($170.36),19.0,
12,keepbusy_cross(SELL),Sell to Close,-19.0,$46.34,3/16/10,($76.42),($284.78),0.0,
13,keepbusy_cross(Buy),Buy to Open,19.0,$51.74,7/22/11,,($277.37),19.0,
14,keepbusy_cross(SELL),Sell to Close,-19.0,$47.89,8/3/11,($73.13),($357.92),0.0,
15,keepbusy_cross(Buy),Buy to Open,31.0,$31.43,2/15/13,,($359.16),31.0,
16,keepbusy_cross(SELL),Sell to Close,-31.0,$29.95,2/22/13,($46.03),($403.94),0.0,
17,keepbusy_cross(Buy),Buy to Open,77.0,$12.97,9/15/17,,($402.40),77.0,
18,keepbusy_cross(SELL),Sell to Close,-77.0,$12.87,10/17/17,($7.60),($411.54),0.0,
19,keepbusy_cross(Buy),Buy to Open,107.0,$9.27,4/13/20,,($380.51),107.0,
20,keepbusy_cross(SELL),Sell to Close,-107.0,$9.87,6/22/20,$64.72,($346.82),0.0,
21,keepbusy_cross(Buy),Buy to Open,44.0,$22.39,5/27/22,,($342.86),44.0,
22,keepbusy_cross(SELL),Sell to Close,-44.0,$20.97,6/15/22,($62.52),($409.34),0.0,
23,keepbusy_cross(Buy),Buy to Open,38.0,$26.00,7/12/24,,($412.76),38.0,
24,keepbusy_cross(SELL),Sell to Close,-38.0,$24.83,7/26/24,($44.60),($453.94),0.0,
25,keepbusy_cross(Buy),Buy to Open,37.0,$26.63,8/16/24,,($449.50),37.0,
