Symbol: CRGY Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,13.0,$75.85,10/20/06,,$18.20,13.0,
2,keepbusy_cross(SELL),Sell to Close,-13.0,$100.50,1/19/07,$320.45,$320.45,0.0,
3,keepbusy_cross(Buy),Buy to Open,3.0,$273.35,4/9/10,,$331.10,3.0,
4,keepbusy_cross(SELL),Sell to Close,-3.0,$270.15,5/6/10,($9.60),$310.85,0.0,
5,keepbusy_cross(Buy),Buy to Open,62.0,$16.08,10/7/22,,$274.89,62.0,
6,keepbusy_cross(SELL),Sell to Close,-62.0,$15.12,10/11/22,($59.26),$251.59,0.0,
7,keepbusy_cross(Buy),Buy to Open,77.0,$12.93,12/22/23,,$271.61,77.0,
8,keepbusy_cross(SELL),Sell to Close,-77.0,$12.21,1/5/24,($55.62),$195.97,0.0,
9,keepbusy_cross(Buy),Buy to Open,79.0,$12.56,5/10/24,,$164.37,79.0,
10,keepbusy_cross(SELL),Sell to Close,-79.0,$11.43,5/17/24,($89.51),$106.46,0.0,
11,keepbusy_cross(Buy),Buy to Open,79.0,$12.51,10/4/24,,$143.59,79.0,
