Symbol: CRM Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,225.0,$4.43,5/20/05,,$44.44,225.0,
2,keepbusy_cross(SELL),Sell to Close,-225.0,$4.88,8/19/05,$101.25,$101.25,0.0,
3,keepbusy_cross(Buy),Buy to Open,168.0,$5.93,10/21/05,,$136.11,168.0,
4,keepbusy_cross(SELL),Sell to Close,-168.0,$8.86,2/13/06,$492.90,$594.15,0.0,
5,keepbusy_cross(Buy),Buy to Open,118.0,$8.43,8/18/06,,$569.07,118.0,
6,keepbusy_cross(SELL),Sell to Close,-118.0,$9.74,11/30/06,$154.58,$748.73,0.0,
7,keepbusy_cross(Buy),Buy to Open,63.0,$15.70,4/4/08,,$785.27,63.0,
8,keepbusy_cross(SELL),Sell to Close,-63.0,$15.62,5/22/08,($5.33),$743.41,0.0,
9,keepbusy_cross(Buy),Buy to Open,26.0,$38.39,5/27/11,,$728.72,26.0,
10,keepbusy_cross(SELL),Sell to Close,-26.0,$33.75,6/17/11,($120.72),$622.68,0.0,
11,keepbusy_cross(Buy),Buy to Open,25.0,$39.69,11/30/12,,$615.93,25.0,
12,keepbusy_cross(SELL),Sell to Close,-25.0,$42.08,2/22/13,$59.92,$682.60,0.0,
13,keepbusy_cross(Buy),Buy to Open,17.0,$55.71,8/22/14,,$752.13,17.0,
14,keepbusy_cross(SELL),Sell to Close,-17.0,$56.23,9/26/14,$8.89,$691.49,0.0,
15,keepbusy_cross(Buy),Buy to Open,16.0,$61.26,2/13/15,,$716.93,16.0,
16,keepbusy_cross(SELL),Sell to Close,-16.0,$71.41,6/30/15,$162.36,$853.86,0.0,
17,keepbusy_cross(Buy),Buy to Open,13.0,$75.21,1/13/17,,$859.45,13.0,
18,keepbusy_cross(SELL),Sell to Close,-13.0,$86.07,6/12/17,$141.18,$995.03,0.0,
19,keepbusy_cross(Buy),Buy to Open,6.0,$163.09,4/26/19,,$1012.25,6.0,
20,keepbusy_cross(SELL),Sell to Close,-6.0,$160.11,5/3/19,($17.88),$977.16,0.0,
21,keepbusy_cross(Buy),Buy to Open,6.0,$156.49,11/1/19,,$996.66,6.0,
22,keepbusy_cross(SELL),Sell to Close,-6.0,$175.21,2/27/20,$112.32,$1089.48,0.0,
23,keepbusy_cross(Buy),Buy to Open,4.0,$225.83,5/28/21,,$1138.56,4.0,
24,keepbusy_cross(SELL),Sell to Close,-4.0,$240.28,8/12/21,$57.78,$1147.26,0.0,
