Symbol: CTRA Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,738.0,$1.35,10/13/00,,($3.84),738.0,
2,keepbusy_cross(SELL),Sell to Close,-738.0,$1.18,10/26/00,($127.42),($127.42),0.0,
3,keepbusy_cross(Buy),Buy to Open,730.0,$1.37,11/17/00,,($138.83),730.0,
4,keepbusy_cross(SELL),Sell to Close,-730.0,$1.16,12/1/00,($149.72),($277.14),0.0,
5,keepbusy_cross(Buy),Buy to Open,461.0,$2.17,3/9/01,,($295.19),461.0,
6,keepbusy_cross(SELL),Sell to Close,-461.0,$1.87,3/22/01,($136.41),($413.55),0.0,
7,keepbusy_cross(Buy),Buy to Open,459.0,$2.17,5/18/01,,($387.15),459.0,
8,keepbusy_cross(SELL),Sell to Close,-459.0,$1.89,6/13/01,($129.04),($542.59),0.0,
9,keepbusy_cross(Buy),Buy to Open,728.0,$1.37,10/18/02,,($565.64),728.0,
10,keepbusy_cross(SELL),Sell to Close,-728.0,$1.29,10/23/02,($59.24),($601.83),0.0,
11,keepbusy_cross(Buy),Buy to Open,640.0,$1.56,4/21/03,,($591.16),640.0,
12,keepbusy_cross(SELL),Sell to Close,-640.0,$1.53,5/1/03,($22.47),($624.30),0.0,
13,keepbusy_cross(Buy),Buy to Open,533.0,$1.87,12/5/03,,($627.85),533.0,
14,keepbusy_cross(SELL),Sell to Close,-533.0,$1.94,2/9/04,$32.87,($591.43),0.0,
15,keepbusy_cross(Buy),Buy to Open,172.0,$5.81,7/28/06,,($570.57),172.0,
16,keepbusy_cross(SELL),Sell to Close,-172.0,$5.67,9/8/06,($24.22),($615.65),0.0,
17,keepbusy_cross(Buy),Buy to Open,105.0,$9.47,10/16/09,,($623.26),105.0,
18,keepbusy_cross(SELL),Sell to Close,-105.0,$9.00,11/23/09,($48.90),($664.55),0.0,
19,keepbusy_cross(Buy),Buy to Open,98.0,$10.19,12/18/09,,($646.67),98.0,
20,keepbusy_cross(SELL),Sell to Close,-98.0,$9.86,1/27/10,($32.01),($696.57),0.0,
21,keepbusy_cross(Buy),Buy to Open,49.0,$20.02,11/4/11,,($677.58),49.0,
22,keepbusy_cross(SELL),Sell to Close,-49.0,$17.86,12/15/11,($106.11),($802.67),0.0,
23,keepbusy_cross(Buy),Buy to Open,39.0,$25.04,12/21/12,,($807.35),39.0,
24,keepbusy_cross(SELL),Sell to Close,-39.0,$23.37,1/10/13,($65.12),($867.79),0.0,
25,keepbusy_cross(Buy),Buy to Open,42.0,$23.73,2/10/17,,($874.51),42.0,
26,keepbusy_cross(SELL),Sell to Close,-42.0,$22.13,2/22/17,($67.26),($935.05),0.0,
27,keepbusy_cross(Buy),Buy to Open,41.0,$24.32,6/30/17,,($924.39),41.0,
28,keepbusy_cross(SELL),Sell to Close,-41.0,$23.84,8/30/17,($19.53),($954.58),0.0,
29,keepbusy_cross(Buy),Buy to Open,51.0,$19.33,8/7/20,,($915.82),51.0,
30,keepbusy_cross(SELL),Sell to Close,-51.0,$18.65,8/24/20,($34.89),($989.47),0.0,
31,keepbusy_cross(Buy),Buy to Open,53.0,$18.80,1/15/21,,($1001.66),53.0,
32,keepbusy_cross(SELL),Sell to Close,-53.0,$17.37,2/8/21,($76.01),($1065.49),0.0,
33,keepbusy_cross(Buy),Buy to Open,43.0,$22.95,2/4/22,,($1045.28),43.0,
34,keepbusy_cross(SELL),Sell to Close,-43.0,$22.16,3/16/22,($34.12),($1099.61),0.0,
35,keepbusy_cross(Buy),Buy to Open,35.0,$28.57,10/13/23,,($1081.41),35.0,
36,keepbusy_cross(SELL),Sell to Close,-35.0,$27.83,10/27/23,($26.05),($1125.65),0.0,
