Symbol: EWBC Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,33.0,$30.30,5/28/04,,$1.32,33.0,
2,keepbusy_cross(SELL),Sell to Close,-33.0,$33.63,9/23/04,$109.97,$109.97,0.0,
3,keepbusy_cross(Buy),Buy to Open,27.0,$36.92,10/22/04,,$138.86,27.0,
4,keepbusy_cross(SELL),Sell to Close,-27.0,$40.71,1/10/05,$102.35,$212.32,0.0,
5,keepbusy_cross(Buy),Buy to Open,26.0,$37.76,3/17/06,,$224.80,26.0,
6,keepbusy_cross(SELL),Sell to Close,-26.0,$37.22,4/4/06,($14.13),$198.19,0.0,
7,keepbusy_cross(Buy),Buy to Open,24.0,$40.56,4/20/07,,$177.79,24.0,
8,keepbusy_cross(SELL),Sell to Close,-24.0,$39.48,6/25/07,($25.88),$172.31,0.0,
9,keepbusy_cross(Buy),Buy to Open,57.0,$17.37,2/26/10,,$180.86,57.0,
10,keepbusy_cross(SELL),Sell to Close,-57.0,$17.30,5/7/10,($3.72),$168.59,0.0,
11,keepbusy_cross(Buy),Buy to Open,25.0,$38.81,2/6/15,,$184.84,25.0,
12,keepbusy_cross(SELL),Sell to Close,-25.0,$40.42,4/28/15,$40.23,$208.83,0.0,
13,keepbusy_cross(Buy),Buy to Open,23.0,$43.32,5/15/15,,$191.58,23.0,
14,keepbusy_cross(SELL),Sell to Close,-23.0,$43.95,7/28/15,$14.52,$223.35,0.0,
15,keepbusy_cross(Buy),Buy to Open,23.0,$42.21,11/20/15,,$230.94,23.0,
16,keepbusy_cross(SELL),Sell to Close,-23.0,$41.21,12/14/15,($22.99),$200.36,0.0,
17,keepbusy_cross(Buy),Buy to Open,16.0,$58.93,6/16/17,,$203.88,16.0,
18,keepbusy_cross(SELL),Sell to Close,-16.0,$56.61,7/21/17,($37.14),$163.22,0.0,
19,keepbusy_cross(Buy),Buy to Open,26.0,$37.47,10/9/20,,$156.20,26.0,
20,keepbusy_cross(SELL),Sell to Close,-26.0,$35.59,10/16/20,($48.88),$114.34,0.0,
