Symbol: EW Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,445.0,$2.24,2/1/02,,$22.62,445.0,
2,keepbusy_cross(SELL),Sell to Close,-445.0,$2.13,2/5/02,($51.89),($51.89),0.0,
3,keepbusy_cross(Buy),Buy to Open,404.0,$2.47,11/21/03,,($49.87),404.0,
4,keepbusy_cross(SELL),Sell to Close,-404.0,$2.40,12/11/03,($28.80),($80.69),0.0,
5,keepbusy_cross(Buy),Buy to Open,267.0,$3.74,3/24/06,,($81.58),267.0,
6,keepbusy_cross(SELL),Sell to Close,-267.0,$3.58,4/11/06,($43.38),($124.06),0.0,
7,keepbusy_cross(Buy),Buy to Open,189.0,$5.28,5/1/09,,($112.57),189.0,
8,keepbusy_cross(SELL),Sell to Close,-189.0,$4.98,5/11/09,($57.69),($181.76),0.0,
9,keepbusy_cross(Buy),Buy to Open,107.0,$9.26,7/2/10,,($184.79),107.0,
10,keepbusy_cross(SELL),Sell to Close,-107.0,$9.50,9/15/10,$25.03,($156.73),0.0,
11,keepbusy_cross(Buy),Buy to Open,88.0,$11.27,9/24/10,,($152.04),88.0,
12,keepbusy_cross(SELL),Sell to Close,-88.0,$14.20,3/24/11,$258.53,$101.80,0.0,
13,keepbusy_cross(Buy),Buy to Open,34.0,$28.74,2/22/16,,$106.34,34.0,
14,keepbusy_cross(SELL),Sell to Close,-34.0,$32.54,5/20/16,$129.48,$231.28,0.0,
15,keepbusy_cross(Buy),Buy to Open,18.0,$54.27,11/30/18,,$226.54,18.0,
16,keepbusy_cross(SELL),Sell to Close,-18.0,$51.19,12/20/18,($55.44),$175.84,0.0,
17,keepbusy_cross(Buy),Buy to Open,18.0,$53.04,1/18/19,,$231.64,18.0,
18,keepbusy_cross(SELL),Sell to Close,-18.0,$59.60,4/18/19,$118.15,$293.99,0.0,
