Symbol: EXAS Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,387.0,$2.58,9/11/06,,($11.61),387.0,
2,keepbusy_cross(SELL),Sell to Close,-387.0,$2.20,9/25/06,($148.34),($148.34),0.0,
3,keepbusy_cross(Buy),Buy to Open,309.0,$3.23,9/21/07,,($111.29),309.0,
4,keepbusy_cross(SELL),Sell to Close,-309.0,$4.08,11/30/07,$262.62,$114.28,0.0,
5,keepbusy_cross(Buy),Buy to Open,211.0,$4.72,9/3/10,,$137.49,211.0,
6,keepbusy_cross(SELL),Sell to Close,-211.0,$6.24,11/2/10,$320.61,$434.90,0.0,
7,keepbusy_cross(Buy),Buy to Open,118.0,$8.43,12/2/11,,$447.88,118.0,
8,keepbusy_cross(SELL),Sell to Close,-118.0,$7.70,12/12/11,($86.40),$348.50,0.0,
9,keepbusy_cross(Buy),Buy to Open,13.0,$75.43,8/31/18,,$341.48,13.0,
10,keepbusy_cross(SELL),Sell to Close,-13.0,$66.63,10/12/18,($114.41),$234.09,0.0,
11,keepbusy_cross(Buy),Buy to Open,9.0,$103.63,6/3/19,,$209.97,9.0,
12,keepbusy_cross(SELL),Sell to Close,-9.0,$102.16,7/30/19,($13.19),$220.90,0.0,
13,keepbusy_cross(Buy),Buy to Open,12.0,$78.07,5/12/23,,$234.34,12.0,
14,keepbusy_cross(SELL),Sell to Close,-12.0,$89.37,8/3/23,$135.61,$356.51,0.0,
