Symbol: FBP Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,857.0,$1.17,8/20/93,,$15.87,857.0,
2,keepbusy_cross(SELL),Sell to Close,-857.0,$1.53,11/30/93,$311.76,$311.76,0.0,
3,keepbusy_cross(Buy),Buy to Open,529.0,$1.89,12/31/93,,$289.72,529.0,
4,keepbusy_cross(SELL),Sell to Close,-529.0,$1.70,2/2/94,($97.64),$214.12,0.0,
5,keepbusy_cross(Buy),Buy to Open,247.0,$4.04,3/22/96,,$193.53,247.0,
6,keepbusy_cross(SELL),Sell to Close,-247.0,$3.82,4/10/96,($54.98),$159.14,0.0,
7,keepbusy_cross(Buy),Buy to Open,263.0,$3.79,9/27/96,,$153.66,263.0,
8,keepbusy_cross(SELL),Sell to Close,-263.0,$3.75,11/13/96,($10.96),$148.18,0.0,
9,keepbusy_cross(Buy),Buy to Open,222.0,$4.50,7/25/97,,$180.56,222.0,
10,keepbusy_cross(SELL),Sell to Close,-222.0,$5.08,10/29/97,$129.51,$277.69,0.0,
11,keepbusy_cross(Buy),Buy to Open,126.0,$7.88,1/2/01,,$261.94,126.0,
12,keepbusy_cross(SELL),Sell to Close,-126.0,$7.84,2/22/01,($4.19),$273.49,0.0,
13,keepbusy_cross(Buy),Buy to Open,116.0,$8.59,6/8/01,,$301.72,116.0,
14,keepbusy_cross(SELL),Sell to Close,-116.0,$8.81,8/29/01,$25.96,$299.45,0.0,
15,keepbusy_cross(Buy),Buy to Open,98.0,$10.12,4/12/02,,$347.47,98.0,
16,keepbusy_cross(SELL),Sell to Close,-98.0,$11.12,6/25/02,$98.37,$397.82,0.0,
17,keepbusy_cross(Buy),Buy to Open,79.0,$12.64,2/14/03,,$476.03,79.0,
18,keepbusy_cross(SELL),Sell to Close,-79.0,$14.11,5/20/03,$116.46,$514.28,0.0,
19,keepbusy_cross(Buy),Buy to Open,91.0,$10.94,12/1/08,,$309.53,91.0,
20,keepbusy_cross(SELL),Sell to Close,-91.0,$9.47,12/2/08,($133.65),$380.63,0.0,
21,keepbusy_cross(Buy),Buy to Open,228.0,$4.38,12/21/12,,$414.83,228.0,
22,keepbusy_cross(SELL),Sell to Close,-228.0,$5.77,4/18/13,$316.58,$697.21,0.0,
23,keepbusy_cross(Buy),Buy to Open,163.0,$6.10,11/11/16,,$697.21,163.0,
24,keepbusy_cross(SELL),Sell to Close,-163.0,$6.37,2/3/17,$44.01,$741.22,0.0,
25,keepbusy_cross(Buy),Buy to Open,69.0,$14.48,7/22/22,,$753.64,69.0,
26,keepbusy_cross(SELL),Sell to Close,-69.0,$14.36,9/1/22,($8.12),$733.10,0.0,
27,keepbusy_cross(Buy),Buy to Open,52.0,$18.91,7/12/24,,$737.26,52.0,
28,keepbusy_cross(SELL),Sell to Close,-52.0,$19.85,9/11/24,$48.91,$782.01,0.0,
