Symbol: FICO Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,818.0,$1.22,2/27/89,,$0.00,818.0,
2,keepbusy_cross(SELL),Sell to Close,-818.0,$1.12,4/27/89,($81.77),($81.77),0.0,
3,keepbusy_cross(Buy),Buy to Open,613.0,$1.63,12/20/91,,($104.51),613.0,
4,keepbusy_cross(SELL),Sell to Close,-613.0,$2.00,4/16/92,$224.18,$142.41,0.0,
5,keepbusy_cross(Buy),Buy to Open,87.0,$11.41,7/6/98,,$177.85,87.0,
6,keepbusy_cross(SELL),Sell to Close,-87.0,$11.16,8/4/98,($21.67),$120.74,0.0,
7,keepbusy_cross(Buy),Buy to Open,84.0,$11.85,10/23/98,,$140.96,84.0,
8,keepbusy_cross(SELL),Sell to Close,-84.0,$12.09,1/19/99,$20.23,$140.96,0.0,
9,keepbusy_cross(Buy),Buy to Open,100.0,$9.94,10/15/99,,$137.26,100.0,
10,keepbusy_cross(SELL),Sell to Close,-100.0,$9.82,10/19/99,($12.58),$128.39,0.0,
11,keepbusy_cross(Buy),Buy to Open,75.0,$13.22,12/8/00,,$129.78,75.0,
12,keepbusy_cross(SELL),Sell to Close,-75.0,$12.94,12/13/00,($21.25),$107.14,0.0,
13,keepbusy_cross(Buy),Buy to Open,42.0,$23.34,10/25/02,,$135.70,42.0,
14,keepbusy_cross(SELL),Sell to Close,-42.0,$30.26,3/11/03,$290.47,$397.61,0.0,
15,keepbusy_cross(SELL),Sell to Close,-55.0,$16.20,7/24/09,($103.40),$309.61,-55.0,
16,keepbusy_cross(Buy),Buy to Open,55.0,$18.08,7/24/09,,$294.21,0.0,
17,keepbusy_cross(Buy),Buy to Open,43.0,$22.73,2/22/10,,$300.66,43.0,
18,keepbusy_cross(SELL),Sell to Close,-43.0,$24.18,4/29/10,$62.49,$356.71,0.0,
19,keepbusy_cross(Buy),Buy to Open,20.0,$48.33,7/12/13,,$360.31,20.0,
20,keepbusy_cross(SELL),Sell to Close,-20.0,$49.47,9/4/13,$22.72,$379.43,0.0,
21,keepbusy_cross(Buy),Buy to Open,10.0,$95.91,2/5/16,,$363.63,10.0,
22,keepbusy_cross(SELL),Sell to Close,-10.0,$90.83,2/9/16,($50.76),$328.66,0.0,
23,keepbusy_cross(Buy),Buy to Open,1.0,$581.78,11/11/22,,$354.45,1.0,
24,keepbusy_cross(SELL),Sell to Close,-1.0,$653.39,3/20/23,$71.61,$400.27,0.0,
25,keepbusy_cross(Buy),Buy to Open,1.0,$810.80,7/14/23,,$413.92,1.0,
26,keepbusy_cross(SELL),Sell to Close,-1.0,$862.79,10/3/23,$51.99,$452.26,0.0,
27,keepbusy_cross(Buy),Buy to Open,1.0,$962.70,11/10/23,,$486.26,1.0,
28,keepbusy_cross(SELL),Sell to Close,-1.0,$1235.93,3/14/24,$273.23,$725.49,0.0,
29,keepbusy_cross(Buy),Buy to Open,0.0,$1379.01,6/14/24,,$725.49,0.0,
