Symbol: FR Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,27.0,$36.88,1/16/98,,$8.44,27.0,
2,keepbusy_cross(SELL),Sell to Close,-27.0,$35.74,2/3/98,($30.68),($30.68),0.0,
3,keepbusy_cross(Buy),Buy to Open,37.0,$26.44,4/23/99,,($35.31),37.0,
4,keepbusy_cross(SELL),Sell to Close,-37.0,$27.05,7/9/99,$22.62,($8.06),0.0,
5,keepbusy_cross(Buy),Buy to Open,28.0,$34.71,1/26/04,,$9.86,28.0,
6,keepbusy_cross(SELL),Sell to Close,-28.0,$37.37,4/7/04,$74.34,$66.28,0.0,
7,keepbusy_cross(Buy),Buy to Open,26.0,$37.54,8/20/04,,$97.74,26.0,
8,keepbusy_cross(SELL),Sell to Close,-26.0,$37.96,9/27/04,$10.95,$77.23,0.0,
9,keepbusy_cross(Buy),Buy to Open,24.0,$40.24,11/29/04,,$71.23,24.0,
10,keepbusy_cross(SELL),Sell to Close,-24.0,$39.82,1/5/05,($10.04),$67.20,0.0,
11,keepbusy_cross(Buy),Buy to Open,24.0,$40.82,6/10/05,,$67.92,24.0,
12,keepbusy_cross(SELL),Sell to Close,-24.0,$39.66,7/1/05,($27.93),$39.26,0.0,
13,keepbusy_cross(Buy),Buy to Open,25.0,$39.94,7/28/06,,$53.26,25.0,
14,keepbusy_cross(SELL),Sell to Close,-25.0,$43.95,11/6/06,$100.26,$139.52,0.0,
15,keepbusy_cross(Buy),Buy to Open,23.0,$43.36,10/9/20,,$142.51,23.0,
16,keepbusy_cross(SELL),Sell to Close,-23.0,$42.09,10/15/20,($29.23),$110.29,0.0,
17,keepbusy_cross(Buy),Buy to Open,17.0,$56.63,9/3/21,,$111.31,17.0,
18,keepbusy_cross(SELL),Sell to Close,-17.0,$54.37,9/10/21,($38.41),$71.88,0.0,
19,keepbusy_cross(Buy),Buy to Open,19.0,$50.59,7/12/24,,$74.35,19.0,
20,keepbusy_cross(SELL),Sell to Close,-19.0,$54.47,10/3/24,$73.72,$145.60,0.0,
