Symbol: FSLR Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,6.0,$160.84,4/1/11,,($2.64),6.0,
2,keepbusy_cross(SELL),Sell to Close,-6.0,$152.87,4/6/11,($47.83),($47.83),0.0,
3,keepbusy_cross(Buy),Buy to Open,26.0,$37.19,4/12/13,,($50.01),26.0,
4,keepbusy_cross(SELL),Sell to Close,-26.0,$43.46,6/21/13,$162.92,$115.09,0.0,
5,keepbusy_cross(Buy),Buy to Open,14.0,$70.48,3/21/14,,$155.55,14.0,
6,keepbusy_cross(SELL),Sell to Close,-14.0,$63.48,5/8/14,($98.03),$17.05,0.0,
7,keepbusy_cross(Buy),Buy to Open,19.0,$51.12,10/9/15,,$18.57,19.0,
8,keepbusy_cross(SELL),Sell to Close,-19.0,$58.95,1/15/16,$148.78,$165.83,0.0,
9,keepbusy_cross(Buy),Buy to Open,29.0,$34.24,5/5/17,,$174.53,29.0,
10,keepbusy_cross(SELL),Sell to Close,-29.0,$46.37,9/27/17,$351.86,$517.69,0.0,
11,keepbusy_cross(Buy),Buy to Open,5.0,$178.85,1/13/23,,$524.39,5.0,
12,keepbusy_cross(SELL),Sell to Close,-5.0,$163.08,2/8/23,($78.85),$438.84,0.0,
13,keepbusy_cross(Buy),Buy to Open,5.0,$198.22,3/3/23,,$498.29,5.0,
14,keepbusy_cross(SELL),Sell to Close,-5.0,$182.33,5/1/23,($79.45),$359.39,0.0,
15,keepbusy_cross(Buy),Buy to Open,6.0,$159.78,2/16/24,,$342.56,6.0,
16,keepbusy_cross(SELL),Sell to Close,-6.0,$156.07,2/20/24,($22.23),$337.15,0.0,
