Symbol: FSS Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,94.0,$10.54,1/18/91,,$3.92,94.0,
2,keepbusy_cross(SELL),Sell to Close,-94.0,$12.70,4/19/91,$202.71,$202.71,0.0,
3,keepbusy_cross(Buy),Buy to Open,48.0,$20.75,3/24/95,,$238.71,48.0,
4,keepbusy_cross(SELL),Sell to Close,-48.0,$21.65,5/25/95,$43.10,$245.81,0.0,
5,keepbusy_cross(Buy),Buy to Open,42.0,$23.38,7/10/95,,$277.31,42.0,
6,keepbusy_cross(SELL),Sell to Close,-42.0,$22.27,8/23/95,($46.29),$199.52,0.0,
7,keepbusy_cross(Buy),Buy to Open,41.0,$24.25,9/27/96,,$204.64,41.0,
8,keepbusy_cross(SELL),Sell to Close,-41.0,$24.49,12/11/96,$10.04,$209.56,0.0,
9,keepbusy_cross(Buy),Buy to Open,51.0,$19.56,7/28/00,,$184.06,51.0,
10,keepbusy_cross(SELL),Sell to Close,-51.0,$19.04,7/31/00,($26.88),$182.68,0.0,
11,keepbusy_cross(Buy),Buy to Open,44.0,$22.38,10/20/00,,$196.43,44.0,
12,keepbusy_cross(SELL),Sell to Close,-44.0,$21.73,11/27/00,($28.28),$154.40,0.0,
13,keepbusy_cross(Buy),Buy to Open,65.0,$15.22,9/8/14,,$149.20,65.0,
14,keepbusy_cross(SELL),Sell to Close,-65.0,$14.57,9/15/14,($42.47),$111.93,0.0,
15,keepbusy_cross(Buy),Buy to Open,70.0,$14.20,11/11/16,,$163.73,70.0,
16,keepbusy_cross(SELL),Sell to Close,-70.0,$15.46,1/31/17,$88.21,$200.14,0.0,
17,keepbusy_cross(Buy),Buy to Open,45.0,$22.22,3/9/18,,$227.59,45.0,
18,keepbusy_cross(SELL),Sell to Close,-45.0,$20.97,5/2/18,($56.25),$143.89,0.0,
19,keepbusy_cross(Buy),Buy to Open,20.0,$49.25,1/9/23,,$133.89,20.0,
20,keepbusy_cross(SELL),Sell to Close,-20.0,$51.30,3/16/23,$40.90,$184.79,0.0,
21,keepbusy_cross(Buy),Buy to Open,15.0,$64.71,11/10/23,,$196.94,15.0,
22,keepbusy_cross(SELL),Sell to Close,-15.0,$77.44,3/12/24,$190.98,$375.77,0.0,
