Symbol: GEN Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,139.0,$7.15,8/22/14,,$13.90,139.0,
2,keepbusy_cross(SELL),Sell to Close,-139.0,$6.51,10/2/14,($89.34),($89.34),0.0,
3,keepbusy_cross(Buy),Buy to Open,132.0,$7.57,12/19/14,,($24.66),132.0,
4,keepbusy_cross(SELL),Sell to Close,-132.0,$7.98,2/11/15,$54.58,($34.75),0.0,
5,keepbusy_cross(Buy),Buy to Open,625.0,$1.60,12/10/18,,$15.25,625.0,
6,keepbusy_cross(SELL),Sell to Close,-625.0,$1.52,12/17/18,($49.69),($84.44),0.0,
7,keepbusy_cross(Buy),Buy to Open,578.0,$1.73,2/24/20,,($61.32),578.0,
8,keepbusy_cross(SELL),Sell to Close,-578.0,$1.61,2/28/20,($67.53),($151.97),0.0,
9,keepbusy_cross(Buy),Buy to Open,43.0,$22.94,11/14/22,,($162.29),43.0,
10,keepbusy_cross(SELL),Sell to Close,-43.0,$22.39,2/6/23,($23.77),($175.74),0.0,
11,keepbusy_cross(Buy),Buy to Open,39.0,$25.41,5/17/24,,($190.56),39.0,
12,keepbusy_cross(SELL),Sell to Close,-39.0,$24.70,8/5/24,($27.65),($203.39),0.0,
13,keepbusy_cross(Buy),Buy to Open,38.0,$26.25,9/13/24,,($194.27),38.0,
