Symbol: GIS Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,DTSreversal(BUY),Buy to Open,669.0,$3.73,11/27/85,,($5.22),669.0,
2,DTSreversal(BUY),Buy to Open,670.0,$3.73,11/29/85,,($15.69),1339.0,
3,DTSreversal(BUY),Buy to Open,672.0,$3.72,12/2/85,,($78.53),2011.0,
4,DTSreversal(SELL),Sell to Close,-2011.0,$3.78,1/29/86,$110.00,$110.00,0.0,
5,DTSreversal(BUY),Buy to Open,572.0,$4.37,5/1/86,,$83.19,572.0,
6,DTSreversal(BUY),Buy to Open,578.0,$4.32,5/2/86,,$119.12,1150.0,
7,DTSreversal(BUY),Buy to Open,574.0,$4.35,5/5/86,,$267.28,1724.0,
8,DTSreversal(SELL),Sell to Close,-1724.0,$4.68,5/14/86,$574.81,$684.81,0.0,
9,DTSreversal(BUY),Buy to Open,489.0,$5.11,9/9/86,,$684.81,489.0,
10,DTSreversal(BUY),Buy to Open,489.0,$5.11,9/10/86,,$761.22,978.0,
11,DTSreversal(BUY),Buy to Open,515.0,$4.85,9/12/86,,$351.02,1493.0,
12,DTSreversal(SELL),Sell to Close,-1493.0,$5.11,10/16/86,$132.77,$817.58,0.0,
13,DTSreversal(BUY),Buy to Open,500.0,$5.00,11/19/86,,$801.96,500.0,
14,DTSreversal(BUY),Buy to Open,504.0,$4.95,11/21/86,,$982.40,1004.0,
15,DTSreversal(SELL),Sell to Close,-1004.0,$5.47,11/26/86,$494.25,$1311.83,0.0,
16,DTSreversal(BUY),Buy to Open,400.0,$6.25,4/2/87,,$1311.83,400.0,
17,DTSreversal(BUY),Buy to Open,400.0,$6.25,4/3/87,,$1511.83,800.0,
18,DTSreversal(BUY),Buy to Open,404.0,$6.19,4/10/87,,$1130.15,1204.0,
19,DTSreversal(SELL),Sell to Close,-1204.0,$6.38,5/14/87,$175.75,$1487.58,0.0,
20,DTSreversal(BUY),Buy to Open,380.0,$6.58,7/22/87,,$1523.21,380.0,
21,DTSreversal(BUY),Buy to Open,378.0,$6.61,7/24/87,,$1546.83,758.0,
22,DTSreversal(SELL),Sell to Close,-758.0,$6.95,7/29/87,$272.44,$1760.02,0.0,
23,DTSreversal(BUY),Buy to Open,364.0,$6.86,9/8/87,,$1731.58,364.0,
24,DTSreversal(BUY),Buy to Open,368.0,$6.78,9/9/87,,$1765.90,732.0,
25,DTSreversal(BUY),Buy to Open,366.0,$6.83,9/10/87,,$1885.99,1098.0,
26,DTSreversal(SELL),Sell to Close,-1098.0,$7.31,9/30/87,$537.72,$2297.74,0.0,
27,DTSreversal(BUY),Buy to Open,366.0,$6.83,10/9/87,,$2251.99,366.0,
28,DTSreversal(BUY),Buy to Open,372.0,$6.70,10/12/87,,$2148.21,738.0,
29,DTSreversal(BUY),Buy to Open,372.0,$6.72,10/14/87,,$2211.49,1110.0,
30,DTSreversal(SELL),Sell to Close,-1110.0,$5.61,10/20/87,($1265.63),$1032.11,0.0,
31,DTSreversal(BUY),Buy to Open,395.0,$6.33,11/14/88,,$1013.60,395.0,
32,DTSreversal(SELL),Sell to Close,-793.0,$6.28,11/15/88,($18.52),$1032.25,-398.0,
33,DTSreversal(BUY),Buy to Open,398.0,$6.28,11/15/88,,$1013.60,0.0,
34,DTSreversal(SELL),Sell to Close,-401.0,$6.23,11/16/88,$0.00,$1019.86,-401.0,
35,DTSreversal(BUY),Buy to Open,401.0,$6.23,11/16/88,,$1013.60,0.0,
36,DTSreversal(SELL),Sell to Close,-402.0,$6.22,11/17/88,$0.00,$957.07,-402.0,
37,DTSreversal(BUY),Buy to Open,402.0,$6.22,11/17/88,,$1013.60,0.0,
38,DTSreversal(SELL),Sell to Close,-399.0,$6.27,11/28/88,$0.00,$1007.36,-399.0,
39,DTSreversal(BUY),Buy to Open,399.0,$6.27,11/28/88,,$1013.60,0.0,
40,DTSreversal(BUY),Buy to Open,297.0,$8.39,9/14/89,,$1013.60,297.0,
41,DTSreversal(BUY),Buy to Open,297.0,$8.39,9/15/89,,$1050.72,594.0,
42,DTSreversal(SELL),Sell to Close,-594.0,$8.81,9/29/89,$250.59,$1264.19,0.0,
43,DTSreversal(BUY),Buy to Open,286.0,$8.73,12/28/89,,$1340.16,286.0,
44,DTSreversal(BUY),Buy to Open,285.0,$8.75,1/12/90,,$1170.52,571.0,
45,DTSreversal(BUY),Buy to Open,291.0,$8.58,1/15/90,,$1062.77,862.0,
46,DTSreversal(SELL),Sell to Close,-862.0,$8.38,3/7/90,($268.77),$995.43,0.0,
47,DTSreversal(BUY),Buy to Open,235.0,$10.63,8/7/90,,$966.05,235.0,
48,DTSreversal(BUY),Buy to Open,238.0,$10.50,8/8/90,,$1062.13,473.0,
