Symbol: GOOGL Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,DTSreversal(BUY),Buy to Open,356.0,$7.01,8/19/05,,$0.09,356.0,
2,DTSreversal(BUY),Buy to Open,356.0,$7.01,8/22/05,,($106.64),712.0,
3,DTSreversal(BUY),Buy to Open,364.0,$6.86,8/23/05,,$43.34,1076.0,
4,DTSreversal(SELL),Sell to Close,-1076.0,$7.38,9/8/05,$455.04,$455.04,0.0,
5,DTSreversal(BUY),Buy to Open,337.0,$7.41,10/17/05,,$529.76,337.0,
6,DTSreversal(SELL),Sell to Close,-337.0,$8.51,10/24/05,$369.04,$824.08,0.0,
7,DTSreversal(BUY),Buy to Open,250.0,$10.00,1/23/06,,$999.50,250.0,
8,DTSreversal(BUY),Buy to Open,248.0,$10.05,2/2/06,,$767.06,498.0,
9,DTSreversal(BUY),Buy to Open,252.0,$9.91,2/3/06,,$495.11,750.0,
10,DTSreversal(SELL),Sell to Close,-750.0,$9.25,3/28/06,($551.56),$272.52,0.0,
11,DTSreversal(BUY),Buy to Open,267.0,$9.36,5/15/06,,$286.35,267.0,
12,DTSreversal(BUY),Buy to Open,265.0,$9.41,5/16/06,,$221.11,532.0,
13,DTSreversal(BUY),Buy to Open,269.0,$9.29,5/17/06,,$285.26,801.0,
14,DTSreversal(SELL),Sell to Close,-801.0,$9.84,6/9/06,$389.57,$662.09,0.0,
15,DTSreversal(BUY),Buy to Open,215.0,$11.58,12/19/06,,$693.46,215.0,
16,DTSreversal(BUY),Buy to Open,215.0,$11.58,12/21/06,,$590.53,430.0,
17,DTSreversal(BUY),Buy to Open,218.0,$11.42,12/22/06,,$580.48,648.0,
18,DTSreversal(SELL),Sell to Close,-648.0,$12.09,1/5/07,$367.24,$1029.33,0.0,
19,DTSreversal(BUY),Buy to Open,216.0,$11.56,2/12/07,,$1009.87,216.0,
20,DTSreversal(BUY),Buy to Open,217.0,$11.47,2/13/07,,$1018.65,433.0,
21,DTSreversal(BUY),Buy to Open,217.0,$11.49,2/14/07,,$1129.74,650.0,
22,DTSreversal(SELL),Sell to Close,-650.0,$11.64,3/27/07,$85.29,$1114.62,0.0,
23,DTSreversal(BUY),Buy to Open,194.0,$12.83,7/24/07,,$1121.85,194.0,
24,DTSreversal(BUY),Buy to Open,194.0,$12.86,7/25/07,,$1080.68,388.0,
25,DTSreversal(BUY),Buy to Open,195.0,$12.76,7/26/07,,$1055.01,583.0,
26,DTSreversal(SELL),Sell to Close,-583.0,$13.14,9/5/07,$190.59,$1305.21,0.0,
27,DTSreversal(BUY),Buy to Open,152.0,$16.44,1/7/08,,$1275.73,152.0,
28,DTSreversal(BUY),Buy to Open,153.0,$16.25,1/8/08,,$1141.63,305.0,
29,DTSreversal(BUY),Buy to Open,158.0,$15.81,1/9/08,,$1390.97,463.0,
30,DTSreversal(SELL),Sell to Close,-463.0,$12.40,2/5/08,($1742.20),($436.99),0.0,
31,DTSreversal(SELL),Sell to Close,-251.0,$9.93,7/8/09,$0.00,($473.80),-251.0,
32,DTSreversal(BUY),Buy to Open,251.0,$9.93,7/8/09,,($436.99),0.0,
33,DTSreversal(BUY),Buy to Open,172.0,$14.51,1/19/10,,($404.19),172.0,
34,DTSreversal(BUY),Buy to Open,181.0,$13.76,1/25/10,,($654.50),353.0,
35,DTSreversal(BUY),Buy to Open,185.0,$13.51,1/26/10,,($621.92),538.0,
36,DTSreversal(SELL),Sell to Close,-538.0,$13.88,3/5/10,($21.08),($458.07),0.0,
37,DTSreversal(BUY),Buy to Open,183.0,$13.64,4/26/10,,($519.21),183.0,
38,DTSreversal(SELL),Sell to Close,-183.0,$11.37,6/30/10,($415.49),($873.56),0.0,
39,DTSreversal(BUY),Buy to Open,179.0,$13.91,12/1/10,,($834.86),179.0,
40,DTSreversal(BUY),Buy to Open,177.0,$14.12,12/2/10,,($768.31),356.0,
41,DTSreversal(SELL),Sell to Close,-356.0,$14.89,12/15/10,$310.95,($562.61),0.0,
42,DTSreversal(BUY),Buy to Open,166.0,$15.03,3/2/11,,($562.49),166.0,
43,DTSreversal(BUY),Buy to Open,166.0,$15.03,3/3/11,,($489.63),332.0,
44,DTSreversal(BUY),Buy to Open,168.0,$14.81,3/8/11,,($630.21),500.0,
45,DTSreversal(SELL),Sell to Close,-500.0,$13.28,4/18/11,($838.47),($1401.08),0.0,
46,DTSreversal(BUY),Buy to Open,177.0,$14.09,11/28/11,,($1289.51),177.0,
47,DTSreversal(SELL),Sell to Close,-177.0,$15.00,12/1/11,$161.18,($1239.90),0.0,
48,DTSreversal(BUY),Buy to Open,170.0,$14.66,1/23/12,,($1241.90),170.0,
49,DTSreversal(BUY),Buy to Open,170.0,$14.65,1/24/12,,($1280.95),340.0,
50,DTSreversal(BUY),Buy to Open,171.0,$14.54,1/25/12,,($1427.24),511.0,
51,DTSreversal(SELL),Sell to Close,-511.0,$15.36,2/22/12,$381.83,($858.07),0.0,
52,DTSreversal(BUY),Buy to Open,164.0,$15.17,4/17/12,,($843.71),164.0,
53,DTSreversal(BUY),Buy to Open,164.0,$15.20,4/19/12,,($919.30),328.0,
54,DTSreversal(BUY),Buy to Open,166.0,$15.00,4/20/12,,($959.36),494.0,
55,DTSreversal(SELL),Sell to Close,-494.0,$15.74,5/17/12,$305.05,($553.02),0.0,
56,DTSreversal(BUY),Buy to Open,143.0,$17.39,10/19/12,,($600.29),143.0,
57,DTSreversal(BUY),Buy to Open,146.0,$17.06,10/22/12,,($622.85),289.0,
58,DTSreversal(BUY),Buy to Open,147.0,$16.98,10/23/12,,($604.52),436.0,
59,DTSreversal(SELL),Sell to Close,-436.0,$17.31,11/30/12,$74.40,($478.62),0.0,
60,DTSreversal(BUY),Buy to Open,127.0,$19.60,4/8/13,,($504.68),127.0,
61,DTSreversal(BUY),Buy to Open,128.0,$19.39,4/9/13,,($486.81),255.0,
62,DTSreversal(BUY),Buy to Open,128.0,$19.46,4/10/13,,($366.72),383.0,
63,DTSreversal(SELL),Sell to Close,-383.0,$20.22,4/24/13,$281.73,($196.89),0.0,
64,DTSreversal(BUY),Buy to Open,114.0,$21.77,8/15/13,,($225.84),114.0,
65,DTSreversal(BUY),Buy to Open,116.0,$21.51,8/16/13,,($241.68),230.0,
66,DTSreversal(BUY),Buy to Open,116.0,$21.44,8/19/13,,($165.99),346.0,
67,DTSreversal(SELL),Sell to Close,-346.0,$22.22,9/10/13,$224.88,$27.99,0.0,
68,DTSreversal(BUY),Buy to Open,117.0,$21.36,10/9/13,,$34.41,117.0,
69,DTSreversal(BUY),Buy to Open,116.0,$21.42,10/10/13,,$106.59,233.0,
70,DTSreversal(SELL),Sell to Close,-233.0,$22.47,10/17/13,$252.28,$280.28,0.0,
71,DTSreversal(BUY),Buy to Open,86.0,$28.98,3/25/14,,$281.98,86.0,
72,DTSreversal(BUY),Buy to Open,86.0,$29.00,3/26/14,,$166.84,172.0,
73,DTSreversal(BUY),Buy to Open,88.0,$28.33,3/27/14,,$51.75,260.0,
74,DTSreversal(SELL),Sell to Close,-260.0,$27.49,5/22/14,($332.27),($51.99),0.0,
75,DTSreversal(BUY),Buy to Open,80.0,$30.91,8/25/15,,($74.55),80.0,
76,DTSreversal(BUY),Buy to Open,81.0,$30.62,8/26/15,,$305.97,161.0,
77,DTSreversal(SELL),Sell to Close,-161.0,$33.25,9/16/15,$400.87,$348.88,0.0,
78,DTSreversal(BUY),Buy to Open,80.0,$31.21,9/29/15,,$342.32,80.0,
79,DTSreversal(BUY),Buy to Open,80.0,$31.13,9/30/15,,$468.40,160.0,
80,DTSreversal(SELL),Sell to Close,-160.0,$33.58,10/6/15,$386.00,$734.88,0.0,
81,DTSreversal(BUY),Buy to Open,67.0,$37.05,1/8/16,,$701.08,67.0,
82,DTSreversal(BUY),Buy to Open,68.0,$36.55,1/11/16,,$715.66,135.0,
83,DTSreversal(BUY),Buy to Open,68.0,$36.65,1/12/16,,$840.20,203.0,
84,DTSreversal(SELL),Sell to Close,-203.0,$38.07,2/1/16,$267.82,$1002.70,0.0,
85,DTSreversal(BUY),Buy to Open,71.0,$35.19,2/8/16,,$1004.12,71.0,
86,DTSreversal(BUY),Buy to Open,71.0,$35.21,2/9/16,,$981.82,142.0,
87,DTSreversal(BUY),Buy to Open,71.0,$35.05,2/10/16,,$1043.91,213.0,
88,DTSreversal(SELL),Sell to Close,-213.0,$37.11,3/2/16,$417.37,$1420.07,0.0,
89,DTSreversal(BUY),Buy to Open,67.0,$36.89,4/25/16,,$1434.94,67.0,
