Symbol: GRBK Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,26.0,$37.60,9/24/10,,($103.74),26.0,
2,keepbusy_cross(SELL),Sell to Close,-26.0,$38.99,11/22/10,$36.04,$36.04,0.0,
3,keepbusy_cross(Buy),Buy to Open,141.0,$7.05,7/18/14,,$279.97,141.0,
4,keepbusy_cross(SELL),Sell to Close,-141.0,$9.46,9/23/14,$340.36,$376.39,0.0,
5,keepbusy_cross(Buy),Buy to Open,118.0,$8.43,4/6/15,,$363.41,118.0,
6,keepbusy_cross(SELL),Sell to Close,-118.0,$8.24,5/15/15,($22.77),$353.62,0.0,
7,keepbusy_cross(Buy),Buy to Open,90.0,$11.10,6/9/17,,$362.62,90.0,
8,keepbusy_cross(SELL),Sell to Close,-90.0,$10.06,6/27/17,($93.74),$259.89,0.0,
9,keepbusy_cross(Buy),Buy to Open,104.0,$9.54,7/12/19,,$279.65,104.0,
10,keepbusy_cross(SELL),Sell to Close,-104.0,$9.03,7/24/19,($52.98),$206.91,0.0,
11,keepbusy_cross(Buy),Buy to Open,38.0,$25.84,10/29/21,,$214.89,38.0,
12,keepbusy_cross(SELL),Sell to Close,-38.0,$27.10,1/7/22,$47.89,$254.79,0.0,
