Symbol: HGV Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,23.0,$42.41,12/8/17,,$6.90,23.0,
2,keepbusy_cross(SELL),Sell to Close,-23.0,$40.89,1/8/18,($34.92),($34.92),0.0,
3,keepbusy_cross(Buy),Buy to Open,22.0,$43.97,1/22/18,,($45.04),22.0,
4,keepbusy_cross(SELL),Sell to Close,-22.0,$41.97,2/7/18,($43.91),($78.83),0.0,
5,keepbusy_cross(Buy),Buy to Open,21.0,$46.16,3/9/18,,($54.89),21.0,
6,keepbusy_cross(SELL),Sell to Close,-21.0,$43.54,3/16/18,($54.97),($133.80),0.0,
7,keepbusy_cross(Buy),Buy to Open,31.0,$32.25,8/23/19,,($148.06),31.0,
8,keepbusy_cross(SELL),Sell to Close,-31.0,$31.42,10/3/19,($25.70),($159.50),0.0,
9,keepbusy_cross(Buy),Buy to Open,21.0,$47.05,6/9/23,,($181.55),21.0,
10,keepbusy_cross(SELL),Sell to Close,-21.0,$45.23,6/21/23,($38.29),($197.79),0.0,
