Symbol: IBM Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,FReversalSwing(BUY),Buy to Open,10.0,$38.24,7/24/87,,$2.69,10.0,
2,FReversalSwing(BUY),Buy to Open,10.0,$38.03,8/4/87,,($1.49),20.0,
3,FReversalSwing(BUY),Buy to Open,10.0,$38.06,8/5/87,,$4.78,30.0,
4,FReversalSwing(SELL),Sell to Close,-30.0,$39.25,8/10/87,$34.33,$34.33,0.0,
5,FReversalSwing(BUY),Buy to Open,10.0,$38.89,9/2/87,,$33.43,10.0,
6,FReversalSwing(BUY),Buy to Open,10.0,$38.80,9/3/87,,$29.25,20.0,
7,FReversalSwing(BUY),Buy to Open,10.0,$38.59,9/4/87,,$22.98,30.0,
8,FReversalSwing(SELL),Sell to Close,-30.0,$34.66,10/14/87,($123.13),($88.80),0.0,
9,FReversalSwing(BUY),Buy to Open,14.0,$27.40,7/25/90,,($88.80),14.0,
10,FReversalSwing(BUY),Buy to Open,14.0,$27.40,7/26/90,,($99.67),28.0,
11,FReversalSwing(BUY),Buy to Open,14.0,$27.01,7/27/90,,($117.22),42.0,
12,FReversalSwing(SELL),Sell to Close,-42.0,$26.48,7/30/90,($33.09),($121.89),0.0,
13,FReversalSwing(BUY),Buy to Open,14.0,$27.49,3/20/91,,($125.24),14.0,
14,FReversalSwing(SELL),Sell to Close,-14.0,$26.22,4/15/91,($17.81),($139.71),0.0,
15,FReversalSwing(BUY),Buy to Open,28.0,$14.03,7/1/94,,($151.41),28.0,
16,FReversalSwing(BUY),Buy to Open,29.0,$13.61,7/5/94,,($161.62),57.0,
17,FReversalSwing(BUY),Buy to Open,29.0,$13.43,7/6/94,,($146.21),86.0,
18,FReversalSwing(SELL),Sell to Close,-86.0,$14.89,7/22/94,$103.87,($35.83),0.0,
19,FReversalSwing(BUY),Buy to Open,24.0,$16.66,11/23/94,,($34.40),24.0,
20,FReversalSwing(BUY),Buy to Open,24.0,$16.60,12/2/94,,($15.77),48.0,
21,FReversalSwing(SELL),Sell to Close,-48.0,$17.58,12/22/94,$45.85,$10.01,0.0,
22,FReversalSwing(BUY),Buy to Open,23.0,$17.28,1/26/95,,$10.01,23.0,
23,FReversalSwing(BUY),Buy to Open,23.0,$17.28,1/27/95,,$11.39,46.0,
24,FReversalSwing(BUY),Buy to Open,23.0,$17.13,1/31/95,,$9.33,69.0,
25,FReversalSwing(SELL),Sell to Close,-69.0,$17.91,2/10/95,$46.68,$56.70,0.0,
26,FReversalSwing(BUY),Buy to Open,17.0,$22.30,9/15/95,,$52.13,17.0,
27,FReversalSwing(BUY),Buy to Open,18.0,$22.03,9/18/95,,$67.80,35.0,
28,FReversalSwing(BUY),Buy to Open,17.0,$22.48,9/19/95,,$100.40,52.0,
29,FReversalSwing(SELL),Sell to Close,-52.0,$23.46,10/20/95,$62.32,$119.02,0.0,
30,FReversalSwing(BUY),Buy to Open,15.0,$25.97,3/26/96,,$126.19,15.0,
31,FReversalSwing(SELL),Sell to Close,-15.0,$28.60,4/4/96,$39.40,$158.42,0.0,
32,FReversalSwing(BUY),Buy to Open,15.0,$25.13,4/18/96,,$159.32,15.0,
33,FReversalSwing(BUY),Buy to Open,15.0,$25.19,4/19/96,,$158.42,30.0,
34,FReversalSwing(BUY),Buy to Open,15.0,$25.16,4/22/96,,$178.57,45.0,
35,FReversalSwing(SELL),Sell to Close,-45.0,$26.48,5/20/96,$59.10,$217.52,0.0,
36,FReversalSwing(BUY),Buy to Open,15.0,$25.16,6/4/96,,$219.31,15.0,
37,FReversalSwing(BUY),Buy to Open,15.0,$25.04,6/6/96,,$189.76,30.0,
38,FReversalSwing(SELL),Sell to Close,-30.0,$23.04,7/12/96,($61.75),$155.77,0.0,
39,FReversalSwing(BUY),Buy to Open,11.0,$34.09,2/11/97,,$162.34,11.0,
40,FReversalSwing(BUY),Buy to Open,11.0,$34.30,2/20/97,,$145.59,22.0,
41,FReversalSwing(BUY),Buy to Open,11.0,$33.73,2/21/97,,$117.03,33.0,
42,FReversalSwing(SELL),Sell to Close,-33.0,$34.00,4/24/97,($1.31),$154.46,0.0,
43,FReversalSwing(BUY),Buy to Open,9.0,$42.98,10/28/97,,$194.76,9.0,
44,FReversalSwing(SELL),Sell to Close,-9.0,$49.43,11/18/97,$58.03,$212.49,0.0,
45,FReversalSwing(BUY),Buy to Open,7.0,$54.38,6/4/98,,$219.80,7.0,
46,FReversalSwing(BUY),Buy to Open,7.0,$53.61,6/16/98,,$192.01,14.0,
47,FReversalSwing(BUY),Buy to Open,7.0,$52.53,6/17/98,,$202.04,21.0,
48,FReversalSwing(SELL),Sell to Close,-21.0,$55.76,7/2/98,$47.22,$259.71,0.0,
49,FReversalSwing(BUY),Buy to Open,7.0,$53.79,9/1/98,,$277.47,7.0,
50,FReversalSwing(BUY),Buy to Open,7.0,$56.32,9/2/98,,$294.60,14.0,
51,FReversalSwing(SELL),Sell to Close,-14.0,$61.67,9/15/98,$92.56,$352.27,0.0,
52,FReversalSwing(BUY),Buy to Open,6.0,$57.43,10/6/98,,$349.40,6.0,
53,FReversalSwing(BUY),Buy to Open,7.0,$56.95,10/7/98,,$358.71,13.0,
54,FReversalSwing(SELL),Sell to Close,-13.0,$62.50,10/13/98,$69.31,$421.58,0.0,
55,FReversalSwing(BUY),Buy to Open,3.0,$112.71,9/28/00,,$413.70,3.0,
56,FReversalSwing(BUY),Buy to Open,3.0,$110.08,9/29/00,,$398.65,6.0,
57,FReversalSwing(SELL),Sell to Close,-6.0,$107.84,10/2/00,($21.35),$400.22,0.0,
58,FReversalSwing(BUY),Buy to Open,3.0,$109.13,1/22/02,,$389.48,3.0,
59,FReversalSwing(BUY),Buy to Open,3.0,$105.55,1/23/02,,$374.58,6.0,
60,FReversalSwing(SELL),Sell to Close,-6.0,$103.55,1/24/02,($22.75),$377.48,0.0,
61,FReversalSwing(BUY),Buy to Open,4.0,$85.68,1/14/04,,$379.81,4.0,
62,FReversalSwing(SELL),Sell to Close,-4.0,$89.80,1/16/04,$16.51,$393.98,0.0,
63,FReversalSwing(BUY),Buy to Open,4.0,$90.35,3/9/04,,$393.75,4.0,
64,FReversalSwing(BUY),Buy to Open,4.0,$90.29,3/10/04,,$382.52,8.0,
65,FReversalSwing(BUY),Buy to Open,4.0,$88.89,3/11/04,,$361.32,12.0,
66,FReversalSwing(SELL),Sell to Close,-12.0,$82.32,5/13/04,($90.24),$303.74,0.0,
67,FReversalSwing(BUY),Buy to Open,4.0,$90.74,1/12/05,,$304.54,4.0,
68,FReversalSwing(BUY),Buy to Open,4.0,$90.22,1/14/05,,$298.96,8.0,
69,FReversalSwing(BUY),Buy to Open,4.0,$89.88,1/18/05,,$308.13,12.0,
70,FReversalSwing(SELL),Sell to Close,-12.0,$86.67,3/17/05,($43.29),$260.45,0.0,
71,FReversalSwing(BUY),Buy to Open,4.0,$92.56,2/27/07,,$249.18,4.0,
72,FReversalSwing(BUY),Buy to Open,4.0,$89.75,2/28/07,,$241.39,8.0,
73,FReversalSwing(BUY),Buy to Open,4.0,$88.77,3/1/07,,$233.71,12.0,
74,FReversalSwing(SELL),Sell to Close,-12.0,$91.79,4/4/07,$17.15,$277.61,0.0,
75,FReversalSwing(BUY),Buy to Open,3.0,$107.25,10/22/07,,$280.73,3.0,
76,FReversalSwing(BUY),Buy to Open,3.0,$107.75,10/26/07,,$284.40,6.0,
77,FReversalSwing(BUY),Buy to Open,3.0,$106.10,11/8/07,,$226.49,9.0,
78,FReversalSwing(SELL),Sell to Close,-9.0,$104.78,12/7/07,($20.26),$257.35,0.0,
79,FReversalSwing(BUY),Buy to Open,3.0,$115.70,6/27/08,,$254.25,3.0,
80,FReversalSwing(BUY),Buy to Open,3.0,$114.67,6/30/08,,$245.54,6.0,
81,FReversalSwing(BUY),Buy to Open,3.0,$113.22,7/1/08,,$251.90,9.0,
82,FReversalSwing(SELL),Sell to Close,-9.0,$120.29,7/17/08,$51.89,$309.24,0.0,
83,FReversalSwing(BUY),Buy to Open,3.0,$117.06,8/20/08,,$309.10,3.0,
84,FReversalSwing(BUY),Buy to Open,3.0,$117.02,8/21/08,,$311.85,6.0,
85,FReversalSwing(BUY),Buy to Open,3.0,$113.10,9/3/08,,$285.00,9.0,
86,FReversalSwing(SELL),Sell to Close,-9.0,$107.00,9/18/08,($78.54),$230.70,0.0,
87,FReversalSwing(BUY),Buy to Open,3.0,$119.87,1/25/10,,$232.48,3.0,
88,FReversalSwing(BUY),Buy to Open,3.0,$120.11,1/27/10,,$234.74,6.0,
89,FReversalSwing(BUY),Buy to Open,3.0,$118.20,1/29/10,,$208.26,9.0,
90,FReversalSwing(SELL),Sell to Close,-9.0,$122.08,2/19/10,$24.16,$254.86,0.0,
91,FReversalSwing(BUY),Buy to Open,2.0,$146.14,3/17/11,,$257.11,2.0,
92,FReversalSwing(BUY),Buy to Open,2.0,$147.27,3/18/11,,$263.64,4.0,
