Symbol: IONS Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,54.0,$18.38,12/6/96,,($33.75),54.0,
2,keepbusy_cross(SELL),Sell to Close,-54.0,$17.32,1/15/97,($56.81),($56.81),0.0,
3,keepbusy_cross(Buy),Buy to Open,88.0,$11.25,1/22/01,,($12.81),88.0,
4,keepbusy_cross(SELL),Sell to Close,-88.0,$10.76,2/26/01,($42.95),($99.77),0.0,
5,keepbusy_cross(Buy),Buy to Open,65.0,$15.33,6/5/09,,($112.77),65.0,
6,keepbusy_cross(SELL),Sell to Close,-65.0,$14.47,6/16/09,($56.14),($155.91),0.0,
7,keepbusy_cross(Buy),Buy to Open,111.0,$8.95,5/11/12,,($143.70),111.0,
8,keepbusy_cross(SELL),Sell to Close,-111.0,$13.60,10/3/12,$516.35,$360.45,0.0,
9,keepbusy_cross(Buy),Buy to Open,18.0,$53.56,3/3/17,,$380.97,18.0,
10,keepbusy_cross(SELL),Sell to Close,-18.0,$47.40,3/8/17,($110.92),$249.52,0.0,
11,keepbusy_cross(Buy),Buy to Open,17.0,$56.16,9/11/17,,$259.21,17.0,
12,keepbusy_cross(SELL),Sell to Close,-17.0,$52.42,9/22/17,($63.64),$185.89,0.0,
13,keepbusy_cross(Buy),Buy to Open,17.0,$57.73,10/13/17,,$209.18,17.0,
14,keepbusy_cross(SELL),Sell to Close,-17.0,$53.70,10/26/17,($68.44),$117.44,0.0,
