Symbol: IOSP Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,13.0,$72.05,1/27/17,,$1.95,13.0,
2,keepbusy_cross(SELL),Sell to Close,-13.0,$68.40,2/9/17,($47.49),($47.49),0.0,
3,keepbusy_cross(Buy),Buy to Open,10.0,$91.32,12/17/21,,($53.19),10.0,
4,keepbusy_cross(SELL),Sell to Close,-10.0,$88.67,12/21/21,($26.49),($73.98),0.0,
5,keepbusy_cross(Buy),Buy to Open,10.0,$99.94,5/6/22,,($64.28),10.0,
6,keepbusy_cross(SELL),Sell to Close,-10.0,$96.17,6/14/22,($37.68),($111.66),0.0,
7,keepbusy_cross(Buy),Buy to Open,9.0,$103.11,8/19/22,,($118.23),9.0,
8,keepbusy_cross(SELL),Sell to Close,-9.0,$97.34,8/26/22,($51.96),($163.62),0.0,
9,keepbusy_cross(Buy),Buy to Open,9.0,$108.76,11/17/23,,($166.32),9.0,
10,keepbusy_cross(SELL),Sell to Close,-9.0,$114.22,2/6/24,$49.15,($114.46),0.0,
11,keepbusy_cross(Buy),Buy to Open,8.0,$120.00,11/8/24,,($101.26),8.0,
12,keepbusy_cross(SELL),Sell to Close,-8.0,$115.51,11/20/24,($35.92),($150.38),0.0,
