Symbol: IVV Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,FReversalSwing(BUY),Buy to Open,3.0,$112.70,3/11/04,,($4.74),3.0,
2,FReversalSwing(BUY),Buy to Open,3.0,$111.12,3/12/04,,$4.20,6.0,
3,FReversalSwing(BUY),Buy to Open,3.0,$111.34,3/16/04,,$1.26,9.0,
4,FReversalSwing(SELL),Sell to Close,-9.0,$113.84,4/2/04,$19.08,$19.08,0.0,
5,FReversalSwing(BUY),Buy to Open,3.0,$111.11,5/3/04,,$22.32,3.0,
6,FReversalSwing(BUY),Buy to Open,3.0,$110.10,5/10/04,,$8.73,6.0,
7,FReversalSwing(BUY),Buy to Open,3.0,$108.88,5/11/04,,$16.65,9.0,
8,FReversalSwing(SELL),Sell to Close,-9.0,$112.27,5/27/04,$20.16,$39.24,0.0,
9,FReversalSwing(BUY),Buy to Open,3.0,$118.29,1/6/05,,$40.68,3.0,
10,FReversalSwing(BUY),Buy to Open,3.0,$117.82,1/14/05,,$41.73,6.0,
11,FReversalSwing(BUY),Buy to Open,3.0,$116.90,1/24/05,,$30.96,9.0,
12,FReversalSwing(SELL),Sell to Close,-9.0,$119.43,2/3/05,$15.84,$55.08,0.0,
13,FReversalSwing(BUY),Buy to Open,3.0,$117.49,3/23/05,,$55.68,3.0,
14,FReversalSwing(BUY),Buy to Open,3.0,$117.69,3/24/05,,$55.86,6.0,
15,FReversalSwing(BUY),Buy to Open,3.0,$117.72,3/28/05,,$51.45,9.0,
16,FReversalSwing(SELL),Sell to Close,-9.0,$118.74,5/19/05,$9.96,$65.04,0.0,
17,FReversalSwing(BUY),Buy to Open,3.0,$121.20,8/25/05,,$66.09,3.0,
18,FReversalSwing(BUY),Buy to Open,3.0,$120.70,8/29/05,,$69.54,6.0,
19,FReversalSwing(SELL),Sell to Close,-6.0,$123.65,9/7/05,$16.20,$81.24,0.0,
20,FReversalSwing(BUY),Buy to Open,3.0,$127.05,5/18/06,,$79.29,3.0,
21,FReversalSwing(BUY),Buy to Open,3.0,$126.40,5/19/06,,$84.63,6.0,
22,FReversalSwing(BUY),Buy to Open,3.0,$127.29,5/22/06,,$76.17,9.0,
23,FReversalSwing(SELL),Sell to Close,-9.0,$123.05,6/14/06,($34.81),$46.43,0.0,
24,FReversalSwing(BUY),Buy to Open,2.0,$139.81,2/28/07,,$49.41,2.0,
25,FReversalSwing(BUY),Buy to Open,2.0,$141.30,3/1/07,,$47.41,4.0,
26,FReversalSwing(BUY),Buy to Open,2.0,$140.80,3/2/07,,$37.03,6.0,
27,FReversalSwing(SELL),Sell to Close,-6.0,$144.12,3/22/07,$20.90,$67.33,0.0,
28,FReversalSwing(BUY),Buy to Open,2.0,$148.43,7/27/07,,$61.33,2.0,
29,FReversalSwing(BUY),Buy to Open,2.0,$145.43,7/30/07,,$70.25,4.0,
30,FReversalSwing(BUY),Buy to Open,2.0,$147.66,7/31/07,,$58.79,6.0,
31,FReversalSwing(SELL),Sell to Close,-6.0,$137.71,8/17/07,($56.79),$10.54,0.0,
32,FReversalSwing(BUY),Buy to Open,2.0,$150.25,10/22/07,,$11.64,2.0,
33,FReversalSwing(SELL),Sell to Close,-2.0,$154.40,10/30/07,$8.30,$18.84,0.0,
34,FReversalSwing(BUY),Buy to Open,3.0,$109.61,1/25/10,,$20.49,3.0,
35,FReversalSwing(BUY),Buy to Open,3.0,$110.16,1/26/10,,$17.37,6.0,
36,FReversalSwing(BUY),Buy to Open,3.0,$109.64,1/27/10,,$22.41,9.0,
37,FReversalSwing(SELL),Sell to Close,-9.0,$111.29,2/19/10,$13.38,$32.22,0.0,
38,FReversalSwing(BUY),Buy to Open,3.0,$111.46,5/10/10,,$47.37,3.0,
39,FReversalSwing(BUY),Buy to Open,3.0,$112.80,5/19/10,,$32.28,6.0,
40,FReversalSwing(BUY),Buy to Open,3.0,$112.14,5/20/10,,($5.61),9.0,
41,FReversalSwing(SELL),Sell to Close,-9.0,$110.08,7/14/10,($18.48),$13.74,0.0,
42,FReversalSwing(BUY),Buy to Open,3.0,$126.67,3/17/11,,$18.54,3.0,
43,FReversalSwing(SELL),Sell to Close,-3.0,$133.20,3/31/11,$19.59,$33.33,0.0,
44,FReversalSwing(BUY),Buy to Open,3.0,$130.88,6/6/11,,$29.19,3.0,
45,FReversalSwing(BUY),Buy to Open,3.0,$129.50,6/7/11,,$28.47,6.0,
