Symbol: IWR Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,51.0,$19.58,2/4/05,,$12.50,51.0,
2,keepbusy_cross(SELL),Sell to Close,-51.0,$19.65,3/24/05,$3.79,$3.79,0.0,
3,keepbusy_cross(Buy),Buy to Open,41.0,$24.03,4/21/06,,$0.31,41.0,
4,keepbusy_cross(SELL),Sell to Close,-41.0,$23.55,5/15/06,($19.40),($15.61),0.0,
5,keepbusy_cross(Buy),Buy to Open,36.0,$27.06,8/10/12,,($15.25),36.0,
6,keepbusy_cross(SELL),Sell to Close,-36.0,$27.54,10/23/12,$17.26,$1.65,0.0,
7,keepbusy_cross(Buy),Buy to Open,27.0,$35.77,10/18/13,,$7.52,27.0,
8,keepbusy_cross(SELL),Sell to Close,-27.0,$36.74,1/27/14,$26.36,$28.01,0.0,
9,keepbusy_cross(Buy),Buy to Open,14.0,$70.51,6/9/23,,$24.93,14.0,
10,keepbusy_cross(SELL),Sell to Close,-14.0,$72.46,8/17/23,$27.36,$55.37,0.0,
