Symbol: IYY Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,39.0,$25.29,12/1/03,,$9.36,39.0,
2,keepbusy_cross(SELL),Sell to Close,-39.0,$26.84,3/11/04,$60.63,$60.63,0.0,
3,keepbusy_cross(Buy),Buy to Open,37.0,$26.83,10/29/04,,$64.89,37.0,
4,keepbusy_cross(SELL),Sell to Close,-37.0,$28.06,1/13/05,$45.60,$106.23,0.0,
5,keepbusy_cross(Buy),Buy to Open,35.0,$27.81,9/13/10,,$117.61,35.0,
6,keepbusy_cross(SELL),Sell to Close,-35.0,$32.62,3/14/11,$168.52,$274.76,0.0,
7,keepbusy_cross(Buy),Buy to Open,22.0,$43.92,10/18/13,,$281.14,22.0,
8,keepbusy_cross(SELL),Sell to Close,-22.0,$45.65,1/27/14,$38.25,$313.01,0.0,
9,keepbusy_cross(Buy),Buy to Open,20.0,$48.65,6/2/14,,$313.55,20.0,
10,keepbusy_cross(SELL),Sell to Close,-20.0,$49.06,8/1/14,$8.20,$321.22,0.0,
11,keepbusy_cross(Buy),Buy to Open,18.0,$53.02,3/20/15,,$329.23,18.0,
12,keepbusy_cross(SELL),Sell to Close,-18.0,$52.07,3/26/15,($17.02),$304.20,0.0,
13,keepbusy_cross(Buy),Buy to Open,14.0,$69.63,6/8/18,,$307.35,14.0,
14,keepbusy_cross(SELL),Sell to Close,-14.0,$67.68,6/28/18,($27.16),$277.03,0.0,
