Symbol: KEP Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,103.0,$9.70,11/16/01,,($10.30),103.0,
2,keepbusy_cross(SELL),Sell to Close,-103.0,$9.20,12/18/01,($51.50),($51.50),0.0,
3,keepbusy_cross(Buy),Buy to Open,102.0,$9.77,3/8/02,,($43.34),102.0,
4,keepbusy_cross(SELL),Sell to Close,-102.0,$10.75,6/20/02,$99.96,$48.46,0.0,
5,keepbusy_cross(Buy),Buy to Open,41.0,$24.23,5/5/06,,$55.84,41.0,
6,keepbusy_cross(SELL),Sell to Close,-41.0,$22.66,5/15/06,($64.27),($15.81),0.0,
7,keepbusy_cross(Buy),Buy to Open,74.0,$13.42,12/27/10,,($24.69),74.0,
8,keepbusy_cross(SELL),Sell to Close,-74.0,$13.09,1/6/11,($24.76),($40.57),0.0,
9,keepbusy_cross(Buy),Buy to Open,49.0,$20.40,3/27/15,,($50.37),49.0,
10,keepbusy_cross(SELL),Sell to Close,-49.0,$19.99,4/9/15,($20.22),($60.79),0.0,
11,keepbusy_cross(Buy),Buy to Open,106.0,$9.36,5/27/22,,($45.95),106.0,
12,keepbusy_cross(SELL),Sell to Close,-106.0,$9.12,6/7/22,($25.14),($85.93),0.0,
