Symbol: KO Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,FReversalSwing(BUY),Buy to Open,180.0,$2.21,9/8/86,,$15.47,180.0,
2,FReversalSwing(BUY),Buy to Open,184.0,$2.17,9/12/86,,($18.41),364.0,
3,FReversalSwing(SELL),Sell to Close,-364.0,$2.33,10/16/86,$49.84,$49.84,0.0,
4,FReversalSwing(BUY),Buy to Open,150.0,$2.66,4/15/87,,$65.08,150.0,
5,FReversalSwing(BUY),Buy to Open,152.0,$2.63,4/27/87,,$48.70,302.0,
6,FReversalSwing(BUY),Buy to Open,151.0,$2.64,4/28/87,,$34.55,453.0,
7,FReversalSwing(SELL),Sell to Close,-453.0,$2.68,6/1/87,$16.56,$66.40,0.0,
8,FReversalSwing(BUY),Buy to Open,134.0,$2.97,9/17/87,,$69.54,134.0,
9,FReversalSwing(BUY),Buy to Open,133.0,$2.99,9/18/87,,$73.71,267.0,
10,FReversalSwing(BUY),Buy to Open,134.0,$2.97,9/22/87,,$110.27,401.0,
11,FReversalSwing(SELL),Sell to Close,-401.0,$2.58,10/19/87,($159.05),($92.65),0.0,
12,FReversalSwing(BUY),Buy to Open,94.0,$4.22,1/29/90,,($88.25),94.0,
13,FReversalSwing(BUY),Buy to Open,93.0,$4.27,1/30/90,,($111.62),187.0,
14,FReversalSwing(BUY),Buy to Open,96.0,$4.14,1/31/90,,($65.19),283.0,
15,FReversalSwing(SELL),Sell to Close,-283.0,$4.42,3/2/90,$60.63,($32.03),0.0,
16,FReversalSwing(BUY),Buy to Open,77.0,$5.19,8/7/90,,($23.61),77.0,
17,FReversalSwing(BUY),Buy to Open,75.0,$5.30,8/8/90,,$7.27,152.0,
18,FReversalSwing(BUY),Buy to Open,76.0,$5.25,8/20/90,,($23.61),228.0,
19,FReversalSwing(SELL),Sell to Close,-228.0,$5.28,10/8/90,$8.42,($23.61),0.0,
20,FReversalSwing(BUY),Buy to Open,70.0,$5.66,1/3/91,,($34.54),70.0,
21,FReversalSwing(BUY),Buy to Open,72.0,$5.50,1/4/91,,($14.57),142.0,
22,FReversalSwing(BUY),Buy to Open,72.0,$5.55,1/8/91,,($37.92),214.0,
23,FReversalSwing(SELL),Sell to Close,-214.0,$5.97,1/18/91,$86.00,$62.39,0.0,
24,FReversalSwing(BUY),Buy to Open,62.0,$6.42,4/30/91,,$73.05,62.0,
25,FReversalSwing(SELL),Sell to Close,-62.0,$6.89,5/6/91,$29.06,$91.46,0.0,
26,FReversalSwing(BUY),Buy to Open,40.0,$9.84,6/18/92,,$93.96,40.0,
27,FReversalSwing(BUY),Buy to Open,40.0,$9.91,6/19/92,,$108.96,80.0,
28,FReversalSwing(BUY),Buy to Open,39.0,$10.09,6/22/92,,$105.24,119.0,
29,FReversalSwing(SELL),Sell to Close,-119.0,$10.63,7/7/92,$80.72,$172.18,0.0,
30,FReversalSwing(BUY),Buy to Open,37.0,$10.56,9/23/92,,$158.30,37.0,
31,FReversalSwing(BUY),Buy to Open,38.0,$10.34,9/25/92,,$159.39,75.0,
32,FReversalSwing(BUY),Buy to Open,38.0,$10.31,9/29/92,,$147.61,113.0,
33,FReversalSwing(SELL),Sell to Close,-113.0,$10.28,10/20/92,($13.97),$158.21,0.0,
34,FReversalSwing(BUY),Buy to Open,38.0,$10.50,10/4/93,,$159.39,38.0,
35,FReversalSwing(SELL),Sell to Close,-38.0,$10.44,10/5/93,($2.36),$155.85,0.0,
36,FReversalSwing(BUY),Buy to Open,32.0,$12.47,12/13/94,,$157.85,32.0,
37,FReversalSwing(SELL),Sell to Close,-32.0,$12.91,12/19/94,$14.00,$169.85,0.0,
38,FReversalSwing(BUY),Buy to Open,32.0,$12.41,1/10/95,,$165.85,32.0,
39,FReversalSwing(BUY),Buy to Open,32.0,$12.28,1/11/95,,$167.85,64.0,
40,FReversalSwing(BUY),Buy to Open,32.0,$12.31,1/12/95,,$179.85,96.0,
41,FReversalSwing(SELL),Sell to Close,-96.0,$12.94,1/27/95,$58.00,$227.85,0.0,
42,FReversalSwing(BUY),Buy to Open,25.0,$15.72,8/24/95,,$233.31,25.0,
43,FReversalSwing(SELL),Sell to Close,-25.0,$16.47,9/14/95,$18.75,$246.60,0.0,
44,FReversalSwing(BUY),Buy to Open,20.0,$19.72,4/11/96,,$251.60,20.0,
45,FReversalSwing(BUY),Buy to Open,20.0,$19.88,4/19/96,,$242.22,40.0,
46,FReversalSwing(BUY),Buy to Open,20.0,$19.69,4/22/96,,$270.35,60.0,
47,FReversalSwing(SELL),Sell to Close,-60.0,$20.69,5/9/96,$55.63,$302.22,0.0,
48,FReversalSwing(BUY),Buy to Open,16.0,$24.25,10/17/96,,$308.22,16.0,
49,FReversalSwing(SELL),Sell to Close,-16.0,$25.38,11/5/96,$18.00,$320.22,0.0,
50,FReversalSwing(BUY),Buy to Open,16.0,$24.88,12/4/96,,$319.22,16.0,
51,FReversalSwing(BUY),Buy to Open,16.0,$24.81,12/5/96,,$313.22,32.0,
52,FReversalSwing(BUY),Buy to Open,16.0,$24.63,12/6/96,,$307.22,48.0,
53,FReversalSwing(SELL),Sell to Close,-48.0,$25.56,12/20/96,$38.00,$358.22,0.0,
54,FReversalSwing(BUY),Buy to Open,14.0,$27.88,4/1/97,,$360.85,14.0,
55,FReversalSwing(BUY),Buy to Open,14.0,$28.06,4/2/97,,$355.60,28.0,
56,FReversalSwing(BUY),Buy to Open,14.0,$27.88,4/3/97,,$347.72,42.0,
