Symbol: KRG Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,16.0,$62.32,3/31/06,,$23.68,16.0,
2,keepbusy_cross(SELL),Sell to Close,-16.0,$61.25,4/5/06,($17.05),($17.05),0.0,
3,keepbusy_cross(Buy),Buy to Open,16.0,$61.40,7/10/06,,($0.41),16.0,
4,keepbusy_cross(SELL),Sell to Close,-16.0,$60.40,7/17/06,($16.03),($33.08),0.0,
5,keepbusy_cross(Buy),Buy to Open,60.0,$16.60,2/22/10,,($64.28),60.0,
6,keepbusy_cross(SELL),Sell to Close,-60.0,$19.20,5/7/10,$155.88,$122.80,0.0,
7,keepbusy_cross(Buy),Buy to Open,52.0,$19.04,10/15/10,,$122.80,52.0,
8,keepbusy_cross(SELL),Sell to Close,-52.0,$20.70,1/11/11,$86.18,$208.98,0.0,
9,keepbusy_cross(Buy),Buy to Open,45.0,$21.85,11/12/21,,$216.63,45.0,
10,keepbusy_cross(SELL),Sell to Close,-45.0,$20.78,11/29/21,($48.24),$160.74,0.0,
11,keepbusy_cross(Buy),Buy to Open,45.0,$21.91,12/8/23,,$164.79,45.0,
12,keepbusy_cross(SELL),Sell to Close,-45.0,$21.79,12/11/23,($5.60),$155.14,0.0,
13,keepbusy_cross(Buy),Buy to Open,36.0,$27.12,11/8/24,,$167.02,36.0,
