Symbol: KR Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,423.0,$2.36,11/15/91,,($52.88),423.0,
2,keepbusy_cross(SELL),Sell to Close,-423.0,$2.30,11/18/91,($24.72),($24.72),0.0,
3,keepbusy_cross(Buy),Buy to Open,390.0,$2.56,1/14/94,,($24.72),390.0,
4,keepbusy_cross(SELL),Sell to Close,-390.0,$2.90,4/5/94,$133.25,$108.53,0.0,
5,keepbusy_cross(Buy),Buy to Open,303.0,$3.30,9/30/94,,$118.00,303.0,
6,keepbusy_cross(SELL),Sell to Close,-303.0,$3.16,10/21/94,($40.79),$67.74,0.0,
7,keepbusy_cross(Buy),Buy to Open,202.0,$4.94,3/22/96,,$58.27,202.0,
8,keepbusy_cross(SELL),Sell to Close,-202.0,$4.86,5/6/96,($16.57),$51.17,0.0,
9,keepbusy_cross(Buy),Buy to Open,109.0,$9.14,1/5/98,,$13.70,109.0,
10,keepbusy_cross(SELL),Sell to Close,-109.0,$8.55,1/12/98,($64.89),($13.72),0.0,
11,keepbusy_cross(Buy),Buy to Open,113.0,$8.84,1/16/98,,$5.70,113.0,
12,keepbusy_cross(SELL),Sell to Close,-113.0,$10.84,4/22/98,$225.26,$211.54,0.0,
13,keepbusy_cross(Buy),Buy to Open,81.0,$12.33,10/2/98,,$281.15,81.0,
14,keepbusy_cross(SELL),Sell to Close,-81.0,$12.19,10/6/98,($11.03),$200.51,0.0,
15,keepbusy_cross(Buy),Buy to Open,74.0,$13.41,10/30/98,,$235.20,74.0,
16,keepbusy_cross(SELL),Sell to Close,-74.0,$13.18,12/16/98,($16.73),$183.78,0.0,
17,keepbusy_cross(Buy),Buy to Open,65.0,$15.36,1/29/99,,$217.30,65.0,
18,keepbusy_cross(SELL),Sell to Close,-65.0,$15.40,3/25/99,$2.81,$186.59,0.0,
19,keepbusy_cross(Buy),Buy to Open,118.0,$8.43,5/20/05,,$200.75,118.0,
20,keepbusy_cross(SELL),Sell to Close,-118.0,$8.28,6/3/05,($18.25),$168.34,0.0,
21,keepbusy_cross(Buy),Buy to Open,37.0,$26.63,10/10/14,,$180.55,37.0,
22,keepbusy_cross(SELL),Sell to Close,-37.0,$25.63,10/16/14,($36.94),$131.41,0.0,
23,keepbusy_cross(Buy),Buy to Open,25.0,$39.91,12/4/15,,$147.41,25.0,
24,keepbusy_cross(SELL),Sell to Close,-25.0,$39.34,1/14/16,($14.21),$117.19,0.0,
25,keepbusy_cross(Buy),Buy to Open,22.0,$43.68,12/10/21,,$137.43,22.0,
26,keepbusy_cross(SELL),Sell to Close,-22.0,$44.42,1/27/22,$16.20,$133.39,0.0,
27,keepbusy_cross(Buy),Buy to Open,18.0,$55.10,3/4/22,,$202.51,18.0,
28,keepbusy_cross(SELL),Sell to Close,-18.0,$53.60,5/3/22,($26.96),$106.43,0.0,
29,keepbusy_cross(Buy),Buy to Open,20.0,$48.10,7/28/23,,$114.83,20.0,
30,keepbusy_cross(SELL),Sell to Close,-20.0,$47.90,8/16/23,($4.01),$102.42,0.0,
31,keepbusy_cross(Buy),Buy to Open,18.0,$54.83,9/20/24,,$112.50,18.0,
