Symbol: LLY Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,FReversalSwing(BUY),Buy to Open,47.0,$8.39,9/12/86,,($14.69),47.0,
2,FReversalSwing(BUY),Buy to Open,46.0,$8.56,9/23/86,,$15.34,93.0,
3,FReversalSwing(SELL),Sell to Close,-93.0,$8.88,10/28/86,$37.14,$37.14,0.0,
4,FReversalSwing(BUY),Buy to Open,36.0,$10.97,4/28/87,,$36.02,36.0,
5,FReversalSwing(BUY),Buy to Open,36.0,$10.94,4/29/87,,$49.52,72.0,
6,FReversalSwing(SELL),Sell to Close,-72.0,$12.17,5/6/87,$87.75,$124.89,0.0,
7,FReversalSwing(BUY),Buy to Open,36.0,$10.83,5/12/87,,$130.52,36.0,
8,FReversalSwing(BUY),Buy to Open,37.0,$10.69,5/19/87,,$100.44,73.0,
9,FReversalSwing(BUY),Buy to Open,38.0,$10.42,5/20/87,,$96.97,111.0,
10,FReversalSwing(SELL),Sell to Close,-111.0,$11.55,6/4/87,$100.42,$225.31,0.0,
11,FReversalSwing(BUY),Buy to Open,34.0,$11.67,9/8/87,,$224.25,34.0,
12,FReversalSwing(BUY),Buy to Open,34.0,$11.64,9/9/87,,$215.75,68.0,
13,FReversalSwing(BUY),Buy to Open,34.0,$11.52,9/10/87,,$242.84,102.0,
14,FReversalSwing(SELL),Sell to Close,-102.0,$13.03,9/14/87,$145.03,$370.34,0.0,
15,FReversalSwing(BUY),Buy to Open,37.0,$10.75,11/10/88,,$372.08,37.0,
16,FReversalSwing(BUY),Buy to Open,37.0,$10.80,11/11/88,,$361.67,74.0,
17,FReversalSwing(BUY),Buy to Open,37.0,$10.66,11/14/88,,$366.88,111.0,
18,FReversalSwing(SELL),Sell to Close,-111.0,$11.25,12/7/88,$57.23,$427.58,0.0,
19,FReversalSwing(BUY),Buy to Open,37.0,$10.69,1/3/89,,$428.16,37.0,
20,FReversalSwing(BUY),Buy to Open,37.0,$10.70,1/4/89,,$438.56,74.0,
21,FReversalSwing(SELL),Sell to Close,-74.0,$11.02,1/17/89,$23.70,$451.28,0.0,
22,FReversalSwing(BUY),Buy to Open,27.0,$14.66,9/15/89,,$460.56,27.0,
23,FReversalSwing(SELL),Sell to Close,-27.0,$15.41,9/25/89,$20.25,$471.53,0.0,
24,FReversalSwing(BUY),Buy to Open,26.0,$14.94,10/16/89,,$488.59,26.0,
25,FReversalSwing(SELL),Sell to Close,-26.0,$16.06,10/20/89,$29.25,$500.78,0.0,
26,FReversalSwing(BUY),Buy to Open,24.0,$16.25,1/15/90,,$496.28,24.0,
27,FReversalSwing(BUY),Buy to Open,24.0,$16.06,1/16/90,,$511.28,48.0,
28,FReversalSwing(BUY),Buy to Open,24.0,$16.06,1/23/90,,$494.03,72.0,
29,FReversalSwing(SELL),Sell to Close,-72.0,$15.81,3/9/90,($22.50),$478.28,0.0,
30,FReversalSwing(BUY),Buy to Open,21.0,$18.94,8/8/90,,$492.06,21.0,
31,FReversalSwing(BUY),Buy to Open,21.0,$18.81,8/13/90,,$482.22,42.0,
32,FReversalSwing(BUY),Buy to Open,21.0,$18.97,8/14/90,,$474.34,63.0,
33,FReversalSwing(SELL),Sell to Close,-63.0,$19.09,10/9/90,$11.81,$490.09,0.0,
34,FReversalSwing(BUY),Buy to Open,20.0,$19.09,3/20/91,,$497.59,20.0,
35,FReversalSwing(SELL),Sell to Close,-20.0,$20.44,4/3/91,$26.88,$516.97,0.0,
36,FReversalSwing(BUY),Buy to Open,20.0,$19.19,4/30/91,,$516.97,20.0,
37,FReversalSwing(BUY),Buy to Open,20.0,$19.19,5/1/91,,$535.72,40.0,
38,FReversalSwing(BUY),Buy to Open,21.0,$19.03,5/8/91,,$514.53,61.0,
39,FReversalSwing(SELL),Sell to Close,-61.0,$20.00,5/23/91,$52.84,$569.81,0.0,
40,FReversalSwing(BUY),Buy to Open,20.0,$19.53,10/8/91,,$567.94,20.0,
41,FReversalSwing(SELL),Sell to Close,-20.0,$18.75,10/21/91,($15.63),$554.19,0.0,
42,FReversalSwing(BUY),Buy to Open,20.0,$19.75,1/22/92,,$566.06,20.0,
43,FReversalSwing(BUY),Buy to Open,20.0,$19.66,1/30/92,,$566.06,40.0,
44,FReversalSwing(BUY),Buy to Open,20.0,$19.53,2/4/92,,$556.69,60.0,
45,FReversalSwing(SELL),Sell to Close,-60.0,$19.23,2/13/92,($24.87),$529.31,0.0,
46,FReversalSwing(BUY),Buy to Open,27.0,$14.44,2/10/94,,$525.94,27.0,
47,FReversalSwing(BUY),Buy to Open,27.0,$14.31,2/11/94,,$519.19,54.0,
48,FReversalSwing(BUY),Buy to Open,28.0,$14.19,2/14/94,,$524.31,82.0,
49,FReversalSwing(SELL),Sell to Close,-82.0,$13.97,2/22/94,($28.17),$501.14,0.0,
50,FReversalSwing(BUY),Buy to Open,27.0,$14.66,11/25/94,,$505.36,27.0,
51,FReversalSwing(BUY),Buy to Open,27.0,$14.81,11/28/94,,$517.17,54.0,
52,FReversalSwing(SELL),Sell to Close,-54.0,$15.66,12/1/94,$49.78,$550.92,0.0,
53,FReversalSwing(BUY),Buy to Open,22.0,$17.72,5/15/95,,$544.73,22.0,
54,FReversalSwing(BUY),Buy to Open,22.0,$17.44,5/16/95,,$548.86,44.0,
55,FReversalSwing(BUY),Buy to Open,22.0,$17.53,5/17/95,,$571.55,66.0,
56,FReversalSwing(SELL),Sell to Close,-66.0,$18.66,6/1/95,$72.19,$623.11,0.0,
57,FReversalSwing(BUY),Buy to Open,14.0,$28.50,7/17/96,,$616.11,14.0,
58,FReversalSwing(BUY),Buy to Open,13.0,$29.19,7/19/96,,$619.23,27.0,
59,FReversalSwing(BUY),Buy to Open,13.0,$28.69,7/22/96,,$634.23,40.0,
60,FReversalSwing(SELL),Sell to Close,-40.0,$29.88,8/23/96,$43.63,$666.73,0.0,
61,FReversalSwing(BUY),Buy to Open,10.0,$39.94,4/10/97,,$664.86,10.0,
62,FReversalSwing(BUY),Buy to Open,10.0,$39.75,4/11/97,,$651.11,20.0,
63,FReversalSwing(BUY),Buy to Open,10.0,$39.06,4/14/97,,$690.48,30.0,
64,FReversalSwing(SELL),Sell to Close,-30.0,$43.81,4/30/97,$126.88,$793.61,0.0,
65,FReversalSwing(BUY),Buy to Open,6.0,$60.00,2/19/98,,$796.23,6.0,
66,FReversalSwing(SELL),Sell to Close,-6.0,$67.44,3/17/98,$44.63,$838.23,0.0,
67,FReversalSwing(BUY),Buy to Open,5.0,$70.56,10/9/98,,$852.30,5.0,
68,FReversalSwing(SELL),Sell to Close,-5.0,$78.00,10/22/98,$37.19,$875.42,0.0,
69,FReversalSwing(BUY),Buy to Open,4.0,$82.38,1/8/99,,$861.42,4.0,
70,FReversalSwing(BUY),Buy to Open,5.0,$78.88,1/11/99,,$837.23,9.0,
71,FReversalSwing(BUY),Buy to Open,5.0,$76.19,1/12/99,,$841.61,14.0,
72,FReversalSwing(SELL),Sell to Close,-14.0,$86.25,1/26/99,$102.69,$978.11,0.0,
73,FReversalSwing(BUY),Buy to Open,4.0,$85.06,3/23/99,,$974.61,4.0,
74,FReversalSwing(BUY),Buy to Open,4.0,$84.19,3/24/99,,$986.61,8.0,
75,FReversalSwing(BUY),Buy to Open,4.0,$85.69,3/25/99,,$996.36,12.0,
76,FReversalSwing(SELL),Sell to Close,-12.0,$73.10,4/20/99,($142.52),$835.59,0.0,
77,FReversalSwing(BUY),Buy to Open,5.0,$77.00,8/14/00,,$839.34,5.0,
78,FReversalSwing(BUY),Buy to Open,5.0,$77.75,8/15/00,,$831.84,10.0,
79,FReversalSwing(BUY),Buy to Open,5.0,$77.00,8/16/00,,$835.59,15.0,
80,FReversalSwing(SELL),Sell to Close,-15.0,$75.28,8/28/00,($29.53),$806.07,0.0,
81,FReversalSwing(BUY),Buy to Open,5.0,$68.10,1/9/04,,$803.47,5.0,
82,FReversalSwing(BUY),Buy to Open,5.0,$67.58,1/12/04,,$815.97,10.0,
83,FReversalSwing(SELL),Sell to Close,-10.0,$70.95,1/23/04,$31.10,$837.17,0.0,
84,FReversalSwing(BUY),Buy to Open,5.0,$66.92,1/29/04,,$844.57,5.0,
85,FReversalSwing(SELL),Sell to Close,-5.0,$70.50,2/5/04,$17.90,$855.07,0.0,
86,FReversalSwing(BUY),Buy to Open,5.0,$70.49,3/11/04,,$848.47,5.0,
87,FReversalSwing(BUY),Buy to Open,5.0,$69.17,3/12/04,,$866.07,10.0,
88,FReversalSwing(BUY),Buy to Open,5.0,$68.63,3/22/04,,$833.02,15.0,
89,FReversalSwing(SELL),Sell to Close,-15.0,$70.41,4/15/04,$14.70,$869.77,0.0,
90,FReversalSwing(BUY),Buy to Open,5.0,$70.77,5/25/04,,$876.27,5.0,
91,FReversalSwing(SELL),Sell to Close,-5.0,$73.96,5/28/04,$15.95,$885.72,0.0,
92,FReversalSwing(BUY),Buy to Open,5.0,$71.40,6/28/04,,$887.22,5.0,
93,FReversalSwing(BUY),Buy to Open,5.0,$70.25,6/30/04,,$876.57,10.0,
94,FReversalSwing(BUY),Buy to Open,5.0,$69.91,7/1/04,,$861.87,15.0,
95,FReversalSwing(SELL),Sell to Close,-15.0,$66.13,7/19/04,($65.79),$819.93,0.0,
96,FReversalSwing(BUY),Buy to Open,7.0,$56.01,11/1/06,,$819.79,7.0,
97,FReversalSwing(BUY),Buy to Open,7.0,$55.99,11/2/06,,$825.11,14.0,
98,FReversalSwing(SELL),Sell to Close,-14.0,$55.22,11/10/06,($10.88),$809.05,0.0,
99,FReversalSwing(BUY),Buy to Open,7.0,$56.93,6/8/07,,$809.68,7.0,
100,FReversalSwing(BUY),Buy to Open,7.0,$57.02,6/11/07,,$813.74,14.0,
101,FReversalSwing(BUY),Buy to Open,6.0,$57.31,6/12/07,,$803.14,20.0,
102,FReversalSwing(SELL),Sell to Close,-20.0,$55.29,7/12/07,($35.71),$773.34,0.0,
103,FReversalSwing(BUY),Buy to Open,11.0,$35.38,4/23/10,,$774.22,11.0,
104,FReversalSwing(BUY),Buy to Open,11.0,$35.46,4/26/10,,$771.14,22.0,
105,FReversalSwing(BUY),Buy to Open,11.0,$35.32,4/27/10,,$756.29,33.0,
106,FReversalSwing(SELL),Sell to Close,-33.0,$34.76,4/29/10,($20.61),$752.73,0.0,
107,FReversalSwing(BUY),Buy to Open,11.0,$35.04,4/30/10,,$751.96,11.0,
108,FReversalSwing(BUY),Buy to Open,11.0,$34.97,5/3/10,,$756.80,22.0,
109,FReversalSwing(BUY),Buy to Open,11.0,$35.01,5/5/10,,$755.15,33.0,
110,FReversalSwing(SELL),Sell to Close,-33.0,$34.62,5/7/10,($12.85),$739.88,0.0,
111,FReversalSwing(BUY),Buy to Open,11.0,$35.50,10/22/10,,$738.78,11.0,
112,FReversalSwing(BUY),Buy to Open,11.0,$35.40,10/25/10,,$732.84,22.0,
113,FReversalSwing(SELL),Sell to Close,-22.0,$34.72,10/28/10,($16.06),$723.82,0.0,
114,FReversalSwing(BUY),Buy to Open,10.0,$36.76,6/27/11,,$724.52,10.0,
115,FReversalSwing(SELL),Sell to Close,-10.0,$37.85,7/8/11,$10.90,$734.72,0.0,
116,FReversalSwing(BUY),Buy to Open,10.0,$38.85,2/14/12,,$731.12,10.0,
117,FReversalSwing(BUY),Buy to Open,10.0,$38.49,2/15/12,,$732.72,20.0,
118,FReversalSwing(BUY),Buy to Open,10.0,$38.57,2/16/12,,$737.22,30.0,
119,FReversalSwing(SELL),Sell to Close,-30.0,$39.80,3/13/12,$34.90,$769.62,0.0,
120,FReversalSwing(BUY),Buy to Open,10.0,$39.18,4/16/12,,$773.82,10.0,
121,FReversalSwing(SELL),Sell to Close,-10.0,$40.80,4/26/12,$16.20,$785.82,0.0,
122,FReversalSwing(BUY),Buy to Open,8.0,$47.47,11/9/12,,$785.82,8.0,
123,FReversalSwing(BUY),Buy to Open,8.0,$47.47,11/12/12,,$799.10,16.0,
124,FReversalSwing(BUY),Buy to Open,8.0,$47.14,11/14/12,,$758.46,24.0,
125,FReversalSwing(SELL),Sell to Close,-24.0,$49.04,12/3/12,$40.32,$826.14,0.0,
126,FReversalSwing(BUY),Buy to Open,7.0,$54.24,5/2/13,,$829.36,7.0,
127,FReversalSwing(BUY),Buy to Open,7.0,$54.47,5/7/13,,$823.55,14.0,
128,FReversalSwing(BUY),Buy to Open,7.0,$54.17,5/8/13,,$830.90,21.0,
129,FReversalSwing(SELL),Sell to Close,-21.0,$56.72,5/16/13,$50.96,$877.10,0.0,
130,FReversalSwing(BUY),Buy to Open,7.0,$54.14,5/28/13,,$879.90,7.0,
131,FReversalSwing(BUY),Buy to Open,7.0,$53.75,5/30/13,,$878.99,14.0,
132,FReversalSwing(BUY),Buy to Open,7.0,$53.16,6/3/13,,$865.69,21.0,
133,FReversalSwing(SELL),Sell to Close,-21.0,$52.55,7/25/13,($23.80),$853.30,0.0,
134,FReversalSwing(BUY),Buy to Open,6.0,$61.06,8/1/14,,$851.02,6.0,
135,FReversalSwing(BUY),Buy to Open,6.0,$60.68,8/4/14,,$862.42,12.0,
136,FReversalSwing(BUY),Buy to Open,6.0,$60.87,8/6/14,,$857.62,18.0,
137,FReversalSwing(SELL),Sell to Close,-18.0,$62.73,8/26/14,$33.48,$886.78,0.0,
138,FReversalSwing(BUY),Buy to Open,6.0,$63.28,10/14/14,,$885.94,6.0,
139,FReversalSwing(BUY),Buy to Open,6.0,$63.14,10/15/14,,$882.70,12.0,
140,FReversalSwing(BUY),Buy to Open,6.0,$62.87,10/16/14,,$865.24,18.0,
141,FReversalSwing(SELL),Sell to Close,-18.0,$66.05,10/27/14,$53.16,$939.94,0.0,
142,FReversalSwing(BUY),Buy to Open,5.0,$68.41,3/9/15,,$945.79,5.0,
143,FReversalSwing(BUY),Buy to Open,5.0,$68.46,3/12/15,,$951.19,10.0,
144,FReversalSwing(SELL),Sell to Close,-10.0,$73.54,3/19/15,$51.05,$990.99,0.0,
145,FReversalSwing(BUY),Buy to Open,5.0,$70.89,4/28/15,,$992.44,5.0,
146,FReversalSwing(SELL),Sell to Close,-5.0,$73.12,5/4/15,$11.15,$1002.14,0.0,
147,FReversalSwing(BUY),Buy to Open,4.0,$82.27,8/10/15,,$1007.10,4.0,
148,FReversalSwing(SELL),Sell to Close,-4.0,$87.33,8/21/15,$20.24,$1022.38,0.0,
149,FReversalSwing(BUY),Buy to Open,4.0,$80.73,8/25/15,,$1012.50,4.0,
150,FReversalSwing(BUY),Buy to Open,5.0,$78.26,8/26/15,,$1038.06,9.0,
151,FReversalSwing(SELL),Sell to Close,-9.0,$84.45,9/17/15,$45.83,$1068.21,0.0,
152,FReversalSwing(BUY),Buy to Open,5.0,$79.74,9/29/15,,$1070.91,5.0,
153,FReversalSwing(SELL),Sell to Close,-5.0,$87.52,10/5/15,$38.90,$1107.11,0.0,
154,FReversalSwing(BUY),Buy to Open,4.0,$81.41,1/8/16,,$1106.47,4.0,
155,FReversalSwing(BUY),Buy to Open,4.0,$81.25,1/11/16,,$1098.63,8.0,
156,FReversalSwing(SELL),Sell to Close,-8.0,$74.71,2/4/16,($52.98),$1054.13,0.0,
157,FReversalSwing(BUY),Buy to Open,5.0,$79.06,8/22/16,,$1055.28,5.0,
158,FReversalSwing(SELL),Sell to Close,-5.0,$78.25,8/25/16,($4.05),$1050.08,0.0,
159,FReversalSwing(BUY),Buy to Open,4.0,$82.38,4/18/17,,$1045.36,4.0,
160,FReversalSwing(BUY),Buy to Open,4.0,$81.20,4/19/17,,$1042.88,8.0,
161,FReversalSwing(BUY),Buy to Open,4.0,$80.89,4/20/17,,$1055.48,12.0,
162,FReversalSwing(SELL),Sell to Close,-12.0,$78.32,5/18/17,($38.04),$1012.04,0.0,
163,FReversalSwing(BUY),Buy to Open,4.0,$81.15,8/14/17,,$1013.40,4.0,
164,FReversalSwing(BUY),Buy to Open,4.0,$80.69,8/17/17,,$987.08,8.0,
165,FReversalSwing(SELL),Sell to Close,-8.0,$78.15,8/18/17,($22.13),$989.90,0.0,
166,FReversalSwing(BUY),Buy to Open,4.0,$82.65,10/31/17,,$987.06,4.0,
167,FReversalSwing(BUY),Buy to Open,4.0,$82.89,11/2/17,,$992.78,8.0,
168,FReversalSwing(BUY),Buy to Open,4.0,$82.49,11/15/17,,$984.06,12.0,
169,FReversalSwing(SELL),Sell to Close,-12.0,$84.81,11/28/17,$25.60,$1015.50,0.0,
170,FReversalSwing(BUY),Buy to Open,3.0,$108.36,12/18/18,,$1009.92,3.0,
171,FReversalSwing(BUY),Buy to Open,3.0,$106.50,12/19/18,,$1025.58,6.0,
172,FReversalSwing(BUY),Buy to Open,3.0,$106.75,12/26/18,,$1050.48,9.0,
173,FReversalSwing(SELL),Sell to Close,-9.0,$114.20,12/31/18,$62.97,$1078.47,0.0,
174,FReversalSwing(BUY),Buy to Open,3.0,$119.96,4/17/19,,$1068.09,3.0,
175,FReversalSwing(BUY),Buy to Open,3.0,$116.50,4/18/19,,$1060.29,6.0,
176,FReversalSwing(BUY),Buy to Open,3.0,$115.20,4/22/19,,$1062.72,9.0,
177,FReversalSwing(SELL),Sell to Close,-9.0,$112.42,8/5/19,($43.20),$1035.27,0.0,
178,FReversalSwing(BUY),Buy to Open,2.0,$135.41,2/26/20,,$1031.51,2.0,
179,FReversalSwing(BUY),Buy to Open,2.0,$133.53,2/27/20,,$1014.15,4.0,
180,FReversalSwing(BUY),Buy to Open,3.0,$129.19,2/28/20,,$992.73,7.0,
181,FReversalSwing(SELL),Sell to Close,-7.0,$141.46,3/9/20,$64.77,$1100.04,0.0,
182,FReversalSwing(BUY),Buy to Open,3.0,$126.02,3/13/20,,$1140.09,3.0,
183,FReversalSwing(SELL),Sell to Close,-3.0,$118.04,3/24/20,($23.94),$1076.10,0.0,
184,FReversalSwing(BUY),Buy to Open,2.0,$145.70,5/28/20,,$1086.00,2.0,
185,FReversalSwing(BUY),Buy to Open,2.0,$144.08,6/12/20,,$1070.70,4.0,
186,FReversalSwing(BUY),Buy to Open,2.0,$143.54,6/15/20,,$1058.58,6.0,
187,FReversalSwing(SELL),Sell to Close,-6.0,$163.71,6/17/20,$115.62,$1191.72,0.0,
188,FReversalSwing(BUY),Buy to Open,2.0,$153.00,7/31/20,,$1186.30,2.0,
189,FReversalSwing(BUY),Buy to Open,2.0,$150.29,8/3/20,,$1196.50,4.0,
190,FReversalSwing(BUY),Buy to Open,2.0,$152.84,8/4/20,,$1208.56,6.0,
191,FReversalSwing(SELL),Sell to Close,-6.0,$154.17,9/21/20,$12.76,$1204.48,0.0,
192,FReversalSwing(BUY),Buy to Open,2.0,$183.68,3/24/21,,$1197.46,2.0,
193,FReversalSwing(BUY),Buy to Open,2.0,$180.17,3/25/21,,$1209.14,4.0,
194,FReversalSwing(BUY),Buy to Open,2.0,$183.09,3/26/21,,$1222.46,6.0,
195,FReversalSwing(SELL),Sell to Close,-6.0,$190.61,4/21/21,$49.78,$1254.26,0.0,
196,FReversalSwing(BUY),Buy to Open,2.0,$182.21,4/28/21,,$1250.94,2.0,
197,FReversalSwing(BUY),Buy to Open,2.0,$180.55,4/29/21,,$1257.54,4.0,
198,FReversalSwing(SELL),Sell to Close,-4.0,$192.81,5/6/21,$45.72,$1299.98,0.0,
199,FReversalSwing(BUY),Buy to Open,1.0,$221.60,9/29/21,,$1308.74,1.0,
200,FReversalSwing(BUY),Buy to Open,1.0,$224.85,10/5/21,,$1315.39,2.0,
201,FReversalSwing(SELL),Sell to Close,-2.0,$242.31,10/20/21,$38.17,$1338.15,0.0,
202,FReversalSwing(BUY),Buy to Open,1.0,$249.67,1/14/22,,$1332.60,1.0,
203,FReversalSwing(BUY),Buy to Open,1.0,$244.12,1/18/22,,$1338.50,2.0,
204,FReversalSwing(BUY),Buy to Open,1.0,$247.07,1/19/22,,$1332.44,3.0,
205,FReversalSwing(SELL),Sell to Close,-3.0,$250.85,2/28/22,$11.69,$1349.84,0.0,
206,FReversalSwing(BUY),Buy to Open,1.0,$305.79,8/5/22,,$1345.37,1.0,
207,FReversalSwing(BUY),Buy to Open,1.0,$301.32,8/8/22,,$1347.73,2.0,
208,FReversalSwing(BUY),Buy to Open,1.0,$302.50,8/9/22,,$1349.29,3.0,
209,FReversalSwing(SELL),Sell to Close,-3.0,$322.77,8/22/22,$58.70,$1408.54,0.0,
210,FReversalSwing(BUY),Buy to Open,1.0,$301.23,9/1/22,,$1416.44,1.0,
211,FReversalSwing(BUY),Buy to Open,1.0,$296.48,9/22/22,,$1432.57,2.0,
212,FReversalSwing(SELL),Sell to Close,-2.0,$334.38,9/29/22,$71.05,$1479.59,0.0,
