Symbol: LVMHF Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,FReversalSwing(BUY),Buy to Open,3.0,$102.40,2/8/10,,$6.30,3.0,
2,FReversalSwing(SELL),Sell to Close,-3.0,$118.25,3/15/10,$47.55,$47.55,0.0,
3,FReversalSwing(BUY),Buy to Open,3.0,$106.95,5/6/10,,$46.05,3.0,
4,FReversalSwing(BUY),Buy to Open,3.0,$106.45,5/7/10,,$10.65,6.0,
5,FReversalSwing(BUY),Buy to Open,3.0,$100.55,5/10/10,,$102.00,9.0,
6,FReversalSwing(SELL),Sell to Close,-9.0,$113.45,6/17/10,$79.20,$126.75,0.0,
7,FReversalSwing(BUY),Buy to Open,2.0,$162.95,4/11/12,,$132.85,2.0,
8,FReversalSwing(SELL),Sell to Close,-2.0,$170.59,5/4/12,$15.28,$142.03,0.0,
9,FReversalSwing(BUY),Buy to Open,2.0,$176.55,2/8/13,,$145.81,2.0,
10,FReversalSwing(BUY),Buy to Open,2.0,$176.14,2/12/13,,$156.05,4.0,
11,FReversalSwing(BUY),Buy to Open,2.0,$170.60,2/22/13,,$137.05,6.0,
12,FReversalSwing(SELL),Sell to Close,-6.0,$162.27,4/18/13,($72.95),$69.08,0.0,
13,FReversalSwing(BUY),Buy to Open,2.0,$175.95,9/3/13,,$75.48,2.0,
14,FReversalSwing(SELL),Sell to Close,-2.0,$183.77,9/10/13,$15.64,$84.72,0.0,
15,FReversalSwing(BUY),Buy to Open,2.0,$187.25,11/6/13,,$90.02,2.0,
16,FReversalSwing(SELL),Sell to Close,-2.0,$193.35,11/19/13,$12.20,$96.92,0.0,
17,FReversalSwing(BUY),Buy to Open,2.0,$184.15,12/4/13,,$87.62,2.0,
18,FReversalSwing(BUY),Buy to Open,2.0,$179.50,12/5/13,,$91.02,4.0,
19,FReversalSwing(BUY),Buy to Open,2.0,$180.35,12/6/13,,$84.12,6.0,
20,FReversalSwing(SELL),Sell to Close,-6.0,$172.23,1/9/14,($54.62),$42.30,0.0,
21,FReversalSwing(BUY),Buy to Open,2.0,$191.90,6/30/14,,$43.14,2.0,
22,FReversalSwing(BUY),Buy to Open,2.0,$191.68,7/3/14,,$44.74,4.0,
23,FReversalSwing(BUY),Buy to Open,2.0,$190.60,7/8/14,,$23.74,6.0,
24,FReversalSwing(SELL),Sell to Close,-6.0,$182.52,7/25/14,($53.25),($10.95),0.0,
25,FReversalSwing(BUY),Buy to Open,2.0,$174.02,11/15/16,,($4.11),2.0,
26,FReversalSwing(SELL),Sell to Close,-2.0,$180.87,11/30/16,$13.70,$2.75,0.0,
27,FReversalSwing(BUY),Buy to Open,1.0,$287.72,2/9/18,,$3.03,1.0,
28,FReversalSwing(BUY),Buy to Open,1.0,$288.00,2/12/18,,$19.53,2.0,
29,FReversalSwing(SELL),Sell to Close,-2.0,$305.96,2/16/18,$36.19,$38.94,0.0,
30,FReversalSwing(BUY),Buy to Open,1.0,$330.12,6/22/18,,$42.36,1.0,
31,FReversalSwing(BUY),Buy to Open,1.0,$333.54,6/25/18,,$27.28,2.0,
32,FReversalSwing(BUY),Buy to Open,1.0,$326.00,6/26/18,,$40.33,3.0,
33,FReversalSwing(SELL),Sell to Close,-3.0,$345.70,7/16/18,$47.44,$86.38,0.0,
34,FReversalSwing(BUY),Buy to Open,1.0,$328.25,9/6/18,,$84.13,1.0,
35,FReversalSwing(BUY),Buy to Open,1.0,$326.00,9/7/18,,$90.23,2.0,
36,FReversalSwing(BUY),Buy to Open,1.0,$329.05,9/10/18,,$90.83,3.0,
37,FReversalSwing(SELL),Sell to Close,-3.0,$350.51,9/21/18,$68.23,$154.61,0.0,
38,FReversalSwing(BUY),Buy to Open,1.0,$332.05,10/5/18,,$151.67,1.0,
39,FReversalSwing(SELL),Sell to Close,-1.0,$297.05,10/19/18,($35.00),$119.61,0.0,
40,FReversalSwing(BUY),Buy to Open,1.0,$363.68,5/14/19,,$132.39,1.0,
41,FReversalSwing(SELL),Sell to Close,-1.0,$392.50,6/6/19,$28.82,$148.43,0.0,
42,FReversalSwing(BUY),Buy to Open,1.0,$398.00,8/5/19,,$132.82,1.0,
43,FReversalSwing(BUY),Buy to Open,1.0,$382.39,8/6/19,,$157.96,2.0,
44,FReversalSwing(BUY),Buy to Open,1.0,$394.96,8/7/19,,$189.43,3.0,
45,FReversalSwing(SELL),Sell to Close,-3.0,$413.78,9/6/19,$65.99,$214.42,0.0,
46,FReversalSwing(BUY),Buy to Open,1.0,$378.25,10/3/19,,$216.42,1.0,
47,FReversalSwing(BUY),Buy to Open,1.0,$380.26,10/4/19,,$220.61,2.0,
48,FReversalSwing(BUY),Buy to Open,1.0,$382.35,10/7/19,,$242.06,3.0,
49,FReversalSwing(SELL),Sell to Close,-3.0,$414.00,10/11/19,$101.14,$315.56,0.0,
50,FReversalSwing(BUY),Buy to Open,0.0,$443.15,1/28/20,,$315.56,0.0,
51,FReversalSwing(BUY),Buy to Open,0.0,$446.00,1/29/20,,$315.56,0.0,
52,FReversalSwing(BUY),Buy to Open,0.0,$449.03,1/30/20,,$315.56,0.0,
53,FReversalSwing(SELL),Sell to Close,0.0,$377.28,3/10/20,$0.00,$315.56,0.0,
54,FReversalSwing(BUY),Buy to Open,0.0,$430.00,8/3/20,,$315.56,0.0,
55,FReversalSwing(SELL),Sell to Close,0.0,$460.04,8/13/20,$0.00,$315.56,0.0,
56,FReversalSwing(BUY),Buy to Open,0.0,$466.04,11/2/20,,$315.56,0.0,
57,FReversalSwing(SELL),Sell to Close,0.0,$517.05,11/6/20,$0.00,$315.56,0.0,
58,FReversalSwing(BUY),Buy to Open,0.0,$726.93,9/29/21,,$315.56,0.0,
59,FReversalSwing(BUY),Buy to Open,0.0,$725.00,9/30/21,,$315.56,0.0,
60,FReversalSwing(SELL),Sell to Close,0.0,$761.29,10/14/21,$0.00,$315.56,0.0,
61,FReversalSwing(BUY),Buy to Open,0.0,$826.44,2/27/23,,$315.56,0.0,
62,FReversalSwing(SELL),Sell to Close,0.0,$871.40,3/6/23,$0.00,$315.56,0.0,
63,FReversalSwing(BUY),Buy to Open,0.0,$897.00,5/24/23,,$315.56,0.0,
64,FReversalSwing(BUY),Buy to Open,0.0,$879.77,5/25/23,,$315.56,0.0,
65,FReversalSwing(BUY),Buy to Open,0.0,$886.11,5/26/23,,$315.56,0.0,
66,FReversalSwing(SELL),Sell to Close,0.0,$925.00,6/16/23,$0.00,$315.56,0.0,
