Symbol: LVMUY Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,FReversalSwing(BUY),Buy to Open,19.0,$20.60,2/8/10,,$2.85,19.0,
2,FReversalSwing(BUY),Buy to Open,19.0,$20.75,2/9/10,,$31.35,38.0,
3,FReversalSwing(SELL),Sell to Close,-38.0,$22.60,3/3/10,$73.15,$73.15,0.0,
4,FReversalSwing(BUY),Buy to Open,18.0,$21.90,5/5/10,,$66.85,18.0,
5,FReversalSwing(BUY),Buy to Open,18.0,$21.55,5/6/10,,$56.05,36.0,
6,FReversalSwing(SELL),Sell to Close,-36.0,$22.24,6/11/10,$18.54,$91.69,0.0,
7,FReversalSwing(BUY),Buy to Open,17.0,$22.90,8/26/10,,$96.28,17.0,
8,FReversalSwing(SELL),Sell to Close,-17.0,$24.46,9/2/10,$26.52,$118.21,0.0,
9,FReversalSwing(BUY),Buy to Open,13.0,$30.69,2/25/11,,$126.92,13.0,
10,FReversalSwing(BUY),Buy to Open,13.0,$29.91,3/15/11,,$90.91,26.0,
11,FReversalSwing(BUY),Buy to Open,13.0,$29.25,3/16/11,,$30.46,39.0,
12,FReversalSwing(SELL),Sell to Close,-39.0,$31.66,4/1/11,$66.69,$184.90,0.0,
13,FReversalSwing(BUY),Buy to Open,12.0,$32.63,5/24/11,,$191.50,12.0,
14,FReversalSwing(SELL),Sell to Close,-12.0,$34.90,6/1/11,$27.24,$212.14,0.0,
15,FReversalSwing(BUY),Buy to Open,12.0,$31.95,6/17/11,,$214.78,12.0,
16,FReversalSwing(SELL),Sell to Close,-12.0,$34.74,6/29/11,$33.48,$245.62,0.0,
17,FReversalSwing(BUY),Buy to Open,12.0,$32.57,4/11/12,,$254.02,12.0,
18,FReversalSwing(SELL),Sell to Close,-12.0,$32.08,4/20/12,($5.86),$239.76,0.0,
19,FReversalSwing(BUY),Buy to Open,11.0,$35.00,2/8/13,,$245.21,11.0,
20,FReversalSwing(BUY),Buy to Open,11.0,$35.02,2/12/13,,$256.87,22.0,
21,FReversalSwing(BUY),Buy to Open,11.0,$34.45,2/22/13,,$246.71,33.0,
22,FReversalSwing(SELL),Sell to Close,-33.0,$31.91,4/18/13,($96.14),$143.62,0.0,
23,FReversalSwing(BUY),Buy to Open,11.0,$35.58,8/29/13,,$144.11,11.0,
24,FReversalSwing(BUY),Buy to Open,11.0,$35.63,8/30/13,,$133.22,22.0,
25,FReversalSwing(BUY),Buy to Open,11.0,$35.50,9/4/13,,$139.71,33.0,
26,FReversalSwing(SELL),Sell to Close,-33.0,$36.87,9/10/13,$42.95,$186.57,0.0,
27,FReversalSwing(BUY),Buy to Open,10.0,$37.48,10/17/13,,$191.29,10.0,
28,FReversalSwing(BUY),Buy to Open,10.0,$37.29,11/8/13,,$185.90,20.0,
29,FReversalSwing(BUY),Buy to Open,10.0,$37.35,11/11/13,,$194.00,30.0,
30,FReversalSwing(SELL),Sell to Close,-30.0,$34.62,1/8/14,($82.69),$103.88,0.0,
31,FReversalSwing(BUY),Buy to Open,10.0,$38.55,6/27/14,,$101.03,10.0,
32,FReversalSwing(BUY),Buy to Open,10.0,$38.26,6/30/14,,$107.43,20.0,
33,FReversalSwing(BUY),Buy to Open,10.0,$38.21,7/3/14,,$113.83,30.0,
34,FReversalSwing(SELL),Sell to Close,-30.0,$36.53,7/25/14,($54.25),$49.63,0.0,
35,FReversalSwing(BUY),Buy to Open,11.0,$34.99,11/15/16,,$57.72,11.0,
36,FReversalSwing(SELL),Sell to Close,-11.0,$36.23,11/30/16,$13.58,$63.22,0.0,
37,FReversalSwing(BUY),Buy to Open,6.0,$57.63,2/12/18,,$75.61,6.0,
38,FReversalSwing(SELL),Sell to Close,-6.0,$61.26,2/16/18,$21.78,$85.00,0.0,
39,FReversalSwing(BUY),Buy to Open,6.0,$66.55,6/21/18,,$83.59,6.0,
40,FReversalSwing(BUY),Buy to Open,6.0,$66.31,6/22/18,,$90.43,12.0,
41,FReversalSwing(BUY),Buy to Open,6.0,$65.30,6/26/18,,$78.85,18.0,
42,FReversalSwing(SELL),Sell to Close,-18.0,$68.89,7/11/18,$51.00,$136.00,0.0,
43,FReversalSwing(BUY),Buy to Open,6.0,$66.23,8/16/18,,$144.07,6.0,
44,FReversalSwing(SELL),Sell to Close,-6.0,$70.81,8/28/18,$27.48,$163.48,0.0,
45,FReversalSwing(BUY),Buy to Open,6.0,$65.58,9/6/18,,$163.60,6.0,
46,FReversalSwing(BUY),Buy to Open,6.0,$65.60,9/7/18,,$162.64,12.0,
47,FReversalSwing(BUY),Buy to Open,6.0,$65.52,9/10/18,,$173.98,18.0,
48,FReversalSwing(SELL),Sell to Close,-18.0,$69.86,9/21/18,$77.37,$240.85,0.0,
49,FReversalSwing(BUY),Buy to Open,6.0,$66.14,10/5/18,,$238.90,6.0,
50,FReversalSwing(SELL),Sell to Close,-6.0,$59.39,10/19/18,($40.48),$200.36,0.0,
51,FReversalSwing(BUY),Buy to Open,5.0,$72.80,5/14/19,,$210.46,5.0,
52,FReversalSwing(SELL),Sell to Close,-5.0,$77.00,6/5/19,$21.00,$221.36,0.0,
53,FReversalSwing(BUY),Buy to Open,4.0,$80.18,8/5/19,,$205.52,4.0,
