Symbol: MAT Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,321.0,$3.11,5/15/87,,($10.96),321.0,
2,keepbusy_cross(SELL),Sell to Close,-321.0,$2.94,5/19/87,($53.14),($53.14),0.0,
3,keepbusy_cross(Buy),Buy to Open,130.0,$7.65,9/20/91,,($4.33),130.0,
4,keepbusy_cross(SELL),Sell to Close,-130.0,$10.88,3/6/92,$419.81,$366.67,0.0,
5,keepbusy_cross(Buy),Buy to Open,78.0,$12.74,10/23/92,,$391.63,78.0,
6,keepbusy_cross(SELL),Sell to Close,-78.0,$12.25,11/12/92,($37.61),$329.06,0.0,
7,keepbusy_cross(Buy),Buy to Open,72.0,$13.89,1/22/93,,$319.84,72.0,
8,keepbusy_cross(SELL),Sell to Close,-72.0,$12.96,2/5/93,($67.00),$262.06,0.0,
9,keepbusy_cross(Buy),Buy to Open,56.0,$17.84,8/26/94,,$279.98,56.0,
10,keepbusy_cross(SELL),Sell to Close,-56.0,$17.36,9/6/94,($27.10),$234.96,0.0,
11,keepbusy_cross(Buy),Buy to Open,55.0,$18.00,2/10/95,,$234.96,55.0,
12,keepbusy_cross(SELL),Sell to Close,-55.0,$18.21,4/20/95,$11.55,$246.51,0.0,
13,keepbusy_cross(Buy),Buy to Open,36.0,$27.38,5/2/97,,$269.01,36.0,
14,keepbusy_cross(SELL),Sell to Close,-36.0,$33.83,8/28/97,$232.50,$479.01,0.0,
15,keepbusy_cross(Buy),Buy to Open,44.0,$22.48,5/9/03,,$479.89,44.0,
16,keepbusy_cross(SELL),Sell to Close,-44.0,$21.90,5/21/03,($25.34),$453.66,0.0,
17,keepbusy_cross(Buy),Buy to Open,55.0,$17.95,9/13/04,,$431.66,55.0,
18,keepbusy_cross(SELL),Sell to Close,-55.0,$17.25,10/19/04,($38.50),$415.16,0.0,
19,keepbusy_cross(Buy),Buy to Open,61.0,$16.38,2/3/06,,$398.08,61.0,
20,keepbusy_cross(SELL),Sell to Close,-61.0,$15.94,2/6/06,($27.07),$388.09,0.0,
21,keepbusy_cross(Buy),Buy to Open,56.0,$17.60,7/21/06,,$393.13,56.0,
22,keepbusy_cross(SELL),Sell to Close,-56.0,$28.36,5/29/07,$602.71,$990.80,0.0,
23,keepbusy_cross(Buy),Buy to Open,48.0,$20.73,7/25/08,,$994.64,48.0,
24,keepbusy_cross(SELL),Sell to Close,-48.0,$19.73,8/28/08,($47.81),$942.99,0.0,
25,keepbusy_cross(Buy),Buy to Open,35.0,$27.78,10/14/11,,$933.54,35.0,
26,keepbusy_cross(SELL),Sell to Close,-35.0,$27.34,11/22/11,($15.53),$927.46,0.0,
27,keepbusy_cross(Buy),Buy to Open,33.0,$29.55,1/27/12,,$920.86,33.0,
28,keepbusy_cross(SELL),Sell to Close,-33.0,$30.76,4/17/12,$40.09,$967.55,0.0,
29,keepbusy_cross(Buy),Buy to Open,25.0,$39.67,2/8/13,,$983.80,25.0,
30,keepbusy_cross(SELL),Sell to Close,-25.0,$44.33,6/6/13,$116.58,$1,084.13,0.0,
31,keepbusy_cross(Buy),Buy to Open,37.0,$26.52,5/6/22,,$1,069.33,37.0,
32,keepbusy_cross(SELL),Sell to Close,-37.0,$23.77,5/20/22,($101.68),$982.44,0.0,
33,keepbusy_cross(Buy),Buy to Open,52.0,$18.91,7/26/24,,$995.96,52.0,
34,keepbusy_cross(SELL),Sell to Close,-52.0,$18.09,8/6/24,($42.64),$939.80,0.0,
