Symbol: MPWR Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,38.0,$26.01,8/8/08,,($6.84),38.0,
2,keepbusy_cross(SELL),Sell to Close,-38.0,$23.90,8/14/08,($80.03),($80.03),0.0,
3,keepbusy_cross(Buy),Buy to Open,64.0,$15.46,4/25/11,,($83.87),64.0,
4,keepbusy_cross(SELL),Sell to Close,-64.0,$15.24,6/13/11,($13.91),($93.94),0.0,
5,keepbusy_cross(Buy),Buy to Open,18.0,$55.30,10/9/15,,($99.52),18.0,
6,keepbusy_cross(SELL),Sell to Close,-18.0,$62.45,1/5/16,$128.70,$34.76,0.0,
7,keepbusy_cross(Buy),Buy to Open,14.0,$67.86,5/27/16,,$44.00,14.0,
8,keepbusy_cross(SELL),Sell to Close,-14.0,$63.15,6/28/16,($65.89),($31.13),0.0,
9,keepbusy_cross(Buy),Buy to Open,11.0,$83.94,1/9/17,,($15.07),11.0,
10,keepbusy_cross(SELL),Sell to Close,-11.0,$84.77,2/16/17,$9.08,($22.05),0.0,
11,keepbusy_cross(Buy),Buy to Open,10.0,$97.66,5/26/17,,($18.55),10.0,
12,keepbusy_cross(SELL),Sell to Close,-10.0,$94.19,6/13/17,($34.67),($56.72),0.0,
13,keepbusy_cross(Buy),Buy to Open,7.0,$128.67,5/11/18,,($71.49),7.0,
14,keepbusy_cross(SELL),Sell to Close,-7.0,$133.91,7/26/18,$36.70,($20.02),0.0,
15,keepbusy_cross(Buy),Buy to Open,2.0,$341.47,12/18/20,,($6.50),2.0,
16,keepbusy_cross(SELL),Sell to Close,-2.0,$359.10,2/24/21,$35.26,$15.24,0.0,
17,keepbusy_cross(Buy),Buy to Open,2.0,$456.03,7/22/22,,($23.94),2.0,
18,keepbusy_cross(SELL),Sell to Close,-2.0,$424.78,7/26/22,($62.50),($47.27),0.0,
19,keepbusy_cross(Buy),Buy to Open,1.0,$920.69,8/16/24,,($53.30),1.0,
20,keepbusy_cross(SELL),Sell to Close,-1.0,$843.20,9/4/24,($77.49),($124.75),0.0,
