Symbol: MWA Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,194.0,$5.13,11/30/09,,($17.46),194.0,
2,keepbusy_cross(SELL),Sell to Close,-194.0,$5.04,12/1/09,($18.40),($18.40),0.0,
3,keepbusy_cross(Buy),Buy to Open,181.0,$5.52,4/23/10,,$52.19,181.0,
4,keepbusy_cross(SELL),Sell to Close,-181.0,$5.09,5/6/10,($77.25),($95.65),0.0,
5,keepbusy_cross(Buy),Buy to Open,232.0,$4.30,3/25/11,,($86.37),232.0,
6,keepbusy_cross(SELL),Sell to Close,-232.0,$4.05,4/12/11,($57.58),($153.23),0.0,
7,keepbusy_cross(Buy),Buy to Open,261.0,$3.82,8/3/12,,($124.52),261.0,
8,keepbusy_cross(SELL),Sell to Close,-261.0,$5.74,2/21/13,$501.99,$348.76,0.0,
9,keepbusy_cross(Buy),Buy to Open,108.0,$9.20,10/24/14,,$349.84,108.0,
10,keepbusy_cross(SELL),Sell to Close,-108.0,$9.67,1/8/15,$50.90,$399.66,0.0,
11,keepbusy_cross(Buy),Buy to Open,46.0,$21.29,9/20/24,,$389.08,46.0,
