Symbol: NOK Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,190.0,$5.25,9/19/97,,$23.01,190.0,
2,keepbusy_cross(SELL),Sell to Close,-190.0,$5.22,10/28/97,($6.41),($6.41),0.0,
3,keepbusy_cross(Buy),Buy to Open,48.0,$20.47,1/9/04,,$2.71,48.0,
4,keepbusy_cross(SELL),Sell to Close,-48.0,$20.53,3/16/04,$2.83,($3.58),0.0,
5,keepbusy_cross(Buy),Buy to Open,72.0,$13.84,9/13/04,,($10.06),72.0,
6,keepbusy_cross(SELL),Sell to Close,-72.0,$15.39,12/17/04,$111.50,$107.92,0.0,
7,keepbusy_cross(Buy),Buy to Open,57.0,$17.35,11/4/05,,$97.09,57.0,
8,keepbusy_cross(SELL),Sell to Close,-57.0,$18.00,1/27/06,$37.03,$144.95,0.0,
9,keepbusy_cross(Buy),Buy to Open,47.0,$21.00,1/26/07,,$172.21,47.0,
10,keepbusy_cross(SELL),Sell to Close,-47.0,$20.79,3/6/07,($9.87),$135.08,0.0,
11,keepbusy_cross(Buy),Buy to Open,33.0,$30.14,8/24/07,,$162.47,33.0,
12,keepbusy_cross(SELL),Sell to Close,-33.0,$38.27,12/14/07,$268.36,$403.45,0.0,
13,keepbusy_cross(Buy),Buy to Open,261.0,$3.83,6/21/13,,$429.55,261.0,
14,keepbusy_cross(SELL),Sell to Close,-261.0,$3.91,8/29/13,$19.57,$423.02,0.0,
15,keepbusy_cross(Buy),Buy to Open,173.0,$5.78,11/2/18,,$426.48,173.0,
16,keepbusy_cross(SELL),Sell to Close,-173.0,$5.53,11/21/18,($43.25),$379.77,0.0,
17,keepbusy_cross(Buy),Buy to Open,244.0,$4.09,1/15/21,,$377.33,244.0,
18,keepbusy_cross(SELL),Sell to Close,-244.0,$4.16,2/11/21,$16.10,$395.87,0.0,
19,keepbusy_cross(Buy),Buy to Open,206.0,$4.84,3/31/23,,$410.29,206.0,
20,keepbusy_cross(SELL),Sell to Close,-206.0,$4.75,4/19/23,($18.60),$377.27,0.0,
