Symbol: NONOF Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,FReversalSwing(BUY),Buy to Open,7.0,$52.60,10/1/15,,$13.86,7.0,
2,FReversalSwing(SELL),Sell to Close,-7.0,$56.35,10/13/15,$26.25,$26.25,0.0,
3,FReversalSwing(BUY),Buy to Open,7.0,$52.13,2/2/18,,$16.03,7.0,
4,FReversalSwing(BUY),Buy to Open,7.0,$50.67,2/6/18,,($4.55),14.0,
5,FReversalSwing(BUY),Buy to Open,8.0,$49.20,2/7/18,,$19.76,22.0,
6,FReversalSwing(SELL),Sell to Close,-22.0,$50.31,5/15/18,($6.38),$19.87,0.0,
7,FReversalSwing(BUY),Buy to Open,8.0,$47.67,4/22/19,,$18.91,8.0,
8,FReversalSwing(BUY),Buy to Open,8.0,$47.55,4/23/19,,$41.79,16.0,
9,FReversalSwing(BUY),Buy to Open,8.0,$47.84,4/26/19,,$47.79,24.0,
10,FReversalSwing(SELL),Sell to Close,-24.0,$46.55,5/15/19,($27.28),($7.41),0.0,
11,FReversalSwing(BUY),Buy to Open,8.0,$49.02,10/3/19,,($5.09),8.0,
12,FReversalSwing(SELL),Sell to Close,-8.0,$52.29,10/18/19,$26.16,$18.75,0.0,
13,FReversalSwing(BUY),Buy to Open,6.0,$57.71,3/2/20,,$30.15,6.0,
14,FReversalSwing(SELL),Sell to Close,-6.0,$62.95,3/5/20,$31.44,$50.19,0.0,
15,FReversalSwing(BUY),Buy to Open,4.0,$98.60,1/12/22,,$59.47,4.0,
16,FReversalSwing(BUY),Buy to Open,3.0,$100.92,1/13/22,,$47.15,7.0,
17,FReversalSwing(BUY),Buy to Open,4.0,$99.16,1/14/22,,$3.59,11.0,
18,FReversalSwing(SELL),Sell to Close,-11.0,$107.92,2/3/22,$93.32,$143.51,0.0,
19,FReversalSwing(BUY),Buy to Open,3.0,$105.95,5/10/22,,$144.95,3.0,
20,FReversalSwing(SELL),Sell to Close,-3.0,$112.05,6/3/22,$18.30,$161.81,0.0,
