Symbol: NSP Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,62.0,$16.07,4/25/14,,($19.22),62.0,
2,keepbusy_cross(SELL),Sell to Close,-62.0,$15.84,4/28/14,($13.94),($13.94),0.0,
3,keepbusy_cross(Buy),Buy to Open,43.0,$23.21,12/11/15,,($7.71),43.0,
4,keepbusy_cross(SELL),Sell to Close,-43.0,$22.61,1/11/16,($25.73),($39.67),0.0,
5,keepbusy_cross(Buy),Buy to Open,23.0,$42.95,2/17/17,,($58.07),23.0,
6,keepbusy_cross(SELL),Sell to Close,-23.0,$42.58,5/2/17,($8.63),($48.30),0.0,
7,keepbusy_cross(Buy),Buy to Open,15.0,$65.80,2/16/18,,($89.55),15.0,
8,keepbusy_cross(SELL),Sell to Close,-15.0,$94.43,8/1/18,$429.42,$381.13,0.0,
9,keepbusy_cross(Buy),Buy to Open,8.0,$114.39,11/4/22,,$372.09,8.0,
10,keepbusy_cross(SELL),Sell to Close,-8.0,$111.49,12/19/22,($23.23),$357.89,0.0,
11,keepbusy_cross(Buy),Buy to Open,8.0,$123.18,2/17/23,,$377.17,8.0,
12,keepbusy_cross(SELL),Sell to Close,-8.0,$115.60,3/14/23,($60.67),$297.23,0.0,
13,keepbusy_cross(Buy),Buy to Open,9.0,$107.55,11/3/23,,$306.23,9.0,
14,keepbusy_cross(SELL),Sell to Close,-9.0,$113.77,1/26/24,$56.02,$353.25,0.0,
