Symbol: PCY Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,36.0,$27.55,2/3/12,,$3.24,36.0,
2,keepbusy_cross(SELL),Sell to Close,-36.0,$28.07,5/16/12,$18.72,$18.72,0.0,
3,keepbusy_cross(Buy),Buy to Open,33.0,$29.68,8/25/17,,$21.36,33.0,
4,keepbusy_cross(SELL),Sell to Close,-33.0,$29.57,9/28/17,($3.76),$14.96,0.0,
5,keepbusy_cross(Buy),Buy to Open,35.0,$28.28,6/7/19,,$22.31,35.0,
6,keepbusy_cross(SELL),Sell to Close,-35.0,$29.34,9/16/19,$37.19,$52.15,0.0,
7,keepbusy_cross(Buy),Buy to Open,35.0,$27.95,11/13/20,,$57.75,35.0,
8,keepbusy_cross(SELL),Sell to Close,-35.0,$28.07,1/13/21,$4.23,$56.37,0.0,
9,keepbusy_cross(Buy),Buy to Open,48.0,$20.81,8/16/24,,$61.17,48.0,
10,keepbusy_cross(SELL),Sell to Close,-48.0,$20.93,10/11/24,$5.94,$62.31,0.0,
