Symbol: PG Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,FReversalSwing(BUY),Buy to Open,87.0,$4.57,9/12/86,,($6.12),87.0,
2,FReversalSwing(SELL),Sell to Close,-87.0,$4.52,10/15/86,($4.76),($4.76),0.0,
3,FReversalSwing(BUY),Buy to Open,74.0,$5.39,4/15/87,,$4.49,74.0,
4,FReversalSwing(BUY),Buy to Open,73.0,$5.44,4/21/87,,$33.17,147.0,
5,FReversalSwing(BUY),Buy to Open,74.0,$5.34,4/28/87,,($35.79),221.0,
6,FReversalSwing(SELL),Sell to Close,-221.0,$5.85,5/11/87,$101.91,$97.16,0.0,
7,FReversalSwing(BUY),Buy to Open,69.0,$5.74,7/21/87,,$97.16,69.0,
8,FReversalSwing(BUY),Buy to Open,69.0,$5.74,7/22/87,,$100.39,138.0,
9,FReversalSwing(BUY),Buy to Open,69.0,$5.77,7/23/87,,$102.01,207.0,
10,FReversalSwing(SELL),Sell to Close,-207.0,$5.94,8/6/87,$38.81,$135.97,0.0,
11,FReversalSwing(BUY),Buy to Open,68.0,$5.88,10/15/87,,$121.62,68.0,
12,FReversalSwing(SELL),Sell to Close,-68.0,$4.38,10/20/87,($102.00),$33.97,0.0,
13,FReversalSwing(BUY),Buy to Open,73.0,$5.45,3/2/89,,$37.39,73.0,
14,FReversalSwing(SELL),Sell to Close,-73.0,$5.63,3/15/89,$12.55,$46.51,0.0,
15,FReversalSwing(BUY),Buy to Open,50.0,$7.84,1/26/90,,$48.86,50.0,
16,FReversalSwing(BUY),Buy to Open,50.0,$7.89,1/29/90,,$42.61,100.0,
17,FReversalSwing(BUY),Buy to Open,51.0,$7.83,1/30/90,,$44.97,151.0,
18,FReversalSwing(SELL),Sell to Close,-151.0,$8.28,3/19/90,$64.52,$111.03,0.0,
19,FReversalSwing(BUY),Buy to Open,42.0,$9.45,8/7/90,,$119.56,42.0,
20,FReversalSwing(BUY),Buy to Open,41.0,$9.66,8/8/90,,$148.09,83.0,
21,FReversalSwing(BUY),Buy to Open,40.0,$9.84,8/20/90,,$127.44,123.0,
