Symbol: PSMT Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,142.0,$7.01,10/15/04,,$4.26,142.0,
2,keepbusy_cross(SELL),Sell to Close,-142.0,$6.50,10/22/04,($72.42),($72.42),0.0,
3,keepbusy_cross(Buy),Buy to Open,137.0,$7.25,11/5/04,,$5.67,137.0,
4,keepbusy_cross(SELL),Sell to Close,-137.0,$6.90,11/23/04,($48.43),($120.85),0.0,
5,keepbusy_cross(Buy),Buy to Open,124.0,$8.02,4/21/06,,($57.61),124.0,
6,keepbusy_cross(SELL),Sell to Close,-124.0,$9.78,7/3/06,$217.85,$97.00,0.0,
7,keepbusy_cross(Buy),Buy to Open,37.0,$26.86,10/12/07,,$120.31,37.0,
8,keepbusy_cross(SELL),Sell to Close,-37.0,$28.69,1/2/08,$67.61,$164.60,0.0,
9,keepbusy_cross(Buy),Buy to Open,11.0,$86.10,1/26/18,,$170.65,11.0,
10,keepbusy_cross(SELL),Sell to Close,-11.0,$84.38,1/29/18,($18.93),$145.68,0.0,
11,keepbusy_cross(Buy),Buy to Open,14.0,$69.60,1/13/23,,$134.62,14.0,
12,keepbusy_cross(SELL),Sell to Close,-14.0,$67.52,3/9/23,($29.19),$116.49,0.0,
