Symbol: PVH Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,82.0,$12.06,9/11/89,,$20.50,82.0,
2,keepbusy_cross(SELL),Sell to Close,-82.0,$10.65,10/17/89,($116.00),($116.00),0.0,
3,keepbusy_cross(Buy),Buy to Open,34.0,$29.00,1/4/93,,($137.25),34.0,
4,keepbusy_cross(SELL),Sell to Close,-34.0,$27.21,1/7/93,($60.78),($176.77),0.0,
5,keepbusy_cross(Buy),Buy to Open,66.0,$14.94,9/8/97,,($172.65),66.0,
6,keepbusy_cross(SELL),Sell to Close,-66.0,$14.32,10/8/97,($40.47),($217.24),0.0,
7,keepbusy_cross(Buy),Buy to Open,101.0,$9.88,9/13/99,,($217.24),101.0,
8,keepbusy_cross(SELL),Sell to Close,-101.0,$9.18,9/24/99,($69.88),($287.12),0.0,
9,keepbusy_cross(Buy),Buy to Open,135.0,$7.38,3/31/00,,($244.93),135.0,
10,keepbusy_cross(SELL),Sell to Close,-135.0,$7.37,4/6/00,($0.99),($288.11),0.0,
11,keepbusy_cross(Buy),Buy to Open,99.0,$10.06,9/11/00,,($300.48),99.0,
12,keepbusy_cross(SELL),Sell to Close,-99.0,$11.94,12/27/00,$185.63,($102.48),0.0,
13,keepbusy_cross(Buy),Buy to Open,74.0,$13.35,10/25/02,,($76.58),74.0,
14,keepbusy_cross(SELL),Sell to Close,-74.0,$12.91,11/19/02,($32.54),($135.02),0.0,
15,keepbusy_cross(Buy),Buy to Open,51.0,$19.53,8/27/04,,($106.97),51.0,
16,keepbusy_cross(SELL),Sell to Close,-51.0,$26.06,1/25/05,$333.09,$198.07,0.0,
17,keepbusy_cross(Buy),Buy to Open,25.0,$39.00,3/24/06,,$197.57,25.0,
18,keepbusy_cross(SELL),Sell to Close,-25.0,$37.20,5/12/06,($44.94),$153.13,0.0,
19,keepbusy_cross(Buy),Buy to Open,8.0,$120.32,6/21/13,,$158.57,8.0,
20,keepbusy_cross(SELL),Sell to Close,-8.0,$126.91,8/29/13,$52.74,$205.86,0.0,
21,keepbusy_cross(Buy),Buy to Open,7.0,$126.60,5/2/14,,$217.20,7.0,
22,keepbusy_cross(SELL),Sell to Close,-7.0,$121.84,6/6/14,($33.32),$172.54,0.0,
23,keepbusy_cross(Buy),Buy to Open,6.0,$165.11,6/8/18,,$190.84,6.0,
24,keepbusy_cross(SELL),Sell to Close,-6.0,$157.51,6/21/18,($45.62),$126.92,0.0,
25,keepbusy_cross(Buy),Buy to Open,10.0,$99.92,2/26/21,,$127.32,10.0,
26,keepbusy_cross(SELL),Sell to Close,-10.0,$98.33,3/24/21,($15.88),$111.04,0.0,
27,keepbusy_cross(Buy),Buy to Open,8.0,$119.56,11/5/21,,$137.84,8.0,
28,keepbusy_cross(SELL),Sell to Close,-8.0,$110.11,11/29/21,($75.61),$35.43,0.0,
