Symbol: RCI Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,55.0,$18.08,10/16/98,,$50.42,55.0,
2,keepbusy_cross(SELL),Sell to Close,-55.0,$17.49,11/6/98,($32.65),($32.65),0.0,
3,keepbusy_cross(Buy),Buy to Open,52.0,$19.00,6/4/01,,($15.32),52.0,
4,keepbusy_cross(SELL),Sell to Close,-52.0,$18.96,7/12/01,($2.22),($34.87),0.0,
5,keepbusy_cross(Buy),Buy to Open,47.0,$21.13,3/8/02,,($43.96),47.0,
6,keepbusy_cross(SELL),Sell to Close,-47.0,$20.60,3/11/02,($24.84),($59.71),0.0,
7,keepbusy_cross(Buy),Buy to Open,21.0,$45.95,5/6/05,,($62.02),21.0,
8,keepbusy_cross(SELL),Sell to Close,-21.0,$47.13,10/31/05,$24.78,($34.93),0.0,
9,keepbusy_cross(Buy),Buy to Open,34.0,$28.99,10/30/09,,($25.07),34.0,
10,keepbusy_cross(SELL),Sell to Close,-34.0,$28.50,12/15/09,($16.61),($51.54),0.0,
11,keepbusy_cross(Buy),Buy to Open,26.0,$38.20,12/23/11,,($49.72),26.0,
12,keepbusy_cross(SELL),Sell to Close,-26.0,$37.41,2/13/12,($20.56),($72.11),0.0,
13,keepbusy_cross(Buy),Buy to Open,25.0,$39.94,11/21/14,,($65.36),25.0,
14,keepbusy_cross(SELL),Sell to Close,-25.0,$39.11,12/9/14,($20.83),($92.93),0.0,
15,keepbusy_cross(Buy),Buy to Open,24.0,$40.40,7/1/16,,($85.25),24.0,
16,keepbusy_cross(SELL),Sell to Close,-24.0,$42.29,9/12/16,$45.36,($47.57),0.0,
17,keepbusy_cross(Buy),Buy to Open,18.0,$53.24,11/16/18,,($38.93),18.0,
18,keepbusy_cross(SELL),Sell to Close,-18.0,$51.93,12/21/18,($23.57),($71.15),0.0,
19,keepbusy_cross(Buy),Buy to Open,18.0,$54.33,1/11/19,,($66.65),18.0,
20,keepbusy_cross(SELL),Sell to Close,-18.0,$52.54,1/25/19,($32.30),($103.45),0.0,
21,keepbusy_cross(Buy),Buy to Open,20.0,$49.30,4/14/23,,($104.45),20.0,
22,keepbusy_cross(SELL),Sell to Close,-20.0,$47.43,4/25/23,($37.45),($140.90),0.0,
