Symbol: RHHBF Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,FReversalSwing(BUY),Buy to Open,2.0,$172.00,5/15/12,,($2.00),2.0,
2,FReversalSwing(BUY),Buy to Open,2.0,$171.00,5/17/12,,$8.00,4.0,
3,FReversalSwing(BUY),Buy to Open,2.0,$170.00,5/25/12,,($16.50),6.0,
4,FReversalSwing(SELL),Sell to Close,-6.0,$163.80,6/5/12,($43.20),($43.20),0.0,
5,FReversalSwing(BUY),Buy to Open,2.0,$166.00,6/7/12,,($47.20),2.0,
6,FReversalSwing(SELL),Sell to Close,-2.0,$164.00,6/8/12,($4.00),($47.20),0.0,
7,FReversalSwing(BUY),Buy to Open,1.0,$280.15,10/6/14,,($42.10),1.0,
8,FReversalSwing(SELL),Sell to Close,-1.0,$286.50,10/28/14,$6.35,($40.85),0.0,
9,FReversalSwing(BUY),Buy to Open,1.0,$258.30,4/25/19,,($43.95),1.0,
10,FReversalSwing(BUY),Buy to Open,1.0,$255.20,5/6/19,,($39.05),2.0,
11,FReversalSwing(SELL),Sell to Close,-2.0,$268.75,6/14/19,$24.00,($16.85),0.0,
12,FReversalSwing(BUY),Buy to Open,1.0,$305.90,3/10/20,,($2.05),1.0,
13,FReversalSwing(BUY),Buy to Open,1.0,$299.30,3/13/20,,$125.95,2.0,
14,FReversalSwing(SELL),Sell to Close,-2.0,$374.00,3/16/20,$142.80,$125.95,0.0,
15,FReversalSwing(BUY),Buy to Open,1.0,$282.00,3/24/20,,$132.45,1.0,
16,FReversalSwing(SELL),Sell to Close,-1.0,$331.80,4/3/20,$49.80,$175.75,0.0,
17,FReversalSwing(BUY),Buy to Open,0.0,$412.00,11/30/21,,$175.75,0.0,
18,FReversalSwing(SELL),Sell to Close,0.0,$452.03,12/17/21,$0.00,$175.75,0.0,
