Symbol: SAIC Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,25.0,$39.03,4/21/14,,$1.25,25.0,
2,keepbusy_cross(SELL),Sell to Close,-25.0,$37.41,5/7/14,($40.52),($40.52),0.0,
3,keepbusy_cross(Buy),Buy to Open,25.0,$38.73,6/2/14,,($45.77),25.0,
4,keepbusy_cross(SELL),Sell to Close,-25.0,$41.52,8/1/14,$69.67,$29.15,0.0,
5,keepbusy_cross(Buy),Buy to Open,20.0,$48.18,10/31/14,,$43.75,20.0,
6,keepbusy_cross(SELL),Sell to Close,-20.0,$49.07,1/5/15,$17.78,$46.93,0.0,
7,keepbusy_cross(Buy),Buy to Open,13.0,$75.26,11/11/16,,$102.31,13.0,
8,keepbusy_cross(SELL),Sell to Close,-13.0,$81.98,1/31/17,$87.33,$134.25,0.0,
9,keepbusy_cross(Buy),Buy to Open,11.0,$85.84,12/20/19,,$155.59,11.0,
10,keepbusy_cross(SELL),Sell to Close,-11.0,$89.52,2/26/20,$40.45,$174.70,0.0,
11,keepbusy_cross(Buy),Buy to Open,11.0,$84.87,11/6/20,,$151.38,11.0,
12,keepbusy_cross(SELL),Sell to Close,-11.0,$94.78,2/2/21,$109.05,$283.75,0.0,
13,keepbusy_cross(Buy),Buy to Open,11.0,$89.48,3/4/22,,$310.48,11.0,
14,keepbusy_cross(SELL),Sell to Close,-11.0,$85.81,3/17/22,($40.35),$243.40,0.0,
15,keepbusy_cross(Buy),Buy to Open,10.0,$96.55,10/21/22,,$266.20,10.0,
16,keepbusy_cross(SELL),Sell to Close,-10.0,$106.88,1/6/23,$103.26,$346.65,0.0,
