Symbol: SAP Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,FReversalSwing(BUY),Buy to Open,8.0,$50.00,4/13/00,,($2.00),8.0,
2,FReversalSwing(BUY),Buy to Open,8.0,$49.75,4/14/00,,($63.00),16.0,
3,FReversalSwing(BUY),Buy to Open,7.0,$50.50,4/18/00,,($5.81),23.0,
4,FReversalSwing(SELL),Sell to Close,-23.0,$41.02,4/25/00,($208.12),($208.12),0.0,
5,FReversalSwing(BUY),Buy to Open,8.0,$48.75,4/26/00,,($211.12),8.0,
6,FReversalSwing(BUY),Buy to Open,8.0,$48.38,4/27/00,,($217.12),16.0,
7,FReversalSwing(SELL),Sell to Close,-16.0,$41.38,5/22/00,($115.00),($323.12),0.0,
8,FReversalSwing(BUY),Buy to Open,14.0,$27.65,7/22/03,,($323.96),14.0,
9,FReversalSwing(BUY),Buy to Open,14.0,$27.59,7/23/03,,($312.48),28.0,
10,FReversalSwing(SELL),Sell to Close,-28.0,$29.94,9/2/03,$64.96,($258.16),0.0,
11,FReversalSwing(BUY),Buy to Open,10.0,$37.28,5/3/04,,($253.16),10.0,
12,FReversalSwing(BUY),Buy to Open,10.0,$37.33,5/10/04,,($260.46),20.0,
13,FReversalSwing(SELL),Sell to Close,-20.0,$39.41,5/26/04,$42.10,($216.06),0.0,
14,FReversalSwing(BUY),Buy to Open,9.0,$42.33,1/5/05,,($217.14),9.0,
15,FReversalSwing(BUY),Buy to Open,9.0,$42.21,1/6/05,,($206.52),18.0,
16,FReversalSwing(BUY),Buy to Open,9.0,$41.40,1/12/05,,($222.54),27.0,
17,FReversalSwing(SELL),Sell to Close,-27.0,$38.48,1/31/05,($94.53),($310.59),0.0,
18,FReversalSwing(BUY),Buy to Open,9.0,$41.83,8/29/05,,($307.98),9.0,
19,FReversalSwing(SELL),Sell to Close,-9.0,$43.12,9/2/05,$11.61,($298.98),0.0,
20,FReversalSwing(BUY),Buy to Open,9.0,$41.90,9/26/05,,($289.08),9.0,
21,FReversalSwing(SELL),Sell to Close,-9.0,$43.56,10/18/05,$14.94,($284.04),0.0,
22,FReversalSwing(BUY),Buy to Open,9.0,$42.08,11/17/05,,($282.42),9.0,
23,FReversalSwing(SELL),Sell to Close,-9.0,$43.32,11/23/05,$11.16,($272.88),0.0,
24,FReversalSwing(BUY),Buy to Open,9.0,$44.00,1/23/06,,($265.95),9.0,
25,FReversalSwing(SELL),Sell to Close,-9.0,$49.70,1/26/06,$51.30,($221.58),0.0,
26,FReversalSwing(BUY),Buy to Open,7.0,$52.00,5/18/06,,($223.12),7.0,
27,FReversalSwing(BUY),Buy to Open,7.0,$51.78,5/19/06,,($207.58),14.0,
28,FReversalSwing(BUY),Buy to Open,7.0,$52.56,5/23/06,,($194.56),21.0,
29,FReversalSwing(SELL),Sell to Close,-21.0,$52.52,7/3/06,$8.54,($213.04),0.0,
30,FReversalSwing(BUY),Buy to Open,7.0,$53.56,10/22/07,,($212.55),7.0,
31,FReversalSwing(BUY),Buy to Open,7.0,$53.63,10/23/07,,($208.91),14.0,
32,FReversalSwing(BUY),Buy to Open,7.0,$53.49,10/25/07,,($217.24),21.0,
33,FReversalSwing(SELL),Sell to Close,-21.0,$50.55,11/13/07,($63.18),($276.22),0.0,
34,FReversalSwing(BUY),Buy to Open,7.0,$51.32,11/14/07,,($277.06),7.0,
35,FReversalSwing(BUY),Buy to Open,7.0,$51.20,11/15/07,,($284.90),14.0,
36,FReversalSwing(SELL),Sell to Close,-14.0,$50.52,11/16/07,($10.39),($286.61),0.0,
37,FReversalSwing(BUY),Buy to Open,7.0,$51.24,11/19/07,,($290.11),7.0,
38,FReversalSwing(SELL),Sell to Close,-7.0,$50.49,11/20/07,($5.24),($291.85),0.0,
39,FReversalSwing(BUY),Buy to Open,7.0,$54.20,9/8/08,,($294.09),7.0,
40,FReversalSwing(BUY),Buy to Open,7.0,$53.88,9/9/08,,($316.21),14.0,
41,FReversalSwing(BUY),Buy to Open,7.0,$52.30,9/10/08,,($318.52),21.0,
42,FReversalSwing(SELL),Sell to Close,-21.0,$51.11,9/12/08,($49.35),($341.20),0.0,
43,FReversalSwing(BUY),Buy to Open,7.0,$53.19,9/15/08,,($335.39),7.0,
44,FReversalSwing(SELL),Sell to Close,-7.0,$56.39,9/17/08,$22.40,($318.80),0.0,
45,FReversalSwing(BUY),Buy to Open,8.0,$46.11,10/29/09,,($311.60),8.0,
46,FReversalSwing(BUY),Buy to Open,8.0,$47.01,10/30/09,,($339.44),16.0,
47,FReversalSwing(BUY),Buy to Open,8.0,$45.27,11/2/09,,($321.92),24.0,
48,FReversalSwing(SELL),Sell to Close,-24.0,$44.17,12/10/09,($46.98),($365.78),0.0,
49,FReversalSwing(BUY),Buy to Open,8.0,$44.78,12/14/09,,($360.66),8.0,
50,FReversalSwing(BUY),Buy to Open,8.0,$44.74,12/16/09,,($351.38),16.0,
51,FReversalSwing(SELL),Sell to Close,-16.0,$47.40,12/31/09,$42.24,($323.54),0.0,
52,FReversalSwing(BUY),Buy to Open,8.0,$45.90,1/25/10,,($321.06),8.0,
53,FReversalSwing(SELL),Sell to Close,-8.0,$43.61,2/9/10,($18.35),($341.89),0.0,
54,FReversalSwing(BUY),Buy to Open,8.0,$49.65,11/16/10,,($346.53),8.0,
55,FReversalSwing(BUY),Buy to Open,8.0,$49.07,11/17/10,,($347.81),16.0,
56,FReversalSwing(BUY),Buy to Open,8.0,$48.99,11/18/10,,($329.33),24.0,
57,FReversalSwing(SELL),Sell to Close,-24.0,$50.00,12/20/10,$18.32,($323.57),0.0,
58,FReversalSwing(BUY),Buy to Open,8.0,$48.76,1/11/11,,($311.41),8.0,
59,FReversalSwing(SELL),Sell to Close,-8.0,$51.18,1/13/11,$19.36,($304.21),0.0,
60,FReversalSwing(BUY),Buy to Open,7.0,$56.55,3/16/11,,($316.88),7.0,
61,FReversalSwing(BUY),Buy to Open,7.0,$54.74,3/17/11,,($299.66),14.0,
62,FReversalSwing(BUY),Buy to Open,7.0,$55.97,3/18/11,,($265.85),21.0,
63,FReversalSwing(SELL),Sell to Close,-21.0,$59.91,3/25/11,$87.29,($216.92),0.0,
64,FReversalSwing(BUY),Buy to Open,6.0,$59.48,5/24/11,,($215.78),6.0,
65,FReversalSwing(BUY),Buy to Open,6.0,$59.67,5/25/11,,($211.58),12.0,
66,FReversalSwing(BUY),Buy to Open,6.0,$60.02,5/26/11,,($210.68),18.0,
67,FReversalSwing(SELL),Sell to Close,-18.0,$62.88,7/8/11,$56.82,($160.10),0.0,
68,FReversalSwing(BUY),Buy to Open,6.0,$57.36,7/15/11,,($157.28),6.0,
69,FReversalSwing(BUY),Buy to Open,6.0,$57.21,7/19/11,,($145.16),12.0,
70,FReversalSwing(SELL),Sell to Close,-12.0,$64.50,7/27/11,$86.58,($73.52),0.0,
71,FReversalSwing(BUY),Buy to Open,6.0,$65.95,4/10/12,,($81.80),6.0,
72,FReversalSwing(BUY),Buy to Open,6.0,$64.57,4/11/12,,($65.60),12.0,
73,FReversalSwing(BUY),Buy to Open,6.0,$65.92,4/12/12,,($66.86),18.0,
74,FReversalSwing(SELL),Sell to Close,-18.0,$58.38,5/21/12,($127.76),($201.28),0.0,
75,FReversalSwing(BUY),Buy to Open,5.0,$77.74,4/8/13,,($200.28),5.0,
76,FReversalSwing(BUY),Buy to Open,5.0,$77.94,4/9/13,,($200.88),10.0,
77,FReversalSwing(BUY),Buy to Open,5.0,$77.88,4/10/13,,($198.18),15.0,
78,FReversalSwing(SELL),Sell to Close,-15.0,$81.44,5/6/13,$53.80,($147.48),0.0,
79,FReversalSwing(BUY),Buy to Open,5.0,$77.01,5/29/13,,($152.58),5.0,
80,FReversalSwing(BUY),Buy to Open,5.0,$76.28,5/31/13,,($179.53),10.0,
81,FReversalSwing(SELL),Sell to Close,-10.0,$75.70,7/17/13,($9.45),($156.93),0.0,
82,FReversalSwing(BUY),Buy to Open,4.0,$81.41,1/22/14,,($162.33),4.0,
83,FReversalSwing(BUY),Buy to Open,4.0,$80.06,1/23/14,,($165.61),8.0,
84,FReversalSwing(BUY),Buy to Open,5.0,$79.65,1/24/14,,($193.95),13.0,
85,FReversalSwing(SELL),Sell to Close,-13.0,$75.52,2/4/14,($62.33),($219.26),0.0,
86,FReversalSwing(BUY),Buy to Open,5.0,$76.97,1/6/16,,($215.86),5.0,
87,FReversalSwing(SELL),Sell to Close,-5.0,$80.36,1/13/16,$16.95,($202.31),0.0,
88,FReversalSwing(BUY),Buy to Open,5.0,$75.40,2/8/16,,($207.76),5.0,
89,FReversalSwing(BUY),Buy to Open,5.0,$74.31,2/9/16,,($202.06),10.0,
90,FReversalSwing(BUY),Buy to Open,5.0,$74.88,2/10/16,,($201.01),15.0,
91,FReversalSwing(SELL),Sell to Close,-15.0,$72.73,2/16/16,($31.98),($234.29),0.0,
92,FReversalSwing(BUY),Buy to Open,5.0,$76.71,4/11/16,,($233.34),5.0,
93,FReversalSwing(SELL),Sell to Close,-5.0,$80.63,4/20/16,$19.60,($214.69),0.0,
94,FReversalSwing(BUY),Buy to Open,5.0,$76.79,6/14/16,,($218.09),5.0,
95,FReversalSwing(BUY),Buy to Open,5.0,$76.90,6/20/16,,($202.24),10.0,
96,FReversalSwing(SELL),Sell to Close,-10.0,$81.07,6/24/16,$42.25,($172.44),0.0,
97,FReversalSwing(BUY),Buy to Open,4.0,$86.13,10/17/16,,($171.56),4.0,
98,FReversalSwing(BUY),Buy to Open,4.0,$86.35,10/18/16,,($161.08),8.0,
99,FReversalSwing(BUY),Buy to Open,4.0,$86.30,11/2/16,,($174.96),12.0,
100,FReversalSwing(SELL),Sell to Close,-12.0,$86.05,12/21/16,($2.52),($174.96),0.0,
101,FReversalSwing(BUY),Buy to Open,3.0,$109.64,1/12/18,,($173.49),3.0,
102,FReversalSwing(BUY),Buy to Open,3.0,$110.13,1/16/18,,($170.19),6.0,
103,FReversalSwing(SELL),Sell to Close,-6.0,$114.27,1/24/18,$26.31,($148.65),0.0,
104,FReversalSwing(BUY),Buy to Open,3.0,$109.15,2/5/18,,($158.49),3.0,
105,FReversalSwing(SELL),Sell to Close,-3.0,$107.91,3/8/18,($3.72),($152.37),0.0,
106,FReversalSwing(BUY),Buy to Open,3.0,$113.21,6/29/18,,($145.02),3.0,
107,FReversalSwing(SELL),Sell to Close,-3.0,$119.38,7/10/18,$18.51,($133.86),0.0,
108,FReversalSwing(BUY),Buy to Open,3.0,$112.86,8/13/18,,($130.14),3.0,
109,FReversalSwing(BUY),Buy to Open,3.0,$113.22,8/16/18,,($115.62),6.0,
110,FReversalSwing(SELL),Sell to Close,-6.0,$117.70,8/21/18,$27.96,($105.90),0.0,
111,FReversalSwing(BUY),Buy to Open,3.0,$115.33,9/7/18,,($102.33),3.0,
112,FReversalSwing(SELL),Sell to Close,-3.0,$121.05,9/13/18,$17.16,($88.74),0.0,
113,FReversalSwing(BUY),Buy to Open,3.0,$117.33,10/9/18,,($82.59),3.0,
114,FReversalSwing(BUY),Buy to Open,3.0,$114.53,10/15/18,,($104.82),6.0,
115,FReversalSwing(SELL),Sell to Close,-6.0,$110.31,10/19/18,($33.74),($122.48),0.0,
116,FReversalSwing(BUY),Buy to Open,3.0,$127.42,7/19/19,,($130.85),3.0,
117,FReversalSwing(BUY),Buy to Open,3.0,$124.63,7/22/19,,($129.65),6.0,
118,FReversalSwing(BUY),Buy to Open,3.0,$124.83,7/23/19,,($122.45),9.0,
119,FReversalSwing(SELL),Sell to Close,-9.0,$114.86,10/3/19,($96.90),($219.38),0.0,
120,FReversalSwing(BUY),Buy to Open,3.0,$132.46,1/29/20,,($221.81),3.0,
121,FReversalSwing(BUY),Buy to Open,3.0,$131.65,1/30/20,,($225.89),6.0,
122,FReversalSwing(BUY),Buy to Open,3.0,$130.97,1/31/20,,($227.69),9.0,
123,FReversalSwing(SELL),Sell to Close,-9.0,$137.42,2/6/20,$51.54,($167.84),0.0,
