Symbol: SPY Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,FReversalSwing(BUY),Buy to Open,36.0,$46.03,11/23/93,,$9.00,36.0,
2,FReversalSwing(SELL1),Sell to Close,-36.0,$46.88,12/7/93,$30.38,$30.38,0.0,
3,FReversalSwing(BUY),Buy to Open,35.0,$46.97,2/7/94,,$38.03,35.0,
4,FReversalSwing(SELL2),Sell to Close,-35.0,$46.03,3/3/94,($32.81),($2.44),0.0,
5,FReversalSwing(BUY),Buy to Open,35.0,$46.56,3/4/94,,$1.94,35.0,
6,FReversalSwing(SELL1),Sell to Close,-35.0,$47.25,3/18/94,$24.06,$21.63,0.0,
7,FReversalSwing(BUY),Buy to Open,36.0,$46.17,10/3/94,,$17.69,36.0,
8,FReversalSwing(SELL2),Sell to Close,-36.0,$46.17,10/4/94,($0.18),$21.44,0.0,
9,FReversalSwing(BUY),Buy to Open,26.0,$63.00,4/11/96,,$19.41,26.0,
10,FReversalSwing(SELL1),Sell to Close,-26.0,$65.44,4/29/96,$63.38,$84.82,0.0,
11,FReversalSwing(BUY),Buy to Open,26.0,$63.98,5/8/96,,$105.54,26.0,
12,FReversalSwing(SELL1),Sell to Close,-26.0,$66.36,5/14/96,$61.75,$146.57,0.0,
13,FReversalSwing(BUY),Buy to Open,25.0,$65.58,7/8/96,,$139.93,25.0,
14,FReversalSwing(SELL2),Sell to Close,-25.0,$63.32,7/16/96,($56.43),$90.14,0.0,
15,FReversalSwing(BUY),Buy to Open,26.0,$63.97,7/22/96,,$77.95,26.0,
16,FReversalSwing(SELL2),Sell to Close,-26.0,$63.45,7/23/96,($13.36),$76.78,0.0,
17,FReversalSwing(BUY),Buy to Open,25.0,$65.33,9/3/96,,$87.32,25.0,
18,FReversalSwing(SELL2),Sell to Close,-25.0,$64.47,9/4/96,($21.48),$55.29,0.0,
19,FReversalSwing(BUY),Buy to Open,25.0,$65.02,9/6/96,,$78.34,25.0,
20,FReversalSwing(SELL1),Sell to Close,-25.0,$67.53,9/13/96,$62.89,$118.18,0.0,
21,FReversalSwing(BUY),Buy to Open,22.0,$75.38,4/1/97,,$128.84,22.0,
