Symbol: STX Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,DTSreversal(BUY),Buy to Open,112.0,$22.28,10/23/03,,($8.96),112.0,
2,DTSreversal(BUY),Buy to Open,112.0,$22.20,10/24/03,,$2.24,224.0,
3,DTSreversal(BUY),Buy to Open,112.0,$22.25,10/27/03,,($417.76),336.0,
4,DTSreversal(SELL),Sell to Close,-336.0,$19.93,1/6/04,($777.28),($777.28),0.0,
5,DTSreversal(BUY),Buy to Open,143.0,$17.38,4/15/05,,($893.11),143.0,
6,DTSreversal(SELL),Sell to Close,-293.0,$16.57,4/18/05,($115.83),($923.11),-150.0,
7,DTSreversal(BUY),Buy to Open,150.0,$16.57,4/18/05,,($893.11),0.0,
8,DTSreversal(SELL),Sell to Close,-149.0,$16.77,4/19/05,$0.00,($978.04),-149.0,
9,DTSreversal(BUY),Buy to Open,149.0,$16.77,4/19/05,,($893.11),0.0,
10,DTSreversal(BUY),Buy to Open,144.0,$17.34,4/20/05,,($800.95),144.0,
11,DTSreversal(BUY),Buy to Open,145.0,$17.13,5/6/05,,($654.58),289.0,
12,DTSreversal(SELL),Sell to Close,-289.0,$19.18,5/17/05,$562.21,($330.90),0.0,
13,DTSreversal(BUY),Buy to Open,131.0,$19.00,6/20/05,,($254.92),131.0,
14,DTSreversal(BUY),Buy to Open,132.0,$18.90,6/24/05,,($486.02),263.0,
15,DTSreversal(BUY),Buy to Open,136.0,$18.36,6/27/05,,($589.76),399.0,
16,DTSreversal(SELL),Sell to Close,-399.0,$19.53,7/14/05,$311.71,($19.19),0.0,
17,DTSreversal(BUY),Buy to Open,138.0,$18.04,8/17/05,,$41.53,138.0,
18,DTSreversal(SELL),Sell to Close,-138.0,$16.05,9/2/05,($274.62),($293.81),0.0,
19,DTSreversal(BUY),Buy to Open,104.0,$23.92,3/14/06,,($212.69),104.0,
20,DTSreversal(SELL),Sell to Close,-104.0,$26.33,3/31/06,$250.64,($43.17),0.0,
21,DTSreversal(BUY),Buy to Open,101.0,$24.60,5/12/06,,($94.68),101.0,
22,DTSreversal(BUY),Buy to Open,103.0,$24.09,5/15/06,,($153.84),204.0,
23,DTSreversal(BUY),Buy to Open,105.0,$23.80,5/16/06,,($323.79),309.0,
24,DTSreversal(SELL),Sell to Close,-309.0,$22.98,7/7/06,($364.05),($407.22),0.0,
25,DTSreversal(BUY),Buy to Open,101.0,$24.64,3/5/07,,($408.23),101.0,
26,DTSreversal(BUY),Buy to Open,101.0,$24.63,3/6/07,,($375.91),202.0,
27,DTSreversal(BUY),Buy to Open,100.0,$24.79,3/7/07,,($403.09),302.0,
28,DTSreversal(SELL),Sell to Close,-302.0,$22.93,4/3/07,($530.41),($937.63),0.0,
29,DTSreversal(BUY),Buy to Open,99.0,$25.15,11/23/07,,($952.48),99.0,
30,DTSreversal(BUY),Buy to Open,100.0,$25.00,11/26/07,,($888.80),199.0,
31,DTSreversal(SELL),Sell to Close,-199.0,$27.09,11/30/07,$401.06,($536.57),0.0,
32,DTSreversal(BUY),Buy to Open,98.0,$25.50,1/2/08,,($640.45),98.0,
33,DTSreversal(BUY),Buy to Open,102.0,$24.44,1/3/08,,($626.45),200.0,
34,DTSreversal(SELL),Sell to Close,-200.0,$24.51,1/4/08,($89.88),($626.45),0.0,
35,DTSreversal(BUY),Buy to Open,179.0,$13.95,11/2/09,,($588.86),179.0,
36,DTSreversal(SELL),Sell to Close,-179.0,$15.74,11/10/09,$320.41,($306.04),0.0,
37,DTSreversal(BUY),Buy to Open,137.0,$18.17,3/31/10,,($293.71),137.0,
38,DTSreversal(BUY),Buy to Open,138.0,$18.11,4/5/10,,($212.51),275.0,
39,DTSreversal(SELL),Sell to Close,-275.0,$19.69,4/16/10,$426.28,$120.24,0.0,
40,DTSreversal(BUY),Buy to Open,140.0,$17.75,5/10/10,,$222.79,140.0,
41,DTSreversal(SELL),Sell to Close,-140.0,$14.98,7/15/10,($387.80),($267.56),0.0,
42,DTSreversal(BUY),Buy to Open,157.0,$15.90,6/6/11,,($319.37),157.0,
43,DTSreversal(BUY),Buy to Open,160.0,$15.57,6/7/11,,($335.22),317.0,
44,DTSreversal(SELL),Sell to Close,-478.0,$15.52,6/8/11,($67.66),($323.95),-161.0,
45,DTSreversal(BUY),Buy to Open,161.0,$15.52,6/8/11,,($335.22),0.0,
46,DTSreversal(SELL),Sell to Close,-161.0,$15.45,6/9/11,$0.00,($323.95),-161.0,
47,DTSreversal(BUY),Buy to Open,161.0,$15.45,6/9/11,,($335.22),0.0,
48,DTSreversal(SELL),Sell to Close,-162.0,$15.38,6/10/11,$0.00,($314.97),-162.0,
49,DTSreversal(BUY),Buy to Open,162.0,$15.38,6/10/11,,($335.22),0.0,
50,DTSreversal(SELL),Sell to Close,-163.0,$15.26,6/13/11,$0.00,($314.85),-163.0,
51,DTSreversal(BUY),Buy to Open,163.0,$15.26,6/13/11,,($335.22),0.0,
52,DTSreversal(SELL),Sell to Close,-165.0,$15.13,6/14/11,$0.00,($411.12),-165.0,
53,DTSreversal(BUY),Buy to Open,165.0,$15.13,6/14/11,,($335.22),0.0,
54,DTSreversal(SELL),Sell to Close,-160.0,$15.59,6/15/11,$0.00,($224.82),-160.0,
55,DTSreversal(BUY),Buy to Open,160.0,$15.59,6/15/11,,($335.22),0.0,
56,DTSreversal(SELL),Sell to Close,-167.0,$14.90,6/16/11,$0.00,($280.11),-167.0,
57,DTSreversal(BUY),Buy to Open,167.0,$14.90,6/16/11,,($335.22),0.0,
58,DTSreversal(BUY),Buy to Open,92.0,$26.91,5/21/12,,($248.74),92.0,
59,DTSreversal(BUY),Buy to Open,94.0,$26.36,5/23/12,,($493.70),186.0,
60,DTSreversal(BUY),Buy to Open,96.0,$25.78,5/24/12,,($321.68),282.0,
61,DTSreversal(SELL),Sell to Close,-282.0,$25.97,7/10/12,($104.90),($440.12),0.0,
62,DTSreversal(BUY),Buy to Open,81.0,$30.60,9/10/12,,($499.25),81.0,
63,DTSreversal(BUY),Buy to Open,83.0,$29.87,9/11/12,,($459.89),164.0,
64,DTSreversal(BUY),Buy to Open,83.0,$30.11,9/12/12,,($487.06),247.0,
65,DTSreversal(SELL),Sell to Close,-247.0,$31.93,9/28/12,$429.77,($10.35),0.0,
66,DTSreversal(BUY),Buy to Open,84.0,$29.53,10/9/12,,($80.91),84.0,
67,DTSreversal(BUY),Buy to Open,87.0,$28.69,10/10/12,,($159.57),171.0,
68,DTSreversal(BUY),Buy to Open,88.0,$28.23,10/11/12,,($154.39),259.0,
69,DTSreversal(SELL),Sell to Close,-259.0,$30.29,11/7/12,$384.32,$373.97,0.0,
70,DTSreversal(BUY),Buy to Open,76.0,$32.50,2/21/13,,$314.69,76.0,
71,DTSreversal(BUY),Buy to Open,78.0,$31.72,2/22/13,,$333.17,154.0,
72,DTSreversal(BUY),Buy to Open,78.0,$31.84,2/25/13,,$101.17,232.0,
73,DTSreversal(SELL),Sell to Close,-232.0,$34.94,3/13/13,$678.40,$1052.37,0.0,
74,DTSreversal(BUY),Buy to Open,59.0,$42.32,7/26/13,,$977.44,59.0,
75,DTSreversal(BUY),Buy to Open,60.0,$41.05,7/29/13,,$888.19,119.0,
76,DTSreversal(BUY),Buy to Open,62.0,$40.30,7/30/13,,$1060.14,181.0,
77,DTSreversal(SELL),Sell to Close,-181.0,$41.07,9/11/13,($24.81),$1027.56,0.0,
78,DTSreversal(BUY),Buy to Open,48.0,$51.52,1/29/14,,$1129.80,48.0,
79,DTSreversal(BUY),Buy to Open,46.0,$53.65,1/30/14,,$1078.10,94.0,
80,DTSreversal(BUY),Buy to Open,47.0,$53.10,1/31/14,,$1044.26,141.0,
81,DTSreversal(SELL),Sell to Close,-141.0,$53.18,3/5/14,$61.82,$1089.38,0.0,
82,DTSreversal(BUY),Buy to Open,50.0,$49.29,3/10/14,,$1131.88,50.0,
83,DTSreversal(SELL),Sell to Close,-50.0,$53.10,3/21/14,$190.50,$1279.88,0.0,
84,DTSreversal(BUY),Buy to Open,49.0,$50.75,5/2/14,,$1294.09,49.0,
85,DTSreversal(BUY),Buy to Open,48.0,$51.04,5/5/14,,$1242.68,97.0,
86,DTSreversal(BUY),Buy to Open,49.0,$50.51,5/6/14,,$1206.18,146.0,
87,DTSreversal(SELL),Sell to Close,-146.0,$53.36,5/28/14,$378.90,$1658.78,0.0,
88,DTSreversal(BUY),Buy to Open,42.0,$58.31,9/22/14,,$1628.96,42.0,
89,DTSreversal(BUY),Buy to Open,43.0,$57.60,9/23/14,,$1560.11,85.0,
90,DTSreversal(BUY),Buy to Open,44.0,$56.79,9/24/14,,$1643.96,129.0,
91,DTSreversal(SELL),Sell to Close,-129.0,$58.36,10/27/14,$103.86,$1762.64,0.0,
