Symbol: TCEHY Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,FReversalSwing(BUY),Buy to Open,80.0,$4.95,3/21/11,,$0.96,80.0,
2,FReversalSwing(BUY),Buy to Open,80.0,$4.96,3/22/11,,($4.48),160.0,
3,FReversalSwing(BUY),Buy to Open,81.0,$4.93,3/23/11,,($16.05),241.0,
4,FReversalSwing(SELL),Sell to Close,-241.0,$5.30,4/7/11,$84.69,$84.69,0.0,
5,FReversalSwing(BUY),Buy to Open,77.0,$5.18,6/13/11,,$91.77,77.0,
6,FReversalSwing(BUY),Buy to Open,75.0,$5.28,6/14/11,,$78.09,152.0,
7,FReversalSwing(BUY),Buy to Open,77.0,$5.19,6/15/11,,$73.97,229.0,
8,FReversalSwing(SELL),Sell to Close,-229.0,$5.54,7/5/11,$74.01,$158.70,0.0,
9,FReversalSwing(BUY),Buy to Open,71.0,$5.57,5/22/12,,$146.63,71.0,
10,FReversalSwing(BUY),Buy to Open,74.0,$5.40,5/23/12,,$148.08,145.0,
11,FReversalSwing(BUY),Buy to Open,73.0,$5.41,5/24/12,,$163.34,218.0,
12,FReversalSwing(SELL),Sell to Close,-218.0,$5.82,6/12/12,$79.63,$238.33,0.0,
13,FReversalSwing(BUY),Buy to Open,62.0,$6.38,11/16/12,,$238.46,62.0,
14,FReversalSwing(BUY),Buy to Open,62.0,$6.38,11/19/12,,$240.94,124.0,
15,FReversalSwing(BUY),Buy to Open,62.0,$6.40,11/20/12,,$264.75,186.0,
16,FReversalSwing(SELL),Sell to Close,-186.0,$6.72,1/3/13,$62.12,$300.46,0.0,
17,FReversalSwing(BUY),Buy to Open,58.0,$6.81,3/19/13,,$289.44,58.0,
18,FReversalSwing(BUY),Buy to Open,60.0,$6.62,3/20/13,,$305.49,118.0,
19,FReversalSwing(BUY),Buy to Open,59.0,$6.76,3/21/13,,$274.33,177.0,
20,FReversalSwing(SELL),Sell to Close,-177.0,$6.73,4/29/13,$0.78,$301.24,0.0,
21,FReversalSwing(BUY),Buy to Open,54.0,$7.29,6/21/13,,$305.45,54.0,
22,FReversalSwing(BUY),Buy to Open,56.0,$7.09,6/25/13,,$327.73,110.0,
23,FReversalSwing(SELL),Sell to Close,-110.0,$7.74,6/28/13,$60.37,$361.61,0.0,
24,FReversalSwing(BUY),Buy to Open,21.0,$19.01,7/7/15,,$349.11,21.0,
25,FReversalSwing(BUY),Buy to Open,21.0,$18.42,7/8/15,,$298.29,42.0,
26,FReversalSwing(BUY),Buy to Open,21.0,$18.34,7/28/15,,$375.57,63.0,
27,FReversalSwing(SELL),Sell to Close,-63.0,$16.51,8/24/15,($130.67),$230.93,0.0,
28,FReversalSwing(BUY),Buy to Open,20.0,$19.74,5/4/16,,$227.93,20.0,
29,FReversalSwing(BUY),Buy to Open,20.0,$19.59,5/5/16,,$228.73,40.0,
30,FReversalSwing(BUY),Buy to Open,20.0,$19.61,5/6/16,,$244.33,60.0,
31,FReversalSwing(SELL),Sell to Close,-60.0,$20.67,5/17/16,$61.40,$292.33,0.0,
32,FReversalSwing(BUY),Buy to Open,15.0,$25.94,11/4/16,,$285.58,15.0,
33,FReversalSwing(BUY),Buy to Open,15.0,$25.49,11/7/16,,$314.68,30.0,
34,FReversalSwing(BUY),Buy to Open,15.0,$25.35,11/14/16,,$246.73,45.0,
35,FReversalSwing(SELL),Sell to Close,-45.0,$25.08,1/6/17,($23.10),$269.23,0.0,
36,FReversalSwing(BUY),Buy to Open,8.0,$47.76,3/10/20,,$283.63,8.0,
37,FReversalSwing(SELL),Sell to Close,-8.0,$43.62,3/13/20,($33.12),$236.11,0.0,
38,FReversalSwing(BUY),Buy to Open,5.0,$67.28,12/29/20,,$249.01,5.0,
39,FReversalSwing(SELL),Sell to Close,-5.0,$76.66,1/6/21,$46.90,$283.01,0.0,
40,FReversalSwing(BUY),Buy to Open,8.0,$45.07,7/26/24,,$286.93,8.0,
41,FReversalSwing(BUY),Buy to Open,8.0,$45.56,7/29/24,,$287.73,16.0,
42,FReversalSwing(BUY),Buy to Open,8.0,$45.61,7/30/24,,$275.25,24.0,
43,FReversalSwing(SELL),Sell to Close,-24.0,$47.76,8/9/24,$56.32,$339.33,0.0,
44,FReversalSwing(BUY),Buy to Open,7.0,$50.13,11/14/24,,$350.04,7.0,
45,FReversalSwing(SELL),Sell to Close,-7.0,$55.30,12/10/24,$36.19,$375.52,0.0,
